policy_loss,value_loss,explained_variance,time_elapsed,clipfrac,ep_len_mean,approxkl,ep_reward_mean,policy_entropy,fps,n_updates,total_timesteps,serial_timesteps
-0.00066505396,1.1625843,0.1131325364112854,241.88153076171875,0.053027343,1035.12,0.0042311656,227.79410184,1.5227097,495,59,120832,120832
-0.0046670632,1.137117,0.12061560153961182,246.01211810112,0.09194336,1053.34,0.0069051594,232.66434712999998,1.5297296,497,60,122880,122880
-0.0013785141,1.2871766,0.12078225612640381,250.13065600395203,0.03540039,1071.49,0.0032833715,237.45128623,1.5293429,485,61,124928,124928
-0.0018308049,1.1655073,0.08922761678695679,254.35376691818237,0.05673828,1090.16,0.0049132006,242.64262617999998,1.5175377,493,62,126976,126976
-0.001604934,1.259196,0.11845630407333374,258.5043911933899,0.042626955,1108.46,0.0039218385,247.61733436999995,1.5131404,493,63,129024,129024
-0.0042676823,1.2780278,0.06553083658218384,262.6512715816498,0.08852539,1126.96,0.006777633,252.71437095999997,1.5097741,495,64,131072,131072
-0.0050779684,1.3156539,0.09256935119628906,266.78884410858154,0.07841797,1145.13,0.0062812404,257.98069915,1.5074475,498,65,133120,133120
-0.00055401644,1.4633635,0.10558396577835083,270.89773654937744,0.027001953,1163.91,0.0028857875,263.40434523,1.512256,485,66,135168,135168
0.0002465748,1.497933,0.017058253288269043,275.12028980255127,0.042041015,1182.71,0.0038243593,269.0475504,1.5153973,488,67,137216,137216
-0.0020895165,1.3748343,0.10458415746688843,279.3176724910736,0.0703125,1201.5,0.0054534627,274.68067028999997,1.5206707,493,68,139264,139264
-0.0032648281,1.3905103,0.09583872556686401,283.46458983421326,0.0859375,1220.45,0.006620982,280.34485684,1.5270274,480,69,141312,141312
-0.0019658883,1.5666718,0.023480474948883057,287.73128366470337,0.07646485,1238.77,0.0062058936,285.83488711,1.5286511,490,70,143360,143360
-0.00026003254,1.5351058,0.0717935562133789,291.90715050697327,0.039208986,1257.65,0.003380306,291.73460349,1.5371711,464,71,145408,145408
-0.00023710879,1.6067699,0.08451157808303833,296.3160877227783,0.031640626,1275.77,0.0031261083,297.37133115,1.5430008,467,72,147456,147456
-0.0005134082,1.507072,0.1233220100402832,300.698260307312,0.029248048,1294.4,0.0028063902,303.32950757,1.5383842,476,73,149504,149504
