approxkl,time_elapsed,clipfrac,policy_entropy,total_timesteps,serial_timesteps,fps,value_loss,policy_loss,n_updates,explained_variance,ep_reward_mean,ep_len_mean
0.0059261275,544.5153374671936,0.07368164,1.4504609,249856,249856,401,4.5585318,-0.0016615003,122,0.5756550431251526,719.07196345,1926.9
0.004879613,549.6206228733063,0.054980468,1.4493382,251904,251904,448,6.460067,-0.004272189,123,0.5943349301815033,715.4545470599999,1904.2
0.0060207634,554.1842415332794,0.07875977,1.4586519,253952,253952,455,4.484568,-0.004084575,124,0.5724424421787262,719.5594579299999,1904.2
0.006277205,558.6792118549347,0.07705078,1.4704255,256000,256000,466,3.8775604,-0.0027710334,125,0.5998091697692871,723.58439665,1904.2
0.0059560095,563.0687637329102,0.07133789,1.4888719,258048,258048,479,4.1956015,-0.0020939137,126,0.5478672385215759,728.0430276599999,1904.2
0.004799991,567.3448762893677,0.058642577,1.505038,260096,260096,434,4.27699,-0.00014267779,127,0.4681529998779297,732.0221491699999,1904.2
0.007703627,572.0599381923676,0.10249023,1.5093828,262144,262144,493,3.8913872,-0.0055114455,128,0.5465377271175385,735.3341681099998,1904.2
0.003573221,576.2090051174164,0.039208986,1.5042323,264192,264192,459,4.3253837,-0.0029669604,129,0.6110641956329346,739.44707663,1904.2
0.005132218,580.668534040451,0.06547852,1.4990685,266240,266240,464,4.516692,-0.001790061,130,0.5807671844959259,743.2265982600001,1904.2
0.0060911477,585.078634262085,0.07148437,1.5096226,268288,268288,493,4.212529,-0.0034147017,131,0.6925292015075684,746.3639732199999,1902.13
0.004943569,589.2257521152496,0.052685548,1.5084822,270336,270336,476,4.3541718,0.0006688995,132,0.5799041390419006,749.80486359,1901.71
0.004735524,593.5212564468384,0.05625,1.500962,272384,272384,492,4.3920794,-0.003197816,133,0.5996365547180176,753.7993844499999,1901.71
0.009756336,597.6832978725433,0.0881836,1.5105966,274432,274432,502,10.250331,-0.0075460495,134,0.5872347950935364,754.9428285099999,1887.34
0.004149221,601.755957365036,0.04824219,1.5185962,276480,276480,499,13.85834,-0.002214135,135,0.4697690010070801,746.1999068800001,1846.48
0.0052930433,605.8550894260406,0.0546875,1.5238485,278528,278528,501,9.49738,-0.0013236174,136,0.5337590575218201,744.64924111,1825.78
0.004413691,609.9412813186646,0.048095703,1.5273312,280576,280576,496,9.288264,-0.004923072,137,0.6034958958625793,742.55927912,1805.13
0.0034432723,614.0670099258423,0.039404295,1.529144,282624,282624,494,8.494494,0.0011575485,138,0.6248316466808319,738.5317286700001,1780.09
0.0055474485,618.2052509784698,0.06591797,1.53468,284672,284672,500,3.9388232,-0.00057551276,139,0.7309682071208954,736.8146546800001,1767.99
0.003653782,622.2963240146637,0.041064452,1.5380714,286720,286720,487,12.005223,-0.0045025144,140,0.6154126226902008,735.4644084900001,1742.85
0.0038681538,626.5022921562195,0.040283203,1.5456812,288768,288768,489,9.113898,-0.0027626557,141,0.5922581255435944,731.8328631100001,1719.54
0.010941527,630.6851577758789,0.07519531,1.555591,290816,290816,496,9.755887,-0.007949414,142,0.6292650997638702,727.62234422,1696.11
0.005715209,634.8082842826843,0.06870117,1.5657408,292864,292864,490,14.417427,-0.0008442191,143,0.6263156831264496,718.2205243400002,1642.96
0.006445165,638.9879014492035,0.07084961,1.559741,294912,294912,503,9.956476,-0.0044765794,144,0.6610026955604553,714.2494217900002,1616.13
0.0031960127,643.0584876537323,0.033251952,1.5542245,296960,296960,480,14.775617,-0.0022590954,145,0.5409602522850037,707.3145880400001,1576.12
0.0042893463,647.3207058906555,0.048779298,1.5565405,299008,299008,474,13.856003,-0.004061415,146,0.5964169800281525,698.4799403599999,1536.56
0.004830257,651.633846282959,0.05834961,1.5610206,301056,301056,486,9.199171,-0.0010108796,147,0.7635193020105362,687.6225752,1496.28
0.0029998359,655.8451042175293,0.028515626,1.5711538,303104,303104,495,11.274789,-0.0011994711,148,0.6679633259773254,672.9556868500002,1453.2
0.0036414596,659.9793274402618,0.038476564,1.5788372,305152,305152,483,13.72433,-0.00034041674,149,0.6721722781658173,651.21876778,1393.8
0.0037599814,664.2196044921875,0.04042969,1.5914475,307200,307200,464,15.895993,-0.0040780613,150,0.6398181319236755,629.0628010600001,1332.39
0.0031613961,668.6331498622894,0.029003907,1.5977591,309248,309248,509,11.978462,-0.0007719462,151,0.6767918765544891,611.9171077400001,1287.69
0.00371074,672.6550822257996,0.038183592,1.599036,311296,311296,494,18.388477,0.0010561909,152,0.6285542249679565,597.0590328599999,1251.36
0.0036056999,676.7959432601929,0.039941408,1.5989351,313344,313344,510,13.141103,-0.003929155,153,0.6275137364864349,579.6171122699999,1211.18
0.0044819335,680.8046596050262,0.046826173,1.598268,315392,315392,498,8.884339,0.00033709998,154,0.6754215061664581,570.70293032,1190.49
0.003534892,684.9157044887543,0.039941408,1.6019417,317440,317440,472,11.126291,-0.0021423814,155,0.695745050907135,554.97954511,1153.27
0.0039125476,689.2511570453644,0.04433594,1.6090018,319488,319488,427,9.08233,-0.0036994326,156,0.7916683852672577,537.8173792800001,1114.56
