ep_reward_mean,n_updates,serial_timesteps,ep_len_mean,value_loss,explained_variance,fps,approxkl,total_timesteps,policy_loss,policy_entropy,clipfrac,time_elapsed
1472.4918260361446,61,124928,1496.686746987952,20.372332,-0.0028791427612304688,413,0.003330734,124928,-0.00029710622,3.7954106,0.03227539,307.8118314743042
1479.1977676904762,62,126976,1503.2619047619048,19.960411,0.02280634641647339,408,0.002450704,126976,-0.00166937,3.7952838,0.02451172,312.7667553424835
1485.524375682353,63,129024,1509.6823529411765,19.7278,0.05745971202850342,430,0.0027090684,129024,-0.0019094776,3.7941825,0.028125,317.78648853302
1491.9783519186046,64,131072,1515.953488372093,20.100437,0.019477546215057373,372,0.0035305736,131072,-0.0043991944,3.7983832,0.041894533,322.54588294029236
1498.3131401149426,65,133120,1522.0804597701149,20.388704,-0.0023071765899658203,329,0.003969914,133120,-0.0030489364,3.800015,0.037890624,328.0488851070404
1504.4675113636365,66,135168,1528.0681818181818,19.95599,0.019443988800048828,310,0.004331176,135168,-0.0027665524,3.7974124,0.05234375,334.2574563026428
1510.1607519325842,67,137216,1533.9213483146068,17.262932,0.2489946484565735,376,0.0013836537,137216,-0.0013229465,3.800508,0.011767578,340.86274790763855
1515.910875133333,68,139264,1539.6444444444444,18.483477,0.1170426607131958,395,0.0035399564,139264,-0.0037360478,3.8072884,0.042382814,346.30054903030396
1521.4214135494503,69,141312,1545.2417582417581,18.482008,0.1224130392074585,379,0.002618886,141312,-0.0013440951,3.8161004,0.026806641,351.48197078704834
1526.858880771739,70,143360,1550.7173913043478,19.112225,0.07672405242919922,420,0.002185231,143360,-0.000462769,3.8210664,0.017919922,356.8726534843445
1532.2981472043011,71,145408,1556.0752688172042,20.153278,0.014629244804382324,407,0.0026540533,145408,-0.0035989783,3.8179104,0.026611328,361.73862409591675
1537.6660444042552,72,147456,1561.3191489361702,20.357777,3.9637088775634766e-05,404,0.0012582641,147456,-0.00045887232,3.8239403,0.009228515,366.7668776512146
1527.4238476458333,73,149504,1550.7083333333333,27.192831,0.5799448490142822,382,0.0009586968,149504,-0.004025577,3.8339226,0.008496094,371.83381628990173
1532.720047546392,74,151552,1555.8453608247423,20.305944,0.0003204941749572754,409,0.0027325586,151552,-7.956072e-05,3.8426392,0.025341798,377.18254828453064
1537.9141278163268,75,153600,1560.8775510204082,20.28196,-0.0024405717849731445,408,0.0018803037,153600,-0.0011593957,3.845028,0.01640625,382.1899003982544
1542.9519376767678,76,155648,1565.8080808080808,20.047346,0.011110186576843262,338,0.0033044699,155648,-0.0017188722,3.8375313,0.038183592,387.2041914463043
1543.6061609399999,77,157696,1566.08,24.75301,0.6670707762241364,302,0.0017866353,157696,-0.0032947157,3.8435128,0.01669922,393.26165866851807
1555.8713229499997,78,159744,1578.28,18.977589,0.0797235369682312,316,0.0019128589,159744,-0.000301375,3.8524997,0.018896485,400.0279302597046
1563.4463921099998,79,161792,1585.44,20.195993,-0.008755803108215332,349,0.0044052647,161792,-0.0018623385,3.84544,0.05078125,406.4977562427521
1566.3340695999996,80,163840,1588.01,17.801126,0.20048362016677856,339,0.0014488843,163840,-0.00055641244,3.8466842,0.014013672,412.35587453842163
1579.9670254100001,81,165888,1601.42,20.14681,-0.001490950584411621,357,0.0020540531,165888,-0.00054717006,3.843322,0.015673827,418.38218665122986
1580.6881246300002,82,167936,1601.42,20.025248,0.0031307339668273926,404,0.004656475,167936,-0.0012268716,3.8323078,0.056396484,424.1089882850647
1592.78647432,83,169984,1613.29,20.229086,0.0009470582008361816,431,0.0070279688,169984,-0.0027576021,3.8224227,0.09438477,429.17871952056885
