policy_loss,serial_timesteps,fps,value_loss,explained_variance,n_updates,total_timesteps,approxkl,clipfrac,time_elapsed,policy_entropy,ep_reward_mean,ep_len_mean
-0.002652423,210944,515,20.015978,0.8679890483617783,103,210944,0.0046088113,0.058398437,407.1680142879486,5.6721277,1038.90767111,1350.12
-0.0025341979,212992,533,20.25256,0.8881802633404732,104,212992,0.002590155,0.026708985,411.1397624015808,5.6677127,1052.6588709599998,1365.37
-0.0013723229,215040,531,9.462258,0.9595500193536282,105,215040,0.002309065,0.021337891,414.9778609275818,5.6617,1036.14986862,1348.94
-0.0018181581,217088,517,19.709118,0.8846894726157188,106,217088,0.0012856078,0.0086425785,418.8302206993103,5.6581397,1052.05234393,1364.41
-0.00037541953,219136,517,19.864601,0.8738019913434982,107,219136,0.0012093358,0.008203125,422.7890202999115,5.6505427,1054.06984425,1364.41
-0.0042562783,221184,522,26.002522,0.9007533565163612,108,221184,0.0033123773,0.03227539,426.74574184417725,5.6474743,1037.7457520500002,1346.64
-0.0019422969,223232,528,25.168774,0.9016376659274101,109,223232,0.0021203074,0.018164063,430.6690843105316,5.644266,1040.58751297,1350.56
-0.005675576,225280,515,32.315163,0.895581565797329,110,225280,0.0039259535,0.04536133,434.544593334198,5.647158,1037.06987687,1342.36
-0.006720447,227328,540,7.6362014,0.9529026262462139,111,227328,0.003325615,0.03017578,438.52144145965576,5.642399,1020.50879614,1324.53
-0.004375089,229376,496,19.378908,0.866976261138916,112,229376,0.007551062,0.10322265,442.3129925727844,5.640133,1018.3191616100002,1324.53
-0.004918086,231424,517,29.077234,0.9148015901446342,113,231424,0.0029802318,0.033740234,446.44224739074707,5.655284,1002.1085722000004,1304.8
-0.004656167,233472,533,19.819454,0.8763618692755699,114,233472,0.003929428,0.04169922,450.397474527359,5.677096,1019.4013863100002,1322.74
-0.006474434,235520,558,24.914627,0.9267956987023354,115,235520,0.0048461007,0.06279297,454.2372419834137,5.687374,995.3490693700002,1291.07
-0.003974921,237568,525,3.9834552,0.9815872330218554,116,237568,0.0025890626,0.027294923,457.9070494174957,5.7006435,985.1292855800001,1275.4
-0.0038062134,239616,561,25.474447,0.8880250304937363,117,239616,0.0030385812,0.036230467,461.80611300468445,5.7103972,979.6520606199999,1265.2
-0.0024995126,241664,523,19.804417,0.8867373391985893,118,241664,0.0026442609,0.027880859,465.45393919944763,5.7077336,996.2848893899999,1282.86
-0.0035597826,243712,518,19.36253,0.884273037314415,119,243712,0.0035411068,0.038867187,469.36444306373596,5.6825376,1011.1166445900001,1297.75
-0.003596309,245760,523,19.92285,0.8692032992839813,120,245760,0.004325745,0.054101564,473.31255531311035,5.6690674,1028.38450595,1315.94
-0.002827532,247808,540,22.038967,0.9238007813692093,121,247808,0.0027881782,0.030419922,477.22494745254517,5.6765947,1046.8316783200003,1335.29
-0.003473936,249856,515,19.436346,0.8862424343824387,122,249856,0.0020542084,0.01821289,481.01425337791443,5.6756177,1047.5441577600002,1335.29
-0.0026987956,251904,568,20.489347,0.6685417890548706,123,251904,0.0009814713,0.0069335937,484.99003553390503,5.6681643,1055.7882225600001,1347.62
-0.005818459,253952,540,5.124845,0.9734380897134542,124,253952,0.0024469418,0.02421875,488.5908160209656,5.668637,1057.7554558900001,1350.91
-0.0030342217,256000,559,34.842197,0.8088652640581131,125,256000,0.002354218,0.020361328,492.38267850875854,5.6710668,1057.1341368399999,1350.09
-0.0010627188,258048,523,19.84064,0.8841222450137138,126,258048,0.0014478045,0.0109375,496.04263854026794,5.6592536,1059.30703669,1350.09
-0.0037813366,260096,513,19.797588,0.8825995922088623,127,260096,0.0026570726,0.028222656,499.95895195007324,5.6490245,1072.7654064800001,1363.73
-0.00227342,262144,530,19.997425,0.8829190284013748,128,262144,0.0037738166,0.04790039,503.94498586654663,5.6403723,1073.23247623,1363.73
-0.0038704649,264192,509,19.227367,0.8732229620218277,129,264192,0.007691268,0.09921875,507.8068723678589,5.639539,1074.3561266100003,1363.73
-0.0025916935,266240,519,20.428652,0.8735399693250656,130,266240,0.002548614,0.020996094,511.82756066322327,5.6301594,1091.39875679,1381.3
-0.0021258208,268288,552,17.096142,0.7907438576221466,131,268288,0.0022333318,0.025488282,515.7696051597595,5.6201158,1068.4610812600001,1362.93
-0.0027704935,270336,537,20.323116,0.8814306035637856,132,270336,0.0021214043,0.017041016,519.4784343242645,5.614384,1068.51037749,1362.93
-0.0035476398,272384,531,8.171433,0.9657024294137955,133,272384,0.0024591917,0.024414062,523.2918710708618,5.612218,1059.4592876100003,1349.51
-0.0031490084,274432,532,26.183844,0.8805082812905312,134,274432,0.0016530423,0.015527343,527.1441385746002,5.6153197,1062.91514314,1354.33
-0.0014782681,276480,512,20.091848,0.870696410536766,135,276480,0.0019102253,0.016992187,530.9930584430695,5.616938,1063.8241717800001,1354.33
-0.006301622,278528,506,4.9325194,0.9777080696076155,136,278528,0.0037877944,0.038623046,534.9914813041687,5.622386,1048.1068401100001,1337.82
-0.006302681,280576,522,20.280418,0.8735303580760956,137,280576,0.006725346,0.0902832,539.0384347438812,5.617957,1064.73198293,1355.4
-0.0033715446,282624,568,31.223278,0.8470479249954224,138,282624,0.0024081015,0.024804687,542.9585597515106,5.61148,1058.87624445,1346.32
-0.0024085208,284672,516,19.946539,0.8712843954563141,139,284672,0.004492187,0.05673828,546.5619595050812,5.6083937,1074.5336826,1361.75
-0.0009974334,286720,515,20.015392,0.8640839755535126,140,286720,0.002666498,0.027441407,550.523933172226,5.606624,1088.91077167,1375.03
-0.0019076619,288768,514,20.385038,0.8727492690086365,141,288768,0.0021134517,0.02216797,554.4989485740662,5.60636,1102.13576998,1386.58
-0.004560807,290816,569,23.325644,0.7780830711126328,142,290816,0.002412631,0.02602539,558.4771149158478,5.6143427,1061.4212592400002,1347.99
-0.0011307576,292864,524,19.612122,0.8766035363078117,143,292864,0.003521382,0.04472656,562.0707671642303,5.6280346,1071.24493756,1357.43
-0.00023590968,294912,569,12.903661,0.8649127185344696,144,294912,0.0016601483,0.015136719,565.9748659133911,5.6402574,1074.3776185,1362.61
-0.0038770307,296960,547,14.317863,0.9306504502892494,145,296960,0.0020835106,0.020996094,569.570611000061,5.6397405,1063.60327119,1350.91
-0.0022962457,299008,533,23.017767,0.9215462803840637,146,299008,0.0023747878,0.021533202,573.3094696998596,5.635194,1047.00649534,1334.29
-0.0031027175,301056,532,20.472347,0.8782224506139755,147,301056,0.0024082647,0.026855469,577.1494839191437,5.637269,1046.94990519,1334.29
-0.0056104474,303104,530,8.3309145,0.9569666646420956,148,303104,0.002364019,0.022607422,580.9940366744995,5.6470284,1044.91669304,1331.45
-0.0053548324,305152,549,28.492163,0.8658866435289383,149,305152,0.004373622,0.042871095,584.8518080711365,5.660525,1048.43927685,1336.54
-0.0015055416,307200,534,27.243786,0.9014086425304413,150,307200,0.0024753117,0.026708985,588.5774283409119,5.665217,1046.47966545,1333.57
-0.003571504,309248,521,22.855234,0.9227867424488068,151,309248,0.0031829472,0.035009764,592.4094874858856,5.675712,1030.69779081,1315.42
-0.0038011621,311296,513,20.304352,0.8789209276437759,152,311296,0.005059562,0.0637207,596.3350653648376,5.688485,1031.00767137,1315.42
-0.0029460487,313344,564,6.376472,0.8929631486535072,153,313344,0.003045211,0.035009764,600.3267660140991,5.692146,1016.0455949999999,1300.87
-0.005397566,315392,515,20.577936,0.8634602874517441,154,315392,0.005201107,0.06870117,603.9574964046478,5.6953397,1013.1113722399999,1301.86
-0.0027169937,317440,531,22.846334,0.9269718751311302,155,317440,0.0026083188,0.025683593,607.9335186481476,5.710462,1014.2511393000001,1301.15
-0.0026624352,319488,546,21.033894,0.8624027818441391,156,319488,0.002875628,0.03276367,611.7870352268219,5.719564,1014.1763176000001,1301.15
-0.0042291745,321536,575,18.35868,0.8011064529418945,157,321536,0.0026000717,0.027148437,615.5321242809296,5.719714,1011.2904301400001,1302.04
-0.0030117307,323584,512,9.801184,0.9455903358757496,158,323584,0.0020361673,0.01821289,619.0929574966431,5.725956,998.5066007600002,1290.85
-0.0027775436,325632,578,38.451073,0.7367957532405853,159,325632,0.0020637452,0.019873047,623.0906946659088,5.7269015,1016.2553852700001,1309.17
-0.0023686516,327680,539,19.93812,0.880268320441246,160,327680,0.0037535615,0.042919923,626.6309161186218,5.7241178,1030.89614448,1324.4
-0.002692472,329728,536,26.906137,0.8956046104431152,161,329728,0.0017945518,0.016503906,630.4305505752563,5.7223377,1046.09447976,1340.35
-0.0020697447,331776,548,11.384034,0.8093734532594681,162,331776,0.002105147,0.021533202,634.2497053146362,5.7286844,1054.8672796100002,1354.25
-0.00089161686,333824,509,19.903564,0.8722476363182068,163,333824,0.001963125,0.015429688,637.9866635799408,5.7167244,1070.2549095200002,1369.27
-0.0077266856,335872,525,19.73557,0.8781916573643684,164,335872,0.008779315,0.11235352,642.0066316127777,5.706405,1085.1090265300002,1384.15
-0.003488291,337920,536,6.570788,0.9707804657518864,165,337920,0.002004192,0.018994141,645.9080255031586,5.7091026,1070.0354760600003,1368.46
-0.00071834994,339968,527,25.941397,0.8389264047145844,166,339968,0.0009093223,0.0061035156,649.7276756763458,5.7139606,1069.9655917500002,1368.37
-0.00640992,342016,519,7.44937,0.960199099034071,167,342016,0.0038110781,0.033935547,653.6088914871216,5.7107797,1060.72088139,1362.92
-0.0042371443,344064,524,20.709484,0.8838370144367218,168,344064,0.0033442378,0.03701172,657.5549218654633,5.702415,1077.8834522000002,1380.79
-0.0011404129,346112,542,20.87296,0.7712909579277039,169,346112,0.0023041815,0.02578125,661.4599418640137,5.702911,1092.6107584200001,1396.16
-0.005497238,348160,549,11.649641,0.7344087958335876,170,348160,0.005062038,0.06069336,665.2347898483276,5.7074413,1089.28535693,1396.16
-0.0038270566,350208,519,10.170984,0.946147546172142,171,350208,0.0027511911,0.027636718,668.9600195884705,5.7261133,1083.70802288,1396.16
-0.002300426,352256,547,20.421457,0.7796769738197327,172,352256,0.002648952,0.02841797,672.9061114788055,5.739533,1083.33216913,1396.16
-0.002845109,354304,541,19.293709,0.8823375105857849,173,354304,0.0033450709,0.036230467,676.6443960666656,5.7420664,1080.0677706200001,1396.16
-0.0021725134,356352,564,26.093708,0.8665666580200195,174,356352,0.0013266668,0.0108886715,680.4289982318878,5.7439337,1066.71843657,1383.64
-0.0016197761,358400,529,23.70445,0.9007841125130653,175,358400,0.0012181348,0.012109375,684.0598185062408,5.7484455,1066.6655693100001,1386.09
-0.0030658604,360448,570,13.739573,0.7656649500131607,176,360448,0.0029715314,0.031201173,687.929128408432,5.7485347,1061.86781947,1386.09
-0.003448852,362496,544,20.164625,0.8684693723917007,177,362496,0.0026007765,0.027392577,691.5224893093109,5.7486606,1074.20813406,1400.17
