policy_entropy,fps,ep_reward_mean,ep_len_mean,approxkl,explained_variance,n_updates,serial_timesteps,total_timesteps,policy_loss,value_loss,time_elapsed,clipfrac
1.4052206,509,761.2101218499998,1157.47,0.005634744,0.5035751461982727,161,329728,329728,-0.0030685386,11.13885,686.9329209327698,0.07011719
1.4210438,516,761.50031558,1156.93,0.0049590147,0.5949388444423676,162,331776,331776,-0.003649645,10.859635,690.9551048278809,0.06137695
1.4229443,511,768.0198416799999,1166.17,0.0067531443,0.4310734272003174,163,333824,333824,-0.0034470528,8.400925,694.921496629715,0.08725586
1.4287854,466,775.95869657,1178.35,0.0034563795,0.49608784914016724,164,335872,335872,-0.0023030771,11.136543,698.9283697605133,0.038623046
1.4376526,473,783.11836006,1188.37,0.0051419353,0.2726823687553406,165,337920,337920,-3.8831342e-05,11.211424,703.3182706832886,0.06293945
1.4446305,499,791.9187377399998,1203.39,0.0026441715,0.7218553125858307,166,339968,339968,-0.0018930115,7.2498193,707.6438064575195,0.02578125
1.4416931,496,797.3472353899998,1211.04,0.0028671122,0.5802313983440399,167,342016,342016,-0.0021627867,10.381063,711.7412233352661,0.03286133
1.4344908,520,808.0061090599999,1226.76,0.004171421,0.7903067767620087,168,344064,344064,-0.0022454294,13.253176,715.8646295070648,0.048779298
1.4313121,513,805.3987544699999,1226.76,0.005694242,0.9115370512008667,169,346112,346112,-0.001149467,5.015134,719.7998824119568,0.06679688
1.435603,505,818.4851687099998,1244.31,0.004551368,0.633060485124588,170,348160,348160,-0.003106681,9.47642,723.786360502243,0.0519043
1.435831,476,828.31442892,1260.17,0.0047079427,0.77727971971035,171,350208,350208,-0.004823073,7.698821,727.8401198387146,0.058691405
1.4402827,532,838.2883103099999,1275.72,0.0048234677,0.5975354015827179,172,352256,352256,-0.0023278256,9.673273,732.1401331424713,0.0578125
1.451477,512,849.84555338,1292.13,0.008319352,0.14483153820037842,173,354304,354304,-0.004032808,10.979398,735.9884524345398,0.10522461
1.4653144,501,860.52008648,1308.53,0.006860426,0.3651854991912842,174,356352,356352,-0.00037709775,9.870693,739.9861679077148,0.08916016
1.4633334,513,868.83318538,1321.1,0.009244876,0.4247557520866394,175,358400,358400,-0.0041463575,9.518023,744.0710203647614,0.12617187
1.4627147,503,880.0649869300003,1337.4,0.0059237853,0.4274411201477051,176,360448,360448,-0.002719061,12.820105,748.0597231388092,0.06704102
1.4662921,514,891.2455886100001,1354.52,0.006748136,0.6864766776561737,177,362496,362496,-0.0033415854,8.002217,752.1247186660767,0.08876953
1.4694042,487,899.0448452800001,1365.34,0.0057469346,0.43168866634368896,178,364544,364544,-0.0009035872,9.519136,756.104341506958,0.06352539
1.4741092,510,906.1437029000002,1375.62,0.006543164,0.503484308719635,179,366592,366592,-0.0037237138,11.113783,760.3082759380341,0.07490234
1.475051,504,918.31104244,1392.13,0.005667488,0.5820308327674866,180,368640,368640,-0.0021967017,9.81276,764.3202800750732,0.06914063
1.4637516,505,928.6189483600002,1406.18,0.0051306053,0.6699177026748657,181,370688,370688,-0.0018894129,9.330096,768.3810796737671,0.051074218
1.4605515,506,941.07016573,1422.7,0.005936118,0.581463634967804,182,372736,372736,-0.0019105762,10.788275,772.4303138256073,0.0668457
1.4589128,500,952.60669953,1437.96,0.006625986,0.5492664277553558,183,374784,374784,-0.0046855886,10.150775,776.4717543125153,0.08295898
1.46158,500,957.2591906600001,1444.33,0.005654099,0.419715940952301,184,376832,376832,-0.0040079784,12.08948,780.5649864673615,0.06728516
1.4696426,501,966.7138820600001,1459.0,0.0061338744,0.6801421046257019,185,378880,378880,-0.0032322449,7.9805374,784.6564748287201,0.06948242
1.4841589,473,978.8305575800001,1475.45,0.006628184,0.35356950759887695,186,380928,380928,-0.0021475684,14.210423,788.7369947433472,0.07695313
1.4905084,491,986.4917620600002,1490.33,0.004637287,0.6761770844459534,187,382976,382976,-0.0015301063,8.78401,793.0604014396667,0.055029295
1.4957829,502,985.22471713,1490.33,0.0045318473,0.5576909184455872,188,385024,385024,-0.0024118274,9.156972,797.2288641929626,0.052685548
1.5022572,491,993.7602358500001,1506.18,0.0060007405,0.7315996885299683,189,387072,387072,-0.00699783,8.55221,801.3072910308838,0.072216794
1.5091612,502,1004.05113355,1522.48,0.0063896985,0.5004308521747589,190,389120,389120,-0.003665562,12.407007,805.4758052825928,0.07783203
1.521749,525,1004.56681159,1522.48,0.003846554,0.5671746134757996,191,391168,391168,0.0005951308,11.320036,809.5551753044128,0.043798827
1.5260041,500,1005.6830583899999,1522.48,0.0051846,0.6508235037326813,192,393216,393216,-0.004614012,9.698619,813.4562335014343,0.06586914
1.523615,510,1004.9139629699998,1522.48,0.0045358683,0.7216433882713318,193,395264,395264,-0.004947602,8.416819,817.5492718219757,0.0496582
1.5289994,499,1013.98632807,1535.8,0.0037819408,0.6979362368583679,194,397312,397312,-0.0003926206,8.454569,821.560925245285,0.04194336
1.5363578,492,1021.9740176700001,1546.95,0.004037758,0.5297318398952484,195,399360,399360,-0.0012946586,12.063753,825.661762714386,0.043945312
1.5362842,509,1032.9555254900001,1563.06,0.007111676,0.4874929189682007,196,401408,401408,-0.0007852559,9.337438,829.8233139514923,0.08491211
1.5406355,498,1041.52889105,1575.81,0.0073499503,0.49307483434677124,197,403456,403456,-0.0029083434,9.841889,833.8400194644928,0.09082031
1.5456561,509,1041.8775731800004,1575.81,0.0043760324,0.5664318799972534,198,405504,405504,0.0006791479,10.245164,837.9514212608337,0.04838867
1.5471438,506,1042.0039950700002,1575.81,0.0057808245,0.6580221951007843,199,407552,407552,-0.0028187307,9.276104,841.9705288410187,0.064892575
1.5451071,515,1042.8091350000002,1575.81,0.003957114,0.606208324432373,200,409600,409600,-0.001978623,11.187221,846.0144424438477,0.04111328
1.5411366,499,1053.66563724,1590.49,0.0042424467,0.6023115515708923,201,411648,411648,-0.0018806824,7.8763328,849.9874632358551,0.04824219
1.5431002,473,1064.65565622,1606.92,0.005953421,0.4884018301963806,202,413696,413696,-0.002228862,10.565191,854.0875017642975,0.07285156
1.5479286,506,1076.1548490300002,1623.19,0.003416055,0.48548460006713867,203,415744,415744,-0.0004166827,14.0004635,858.4168021678925,0.038427733
1.5566025,505,1085.8615371,1635.63,0.005736218,0.6075277924537659,204,417792,417792,9.2346585e-05,8.573472,862.4612812995911,0.07133789
1.5692624,491,1098.2725868200002,1654.55,0.008451189,0.4341534972190857,205,419840,419840,-0.004728421,11.022469,866.5159537792206,0.10219727
1.5711403,508,1109.4338012,1670.9,0.003380495,0.6514990627765656,206,421888,421888,-0.0025441595,8.297327,870.6868968009949,0.03671875
1.5684173,502,1120.77327464,1686.45,0.0058026714,0.6516789197921753,207,423936,423936,-0.001483216,13.394856,874.7135429382324,0.07109375
1.560056,489,1129.13023989,1702.54,0.0072934106,0.6944301724433899,208,425984,425984,-0.000494763,13.357866,878.793142080307,0.082617186
1.5646911,497,1136.20644527,1719.09,0.005216511,0.8305298835039139,209,428032,428032,-0.0043947464,6.4474053,882.9738049507141,0.06147461
1.5619702,517,1147.76711933,1738.04,0.0021683567,0.653319388628006,210,430080,430080,-0.00022114204,9.715564,887.0893723964691,0.016845703
1.5553575,500,1161.59526669,1757.02,0.0054996023,0.6442394554615021,211,432128,432128,-0.00656326,9.0137415,891.0442981719971,0.06850586
1.563295,496,1172.00791056,1772.77,0.006316094,0.7323673069477081,212,434176,434176,-0.0034595646,6.9227114,895.1369204521179,0.072070315
1.577625,528,1182.6863465499998,1788.19,0.0032354123,0.6365894675254822,213,436224,436224,-0.0028050123,8.113463,899.2633628845215,0.037158202
1.59356,514,1195.7466231499998,1807.06,0.0065463847,0.26273679733276367,214,438272,438272,-0.0015115842,12.824135,903.137186050415,0.076416016
1.6036189,502,1207.5440468299998,1825.8,0.0035597538,0.6662738621234894,215,440320,440320,-0.0018320621,8.425241,907.1192538738251,0.040625
1.6024635,506,1219.7423082599998,1842.21,0.0028078887,0.4537680745124817,216,442368,442368,-0.0007390242,11.59334,911.1932742595673,0.024609376
1.6093066,529,1231.83202074,1858.68,0.0038092285,0.5202371776103973,217,444416,444416,-0.002942113,13.097639,915.2334651947021,0.045556642
1.6140391,511,1244.01192624,1874.79,0.0048373486,0.6166250109672546,218,446464,446464,-0.0034145166,9.468068,919.1034269332886,0.057910156
1.6093397,502,1256.4093945900001,1891.46,0.008258885,0.48592817783355713,219,448512,448512,-0.0039417287,8.713098,923.1104865074158,0.11098633
