approxkl,n_updates,policy_loss,clipfrac,value_loss,explained_variance,time_elapsed,fps,ep_len_mean,serial_timesteps,policy_entropy,total_timesteps,ep_reward_mean
0.0057044486,614,-0.0046530752,0.07290039,20.060444,0.012494683265686035,2679.1815202236176,426,2035.83,1257472,3.544548,1257472,2010.46535569
0.003418214,615,-0.0014164841,0.031933594,19.842112,0.02719038724899292,2683.9793689250946,429,2035.83,1259520,3.5471234,1259520,2010.46079267
0.0033029888,616,-0.0025432291,0.036376953,20.247786,0.002983272075653076,2688.7493329048157,441,2035.83,1261568,3.5549197,1261568,2010.41677949
0.0031783427,617,-0.001959517,0.030664062,20.238512,-0.006794571876525879,2693.385573863983,450,2035.83,1263616,3.5585008,1263616,2010.3585389100003
0.0020734142,618,-0.001608857,0.02211914,19.813766,0.0323559045791626,2697.927913427353,433,2035.83,1265664,3.5610988,1265664,2010.3484498700002
0.0017098801,619,-0.0008623338,0.019238282,20.129185,-0.0017148256301879883,2702.650848388672,431,2035.83,1267712,3.5745342,1267712,2010.47060856
0.0024811954,620,-0.00049882097,0.021386718,20.051134,0.007593691349029541,2707.3979892730713,443,2035.83,1269760,3.5757573,1269760,2010.38352778
0.0014725521,621,-0.0006796447,0.013232422,20.027935,0.00513148307800293,2712.0186400413513,426,2035.83,1271808,3.577818,1271808,2010.3476711399999
0.002354905,622,-0.0013016069,0.022021484,20.009998,0.0118827223777771,2716.821873188019,443,2035.83,1273856,3.5891926,1273856,2010.4823919799999
0.0014351734,623,-0.0004245067,0.0078125,20.000736,0.008237600326538086,2721.4386966228485,450,2035.83,1275904,3.5995533,1275904,2010.70653418
0.0015264282,624,-0.00040066437,0.013085937,20.159325,-0.002679109573364258,2725.9897179603577,447,2035.83,1277952,3.6049912,1277952,2010.7814105800003
0.0008949321,625,8.997059e-05,0.0044433596,20.146347,0.0029758214950561523,2730.564427614212,435,2035.83,1280000,3.611154,1280000,2010.95720638
0.0016097117,626,-0.0004951848,0.0107421875,19.802856,0.03043973445892334,2735.2679483890533,440,2035.83,1282048,3.609965,1282048,2010.9447386000002
0.0041742874,627,-0.0014843928,0.050439455,20.036291,-0.020050883293151855,2739.91454410553,452,2035.83,1284096,3.606739,1284096,2011.1599326799999
0.004241353,628,-0.003020818,0.044384766,19.902111,-0.008959174156188965,2744.4404485225677,435,2035.83,1286144,3.6079254,1286144,2011.2350563999998
0.00085714384,629,-0.00017636099,0.002001953,19.886906,0.005573928356170654,2749.1421535015106,403,2035.83,1288192,3.6129403,1288192,2011.35212784
0.0019338079,630,-0.00054229674,0.013525391,19.960768,0.014523208141326904,2754.2247014045715,453,2035.83,1290240,3.6146083,1290240,2011.6066105500001
0.0020123464,631,-0.00032519532,0.012890625,20.06483,0.017801105976104736,2758.744342327118,441,2035.83,1292288,3.62128,1292288,2011.7192917300001
0.0023015756,632,0.00022148326,0.018603515,20.439428,-0.006772398948669434,2763.379202604294,443,2035.83,1294336,3.6292148,1294336,2011.7942435300001
0.0043737,633,-0.0034464605,0.04814453,20.213648,0.0043108463287353516,2767.9930691719055,441,2035.83,1296384,3.6302533,1296384,2012.04437977
0.0027844138,634,-8.682399e-05,0.02446289,20.359539,-0.0073615312576293945,2772.6294717788696,410,2035.83,1298432,3.6392512,1298432,2011.99347226
0.0038822528,635,-0.0031626367,0.047753908,20.165262,0.007153153419494629,2777.6231129169464,441,2035.83,1300480,3.6446335,1300480,2011.8872818
0.0032921445,636,-0.0014881901,0.03569336,20.13462,0.019134581089019775,2782.2598764896393,436,2035.83,1302528,3.6547718,1302528,2011.54381884
0.001976838,637,-0.00038525873,0.013476563,19.747221,0.02309650182723999,2786.9572455883026,445,2035.83,1304576,3.647176,1304576,2011.2344789800002
0.004224513,638,-0.0032118806,0.051074218,19.95249,0.014653503894805908,2791.5503232479095,440,2035.83,1306624,3.6424522,1306624,2010.8159603000001
0.0064904667,639,-0.00455408,0.08540039,19.896702,0.01033163070678711,2796.1998159885406,440,2035.83,1308672,3.6491685,1308672,2010.6153985199996
0.0029566027,640,0.0003437142,0.030615235,20.36682,-0.014846324920654297,2800.847362756729,416,2035.83,1310720,3.6522403,1310720,2010.56772026
0.0030228945,641,-0.0009309098,0.030078124,20.190641,0.004042863845825195,2805.7659904956818,446,2035.83,1312768,3.6585941,1312768,2010.5329998299997
0.0018104773,642,-0.0013498751,0.012597656,20.278288,-0.00012362003326416016,2810.3550868034363,448,2035.83,1314816,3.665516,1314816,2010.5989082300002
0.0028146573,643,-0.0016454136,0.032568358,20.36352,-0.01383066177368164,2814.924262046814,431,2035.83,1316864,3.6831315,1316864,2010.5989609300004
0.0031776517,644,-0.0021737826,0.03540039,20.282366,-0.0042563676834106445,2819.6660330295563,429,2035.83,1318912,3.7037053,1318912,2010.6202019500001
0.0020505642,645,-0.0006482972,0.01796875,20.198977,0.006978929042816162,2824.4365968704224,435,2035.83,1320960,3.7173767,1320960,2010.66361888
0.004942651,646,-0.0023393824,0.059814453,19.673742,0.04410362243652344,2829.1395015716553,430,2035.83,1323008,3.72659,1323008,2010.7546663300004
0.0045467936,647,-0.00045922035,0.05288086,20.168188,0.00010818243026733398,2833.902636528015,430,2035.83,1325056,3.7290025,1325056,2010.8449566300003
0.0014953213,648,-0.0006164313,0.007861328,20.28997,-0.0008571147918701172,2838.6612408161163,439,2035.83,1327104,3.7223988,1327104,2010.93471244
0.0022490253,649,-0.00036564821,0.01508789,20.260172,-0.002756953239440918,2843.323685646057,435,2035.83,1329152,3.7168536,1329152,2010.9027939799998
0.004459069,650,-0.0029496977,0.047021486,20.144787,0.004426181316375732,2848.0246460437775,446,2035.83,1331200,3.7097313,1331200,2010.91757766
0.00212889,651,-0.0011898205,0.018652344,20.19315,-0.0032341480255126953,2852.611137866974,438,2038.73,1333248,3.7126763,1333248,2014.32988247
0.0027331598,652,-0.00065033074,0.029638672,20.287212,0.0006527304649353027,2857.283356666565,445,2038.73,1335296,3.7234707,1335296,2014.48873982
0.0031613498,653,-0.0009607136,0.031982422,20.272787,-0.0066983699798583984,2861.8852055072784,437,2038.73,1337344,3.7282708,1337344,2014.7090292400003
0.0026673449,654,-4.1051804e-05,0.026953125,19.911568,0.014222860336303711,2866.569631576538,442,2038.73,1339392,3.731353,1339392,2014.7843947800002
0.0030986096,655,-0.0031738966,0.03305664,10.129972,0.7987450808286667,2871.1969027519226,442,2038.73,1341440,3.741668,1341440,2014.6278098800003
0.0030003185,656,-0.002236297,0.031884767,16.803705,0.28361034393310547,2875.8206419944763,428,2038.73,1343488,3.756661,1343488,2014.6639333900002
0.0013814822,657,-0.00026416237,0.0128417965,10.603426,0.8928714394569397,2880.5977036952972,442,2022.21,1345536,3.7758362,1345536,1997.9231936299998
0.002129006,658,0.00063072273,0.016992187,2.9330618,0.9510872811079025,2885.224340200424,436,2017.93,1347584,3.7880025,1347584,1993.44372974
0.0021158648,659,-0.0005284111,0.01977539,2.2938223,0.964747179299593,2889.91561293602,437,2007.99,1349632,3.7969456,1349632,1983.3396043399998
0.004120812,660,-0.0016776714,0.043408204,20.24548,0.0032581686973571777,2894.5970556735992,443,2007.99,1351680,3.8061924,1351680,1983.34372222
0.0013502366,661,0.00037846965,0.011132812,24.216188,0.655694454908371,2899.2121744155884,442,2001.99,1353728,3.8178055,1353728,1976.9964791199998
0.0030568363,662,-0.00090721995,0.03286133,18.189474,0.1931707262992859,2903.8462800979614,455,2001.99,1355776,3.8424885,1355776,1976.7274343999995
0.0032422398,663,-0.0015459309,0.0340332,19.617146,0.05200076103210449,2908.342115879059,450,2001.99,1357824,3.8545742,1357824,1976.6397509099997
0.002168771,664,-0.00016872931,0.019238282,20.349037,-0.006904482841491699,2912.890803337097,440,2001.99,1359872,3.8604317,1359872,1976.6542449599997
0.0009433408,665,-0.0013183479,0.004736328,20.200375,0.004792571067810059,2917.540936946869,434,2001.99,1361920,3.845337,1361920,1976.7215705400001
0.003177689,666,-0.0019625977,0.03300781,20.308483,-0.002007603645324707,2922.2500264644623,437,2001.99,1363968,3.830342,1363968,1976.7327763
0.0030918266,667,-0.0019813557,0.031982422,20.29377,-0.00812995433807373,2926.9323720932007,440,2001.99,1366016,3.8200383,1366016,1976.6743893999999
0.0012050391,668,0.00020796918,0.008154297,20.266768,-0.003369569778442383,2931.5809812545776,440,2001.99,1368064,3.8232536,1368064,1976.9696701900002
0.0023829965,669,-0.0006816973,0.024023438,20.179615,-0.0008612871170043945,2936.2267315387726,435,2001.99,1370112,3.8268209,1370112,1977.08971302
0.0027639954,670,-0.001197752,0.029296875,19.89764,0.017550349235534668,2940.9337813854218,440,2002.1,1372160,3.8349986,1372160,1978.0981170800003
0.0013304038,671,-0.00076909893,0.009960937,20.167812,-0.0018820762634277344,2945.5790910720825,435,2009.15,1374208,3.8497803,1374208,1985.43118272
0.0013576716,672,0.00017936758,0.0078125,20.194393,-0.001874685287475586,2950.2771303653717,440,2012.26,1376256,3.8588977,1376256,1989.2887008200005
0.003912716,673,-0.0019172278,0.048828125,20.237984,-0.005748391151428223,2954.9232745170593,427,2012.26,1378304,3.8638988,1378304,1989.8648904
