policy_loss,n_updates,time_elapsed,policy_entropy,clipfrac,explained_variance,total_timesteps,value_loss,serial_timesteps,fps,approxkl,ep_len_mean,ep_reward_mean
-0.005876011,85,367.72674441337585,2.912117,0.053027343,0.9022188931703568,174080,6.715863,174080,477,0.004989844,1226.57,756.2725935400001
-0.0044364166,86,372.01216530799866,2.91697,0.064208984,0.8255513906478882,176128,9.640343,176128,486,0.005382595,1244.71,768.96880235
-0.0019615055,87,376.2209610939026,2.9180732,0.047216795,0.7939187288284302,178176,11.522815,178176,483,0.004176284,1262.96,781.90035134
-0.0017714726,88,380.4589104652405,2.9169068,0.063085936,0.8288347274065018,180224,9.700206,180224,486,0.0051551936,1281.24,794.71862953
-0.0010863093,89,384.6731059551239,2.9200668,0.039160155,0.7412099242210388,182272,13.103826,182272,477,0.003521451,1281.24,794.7418565099999
-0.0019611535,90,388.9657747745514,2.9215624,0.046191406,0.8453804403543472,184320,8.91244,184320,488,0.0040080072,1299.45,807.96672927
-0.0012603789,91,393.156370639801,2.9152675,0.026464844,0.7764387726783752,186368,12.017573,186368,482,0.0026086129,1317.73,820.81647975
-7.648725e-05,92,397.3989222049713,2.9077334,0.042236328,0.7833719551563263,188416,12.760839,188416,459,0.004023292,1333.94,832.42122308
-0.0019433664,93,401.85442638397217,2.9014986,0.024414062,0.8377073854207993,190464,16.954563,190464,476,0.0025155614,1315.85,818.99059407
-0.0036961802,94,406.15272760391235,2.8948128,0.054638673,0.8462895005941391,192512,9.189485,192512,494,0.004925559,1329.4,829.3974838999999
-0.0021887918,95,410.2939875125885,2.89366,0.03300781,0.8496810048818588,194560,10.79721,194560,486,0.0031356711,1329.4,828.98181648
-0.0014356751,96,414.50418996810913,2.8811245,0.051220704,0.8146693557500839,196608,11.837689,196608,453,0.004997598,1347.61,841.15706916
-0.0016582068,97,419.0203936100006,2.8676536,0.045214843,0.8115483820438385,198656,11.5916605,198656,469,0.0044579217,1362.06,851.55432197
-0.0006281803,98,423.37858510017395,2.862701,0.04550781,0.8253982663154602,200704,21.45821,200704,478,0.004325654,1368.09,854.9489624800001
-0.0013332986,99,427.6632311344147,2.8620965,0.040234376,0.9442583471536636,202752,3.9932113,202752,506,0.0036870935,1350.11,842.62634866
-0.0089719705,100,431.7059712409973,2.8584008,0.07856445,0.8235459476709366,204800,11.344145,204800,476,0.00690302,1350.11,842.9169606199998
-0.0023134805,101,436.01069378852844,2.8548152,0.037353516,0.8056492954492569,206848,12.429886,206848,493,0.003473262,1350.11,842.96374757
-0.0024961818,102,440.16486406326294,2.848805,0.05307617,0.8389366418123245,208896,16.508041,208896,493,0.004780694,1350.13,842.91285487
-0.0023988378,103,444.3182816505432,2.8513253,0.060302734,0.8151940256357193,210944,11.407263,210944,466,0.0056138947,1350.13,842.77196851
-0.00620822,104,448.71011781692505,2.854285,0.057275392,0.8294632285833359,212992,19.995611,212992,469,0.0049432423,1361.66,850.6927048099999
-0.0048514744,105,453.07382583618164,2.875983,0.038330078,0.8623046576976776,215040,22.171825,215040,464,0.0034091272,1349.67,843.6553592299999
-0.002628702,106,457.4853515625,2.8971026,0.04116211,0.8229173123836517,217088,11.861672,217088,469,0.0038731613,1349.67,843.35922814
-0.008188427,107,461.85098218917847,2.9011834,0.09370117,0.8354958444833755,219136,11.487846,219136,504,0.008403116,1367.79,856.2218665800001
-0.0014337592,108,465.9127540588379,2.8966506,0.05234375,0.8620136082172394,221184,9.383176,221184,495,0.004697184,1385.81,869.3194857
-0.005353895,109,470.0429496765137,2.8819442,0.058154296,0.9551467262208462,223232,3.8932266,223232,460,0.005645112,1369.98,858.7483813099998
-0.0022245995,110,474.4928126335144,2.8817077,0.049902342,0.7590002715587616,225280,13.109073,225280,445,0.004441732,1388.06,871.7037341799999
-0.004506481,111,479.08673572540283,2.8885353,0.06933594,0.8224378675222397,227328,9.239886,227328,507,0.005576614,1406.16,884.2480007299997
-0.0029414152,112,483.1217815876007,2.8925052,0.044433594,0.7954694777727127,229376,11.593134,229376,472,0.004072558,1424.05,896.8643871999999
-0.0043159155,113,487.4538733959198,2.896064,0.04248047,0.7628017961978912,231424,18.3349,231424,469,0.0037000575,1430.37,901.7751880599999
-0.005581851,114,491.8137333393097,2.9061446,0.05913086,0.8143191039562225,233472,11.26825,233472,483,0.0047054137,1430.37,902.0869733000001
-0.0021733723,115,496.0545868873596,2.9134011,0.022460938,0.8790721371769905,235520,7.669999,235520,504,0.0023488714,1442.47,911.06270032
-0.004485469,116,500.1144452095032,2.9233475,0.072021484,0.709058552980423,237568,13.422643,237568,487,0.006137491,1449.13,916.26177404
-0.0035002101,117,504.3143174648285,2.9249427,0.058886718,0.7848585546016693,239616,11.208708,239616,491,0.0050941193,1467.15,929.00702116
-0.002430949,118,508.4795696735382,2.9191022,0.035351563,0.814475879073143,241664,11.961981,241664,497,0.0034737145,1484.95,941.9519799
-0.0019749387,119,512.595600605011,2.9166431,0.05571289,0.814847931265831,243712,11.195828,243712,405,0.005021482,1484.95,942.8444655799999
-0.0033752911,120,517.6412794589996,2.922063,0.04375,0.7372936308383942,245760,27.062634,245760,442,0.0039532986,1504.4,956.85921837
-0.008242533,121,522.2699222564697,2.946483,0.07446289,0.8821086063981056,247808,7.2854867,247808,472,0.0058695255,1504.4,958.2298636500001
-0.008394751,122,526.6027987003326,2.9824617,0.05419922,0.8423918336629868,249856,25.60698,249856,470,0.0057366705,1461.11,928.9896095300002
-0.0011439784,123,530.9536011219025,2.9954915,0.051123045,0.8357045352458954,251904,9.058432,251904,474,0.004378114,1465.65,932.5802505700001
-0.003979595,124,535.2743449211121,3.0006537,0.04838867,0.7777122259140015,253952,13.2240505,253952,444,0.0041139345,1483.64,945.3375716499999
-0.003203045,125,539.8817000389099,3.005488,0.046142578,0.7686608135700226,256000,12.963913,256000,477,0.004048479,1501.46,957.9817593299999
-0.004168016,126,544.1749784946442,3.0178435,0.08388672,0.7964888513088226,258048,10.496447,258048,486,0.006546624,1512.38,966.36221182
-0.0054251947,127,548.38099360466,3.035587,0.053808592,0.8640991300344467,260096,9.416895,260096,463,0.004828411,1518.06,970.88517643
-0.0035570185,128,552.8021714687347,3.0404887,0.070458986,0.8513511419296265,262144,9.114196,262144,493,0.006099369,1530.46,980.1088681499999
-0.0035189167,129,556.9536604881287,3.0470357,0.036083985,0.8783623948693275,264192,11.801339,264192,488,0.0033372,1518.84,972.40957591
-0.0002502415,130,561.145694732666,3.0535886,0.043603517,0.8353985697031021,266240,10.163492,266240,470,0.00387762,1518.84,973.0842350499998
-0.006482692,131,565.4950330257416,3.0469306,0.04453125,0.7438685595989227,268288,20.010286,268288,485,0.003953862,1513.0,969.51913172
-0.004584109,132,569.7150709629059,3.0546033,0.040039062,0.9119551181793213,270336,5.8083134,270336,475,0.0041512446,1499.01,960.23351387
-0.0012747822,133,574.0196464061737,3.0589826,0.046044923,0.7960426062345505,272384,17.107483,272384,485,0.0044782623,1493.28,957.5313398300001
-0.0015911382,134,578.2355844974518,3.0686517,0.03857422,0.7460881173610687,274432,19.103891,274432,466,0.003256979,1485.74,951.61426974
-0.0029807417,135,582.6252975463867,3.075428,0.04194336,0.841545432806015,276480,14.281161,276480,449,0.0038391042,1476.06,944.26605079
-0.0019212794,136,587.1835625171661,3.0749733,0.027392577,0.772292748093605,278528,19.00524,278528,471,0.0025161388,1456.38,930.3042580299999
-0.0045504556,137,591.5306928157806,3.0647495,0.059521485,0.8354060649871826,280576,10.227223,280576,470,0.0052171303,1459.81,933.0906063400001
-0.0055997595,138,595.8815052509308,3.0530787,0.05722656,0.8377434760332108,282624,15.851237,282624,491,0.0050047184,1454.35,929.5668003799999
-0.005893949,139,600.0507566928864,3.046553,0.055761717,0.8982621058821678,284672,7.074111,284672,485,0.005025539,1441.46,920.4593538500001
-0.0002627488,140,604.2662789821625,3.0413208,0.038476564,0.8300459831953049,286720,15.674359,286720,471,0.0035022846,1451.55,928.2444417099999
-0.005068466,141,608.6091256141663,3.0464826,0.06010742,0.8506770431995392,288768,8.722606,288768,472,0.005360082,1456.18,932.33752309
-0.00047083423,142,612.9410932064056,3.0429013,0.03461914,0.7785655409097672,290816,11.749971,290816,481,0.003324484,1464.71,939.19443348
-0.0036903496,143,617.1915259361267,3.038463,0.0925293,0.8077065795660019,292864,13.158368,292864,489,0.007114114,1472.94,946.21023758
-0.0043405932,144,621.374603509903,3.046417,0.053613283,0.8919598311185837,294912,6.8053093,294912,468,0.004634372,1475.28,948.2719664900001
-0.0025808294,145,625.7447278499603,3.0419738,0.061328124,0.8488839715719223,296960,8.518325,296960,490,0.005400634,1475.28,948.96507823
