fps,explained_variance,policy_entropy,n_updates,serial_timesteps,value_loss,clipfrac,time_elapsed,policy_loss,approxkl,total_timesteps,ep_reward_mean,ep_len_mean
429,0.8195749670267105,3.2122993,37,75776,10.717769,0.03803711,176.15184664726257,-0.002896032,0.0038486582,75776,797.010607086207,1282.7413793103449
384,0.8417352139949799,3.2060235,38,77824,9.35322,0.040771484,180.91910457611084,-0.0025590237,0.0035871305,77824,806.9942370508476,1295.7288135593221
404,0.8330145329236984,3.2070034,39,79872,18.754501,0.042138673,186.2454206943512,-0.0047848974,0.0037301257,79872,792.5575237258064,1273.967741935484
455,0.7628723531961441,3.213232,40,81920,9.501856,0.07080078,191.31357264518738,-0.006622272,0.0058415984,81920,800.672813047619,1286.2698412698412
488,0.8293831944465637,3.2179217,41,83968,10.35018,0.043554686,195.8071620464325,-0.00468625,0.0037286982,83968,808.5618488125,1298.1875
489,0.8461061716079712,3.2228303,42,86016,11.854098,0.04848633,200.00235390663147,-0.0013281722,0.004150679,86016,816.6879052769231,1309.7384615384615
473,0.8484669625759125,3.22173,43,88064,16.970036,0.024121094,204.1864893436432,-0.002045773,0.0024914145,88064,812.8199028208955,1304.9701492537313
458,0.8187053352594376,3.2259736,44,90112,14.141714,0.02993164,208.515065908432,-0.0025270593,0.002781096,90112,821.2608654411765,1315.9117647058824
452,0.9047094881534576,3.2319965,45,92160,12.059208,0.03149414,212.98610377311707,-0.003875478,0.0028453004,92160,818.3712058714286,1311.057142857143
437,0.9283624589443207,3.235258,46,94208,6.111535,0.02421875,217.50866723060608,-0.0029677707,0.00245986,94208,812.149588971831,1303.4507042253522
463,0.8679565191268921,3.229037,47,96256,8.865715,0.043896485,222.18827509880066,-0.0018778432,0.003941908,96256,818.8736775694446,1313.8055555555557
482,0.8940232992172241,3.2303681,48,98304,9.757369,0.043115236,226.60301232337952,-0.0046563386,0.003674759,98304,827.0375264520549,1323.876712328767
495,0.852416142821312,3.240657,49,100352,22.346775,0.030810546,230.8444414138794,-0.0011067588,0.003293642,100352,814.2410848157897,1305.8947368421052
388,0.873682826757431,3.2460625,50,102400,14.016174,0.04941406,234.98045992851257,-0.00096213946,0.004239297,102400,811.979036794872,1301.923076923077
394,0.8061525076627731,3.2535381,51,104448,20.457071,0.07724609,240.25925660133362,-0.0041953367,0.006265343,104448,800.6543104444444,1286.79012345679
406,0.8728517442941666,3.2588582,52,106496,10.394116,0.08125,245.44845294952393,-0.0049392497,0.007003037,106496,807.356730902439,1296.0853658536585
418,0.8610160946846008,3.26477,53,108544,11.369651,0.03305664,250.4877474308014,-0.003294963,0.0029912505,108544,814.1652596385542,1305.1566265060242
438,0.8958050087094307,3.2688994,54,110592,13.81443,0.027148437,255.3872470855713,-0.0039567733,0.002426559,110592,781.9552679425287,1259.0919540229886
406,0.8697411268949509,3.2773445,55,112640,15.850151,0.04741211,260.0581786632538,-0.0016795468,0.004464451,112640,780.7673389101124,1256.685393258427
408,0.8490123152732849,3.2745786,56,114688,21.430897,0.026220703,265.1031470298767,-0.0039616963,0.0029394622,114688,744.8361617263157,1205.8
415,0.7848124951124191,3.2887082,57,116736,20.124157,0.055419922,270.1179623603821,-0.004165034,0.00528982,116736,715.57548093,1164.18
424,0.909414991736412,3.3021164,58,118784,16.99535,0.033447266,275.04408717155457,-0.005307025,0.0030966362,118784,676.2292727600002,1106.54
422,0.7949189692735672,3.3179169,59,120832,12.767487,0.04448242,279.8661787509918,-0.003176953,0.0040280437,120832,679.0278201800002,1111.14
471,0.866028755903244,3.3205585,60,122880,9.8594055,0.04916992,284.71701312065125,-0.0026733554,0.0044869995,122880,682.0852214800001,1115.92
418,0.7553993314504623,3.3232155,61,124928,29.63467,0.039160155,289.058753490448,-0.0059883045,0.0034401778,124928,663.00105375,1086.64
411,0.8340392261743546,3.3263276,62,126976,10.776197,0.053710938,293.95267033576965,-0.0044151163,0.0046602804,126976,673.7315229200001,1104.63
401,0.6139878928661346,3.345607,63,129024,20.44832,0.036572266,298.92813181877136,-0.004646053,0.0032499838,129024,642.5954327100001,1060.78
378,0.7023235857486725,3.3606682,64,131072,16.80325,0.04057617,304.02854561805725,-0.0047961725,0.003544915,131072,612.035959,1018.97
404,0.8830917999148369,3.3540921,65,133120,9.662859,0.047949217,309.4454755783081,-0.005942744,0.0042669037,133120,624.35565196,1037.02
441,0.8751145303249359,3.346169,66,135168,15.740804,0.013916016,314.5102913379669,-0.0013822725,0.0016547588,135168,630.6851819999999,1046.12
417,0.820392832159996,3.3423011,67,137216,17.810787,0.038330078,319.1547386646271,-0.005177894,0.0034758386,137216,608.93160953,1014.3
429,0.8437424898147583,3.3457115,68,139264,9.477128,0.048779298,324.06533575057983,-0.0041065714,0.004354362,139264,609.36544404,1014.3
389,0.9373790547251701,3.346845,69,141312,4.7879305,0.026660156,328.8311975002289,-0.0010953342,0.0025722743,141312,610.45274813,1016.14
415,0.8197434544563293,3.3410156,70,143360,13.180901,0.06660156,334.0954134464264,-0.008106851,0.0056946925,143360,621.6081481599999,1033.09
412,0.8333462774753571,3.3228574,71,145408,12.223104,0.035058595,339.02817463874817,-0.0038841567,0.0031534072,145408,622.79383898,1033.09
464,0.6887030899524689,3.3199544,72,147456,23.455736,0.039941408,343.9984951019287,-0.0022754804,0.0033738199,147456,594.54706099,996.04
417,0.566156655550003,3.3253155,73,149504,11.27576,0.035595704,348.41116428375244,-0.007413709,0.0035558944,149504,582.32257282,979.69
447,0.8297206908464432,3.3355873,74,151552,13.51794,0.05317383,353.31635189056396,-0.007432764,0.0046894858,151552,565.7309482100001,961.68
434,0.8754728883504868,3.3454292,75,153600,14.982454,0.05283203,357.8936336040497,-0.0022641842,0.004507253,153600,551.2242630200001,943.92
442,0.655179500579834,3.3460312,76,155648,16.675907,0.040722657,362.6060531139374,-0.003307461,0.0034743226,155648,516.9200569400001,897.74
434,0.8469656705856323,3.3469746,77,157696,14.081116,0.025341798,367.236132144928,-0.0030707796,0.002549643,157696,516.37282354,896.66
408,0.8359819650650024,3.355981,78,159744,9.5673485,0.075,371.9498562812805,-0.0023388243,0.006053217,159744,516.1994280500002,896.66
393,0.8605725765228271,3.3651443,79,161792,13.11833,0.031347655,376.9610342979431,-0.0005157201,0.00302392,161792,517.35887086,896.66
397,0.8831779360771179,3.3770638,80,163840,10.216207,0.052685548,382.16554045677185,-0.004901881,0.0045560477,163840,528.85462683,913.77
397,0.8574442118406296,3.3830082,81,165888,6.8525796,0.05444336,387.31732749938965,-0.004368846,0.0049005128,165888,516.80942456,899.12
408,0.7253327071666718,3.3691795,82,167936,21.96045,0.035986327,392.4763400554657,-0.0039040036,0.0034378204,167936,506.70355251,887.82
471,0.8532777577638626,3.3663738,83,169984,10.180128,0.052685548,397.49494552612305,-0.0050953827,0.0045494544,169984,519.27696108,905.84
450,0.7091255187988281,3.373302,84,172032,24.941559,0.022900391,401.8402132987976,-0.0042583747,0.0025177293,172032,478.33141653,847.64
454,0.9304327741265297,3.3762531,85,174080,5.4994917,0.02211914,406.3840193748474,-0.0025055283,0.0022804367,174080,480.80936568000004,851.9
419,0.754724383354187,3.375875,86,176128,24.34584,0.038671874,410.89421033859253,-0.0030377859,0.0034010913,176128,468.20601418,835.64
380,0.8625118881464005,3.3747172,87,178176,20.19564,0.04350586,415.77151226997375,-0.001116501,0.004102243,178176,453.86422127,813.78
442,0.8420866876840591,3.3754826,88,180224,12.769506,0.037060548,421.15391182899475,-0.0034677393,0.0033212502,180224,452.4067157200001,813.21
409,0.8484626561403275,3.3829708,89,182272,11.962971,0.038916014,425.78728580474854,-0.0019718858,0.003594291,182272,463.87773154,829.04
453,0.9246972426772118,3.37301,90,184320,5.411254,0.021044921,430.7943027019501,-0.0042261803,0.0021673895,184320,457.79114419000007,820.93
440,0.8330733627080917,3.3707244,91,186368,13.004824,0.020458985,435.30947971343994,-0.0036915336,0.0020921056,186368,454.34541487,815.77
419,0.8841615915298462,3.372663,92,188416,8.911888,0.05444336,439.9547071456909,-0.007817564,0.005353523,188416,465.28107837000005,832.66
456,0.8179279565811157,3.3730195,93,190464,14.58505,0.034570314,444.8416278362274,-7.305395e-05,0.0032651487,190464,453.4497869800001,816.53
457,0.9312571436166763,3.3796089,94,192512,8.015324,0.047021486,449.333074092865,-0.0044018338,0.0041089593,192512,459.4945495000001,825.68
423,0.8199334591627121,3.3872452,95,194560,11.757036,0.039404295,453.81410336494446,-0.0036444901,0.0038234137,194560,472.0844407000001,843.63
434,0.828255370259285,3.3823752,96,196608,17.563883,0.047070313,458.6510372161865,-0.0030168183,0.0045325654,196608,471.21729640999996,841.49
403,0.8282910883426666,3.3948047,97,198656,19.429585,0.057714842,463.3601167201996,-0.000539035,0.0048878016,198656,478.5387342699999,851.15
440,0.8413080275058746,3.405191,98,200704,11.097769,0.05419922,468.43754148483276,-0.0023472463,0.004478558,200704,486.53813342,863.44
387,0.7761133015155792,3.4215908,99,202752,10.384268,0.11049805,473.0851218700409,-0.005831828,0.009347939,202752,498.68386677,881.56
