value_loss,ep_len_mean,time_elapsed,policy_entropy,total_timesteps,ep_reward_mean,serial_timesteps,fps,explained_variance,policy_loss,clipfrac,approxkl,n_updates
9.170661,1333.388888888889,154.95765018463135,3.9822533,73728,825.3868180925926,73728,470,0.8408027440309525,-0.0029540462,0.03251953,0.002985364,36
17.43927,1351.7142857142858,159.3105161190033,3.9819481,75776,840.6609380535714,75776,456,0.8526440411806107,-0.0035308492,0.032177735,0.0030708273,37
15.784017,1363.9473684210527,163.79467868804932,3.974174,77824,851.4663934385965,77824,448,0.8325029760599136,-0.001909131,0.029492188,0.0028709103,38
8.533778,1375.7586206896551,168.36504673957825,3.967128,79872,859.8599857758621,79872,474,0.8503777533769608,-0.004374119,0.05883789,0.004928683,39
6.5448866,1387.1694915254238,172.68457174301147,3.9757085,81920,869.0040836440678,81920,468,0.9030706807971001,-0.0022331893,0.030517578,0.0029448855,40
9.166332,1374.95,177.0572850704193,3.9806767,83968,860.1242103333334,83968,458,0.9015841484069824,-0.005835659,0.068603516,0.0055816947,41
10.234671,1373.3387096774193,181.52459406852722,3.9845634,86016,860.1059932258065,86016,464,0.8736637830734253,-0.007860774,0.04711914,0.0040500443,42
16.565641,1367.5625,185.93804144859314,3.9842823,88064,857.0236680937501,88064,473,0.8205485641956329,-0.0025212294,0.013574218,0.0015571173,43
14.548454,1364.5454545454545,190.25945830345154,3.9809043,90112,854.3109873939395,90112,462,0.8210461139678955,-0.005685712,0.021777343,0.0024364109,44
5.276776,1361.134328358209,194.6877157688141,3.9750257,92160,851.7667916567165,92160,486,0.911365419626236,-0.003455979,0.019726563,0.0022137181,45
20.239082,1362.8260869565217,198.90127801895142,3.960326,94208,854.7973590144928,94208,440,0.8476339280605316,-0.0021509377,0.030566406,0.0030171792,46
12.787852,1372.6285714285714,203.55283856391907,3.952455,96256,863.2882267285715,96256,457,0.840205043554306,-0.003767149,0.037646484,0.003272181,47
5.2293134,1374.5633802816901,208.03255677223206,3.9428616,98304,864.7993630422536,98304,477,0.9185287654399872,-0.005901471,0.043945312,0.004057398,48
11.425992,1383.9305555555557,212.3266305923462,3.9361076,100352,871.0007378333333,100352,458,0.7811179310083389,-0.0024497795,0.034375,0.0029776879,49
10.579105,1393.041095890411,216.79209303855896,3.9404385,102400,878.3802056164384,102400,469,0.8546980172395706,-0.0045378595,0.04941406,0.0042164526,50
7.4207945,1398.472972972973,221.15255284309387,3.9504151,104448,883.4657518513513,104448,445,0.927712045609951,-0.0041468358,0.060546875,0.005280597,51
5.394372,1403.2666666666667,225.74596619606018,3.9431934,106496,888.6644058933334,106496,458,0.9253256022930145,-0.005026498,0.078222655,0.0068907626,52
9.626292,1411.7631578947369,230.20970749855042,3.9430854,108544,893.8992480657896,108544,467,0.7789410948753357,-0.0015750751,0.061181642,0.005431994,53
17.41812,1415.4871794871794,234.58872938156128,3.9522195,110592,896.8585256410256,110592,470,0.8355506211519241,-0.0026476583,0.033496093,0.0032266683,54
10.261943,1423.506329113924,238.93762016296387,3.9583912,112640,903.962535835443,112640,466,0.8633230626583099,-0.0032035355,0.0496582,0.004410777,55
4.475231,1416.0125,243.3236837387085,3.9635513,114688,898.7913785500001,114688,476,0.9277919828891754,-0.004440028,0.054736327,0.004789938,56
9.63524,1414.0487804878048,247.6206169128418,3.9623063,116736,897.1390819634146,116736,465,0.8980031460523605,-0.00788754,0.064404294,0.0051618903,57
9.305368,1407.904761904762,252.02024960517883,3.9638798,118784,892.8312969166667,118784,454,0.8978233337402344,-0.0015130809,0.023828125,0.002667226,58
12.065519,1397.9651162790697,256.5316734313965,3.968264,120832,885.437070476744,120832,468,0.8308549523353577,-0.0036471162,0.040234376,0.0038136751,59
8.028425,1396.1136363636363,260.9029371738434,3.9770164,122880,883.445798818182,122880,469,0.9030185416340828,-0.0024780394,0.028955078,0.0028632816,60
12.3014765,1403.4494382022472,265.26754236221313,3.9853134,124928,889.0301934719103,124928,482,0.7985692471265793,-0.004850763,0.04345703,0.0037183226,61
11.354513,1410.6222222222223,269.5158405303955,3.9832509,126976,896.0313409444445,126976,457,0.8788972124457359,-0.0034888485,0.044677734,0.0038472048,62
3.8578084,1410.131868131868,273.9948194026947,3.9733205,129024,896.2289442527474,129024,474,0.9590080976486206,-0.0061523207,0.06914063,0.005695242,63
7.523782,1407.195652173913,278.31080198287964,3.967031,131072,893.9522787500002,131072,464,0.9065969660878181,-0.0047700657,0.034082033,0.0032057813,64
5.037921,1412.8924731182797,282.72505021095276,3.970903,133120,898.7786637741937,133120,477,0.9380468353629112,-0.0002795096,0.023242187,0.0023650366,65
17.530247,1415.7684210526315,287.0135555267334,3.9802089,135168,902.0698711368424,135168,467,0.871855154633522,-0.004188346,0.042919923,0.0037846877,66
3.8961544,1413.5729166666667,291.39738941192627,3.9892755,137216,901.3365881354166,137216,472,0.9575394429266453,-0.0037838903,0.035253905,0.0038318883,67
17.071436,1415.0102040816328,295.73216819763184,3.9794014,139264,904.0497150204081,139264,469,0.8451605439186096,-0.0033881306,0.021875,0.0021478084,68
7.412881,1419.909090909091,300.0949821472168,3.9722946,141312,909.1063586868686,141312,453,0.9256479740142822,-0.0020472053,0.019824218,0.0020671147,69
4.699788,1419.37,304.61164951324463,3.9725404,143360,909.38710255,143360,448,0.9101240411400795,-0.0034046988,0.057128906,0.005919652,70
12.798689,1437.66,309.179083108902,3.9767659,145408,920.9228773,145408,431,0.6830904185771942,-0.005194188,0.10024414,0.008534161,71
16.322826,1440.8,313.92980456352234,3.9740722,147456,921.8733783299999,147456,448,0.7897908091545105,-0.0044272044,0.04248047,0.004225261,72
10.429606,1450.47,318.4927668571472,3.96643,149504,928.01813584,149504,420,0.6997432708740234,-0.0043195966,0.06865235,0.0055039036,73
10.831076,1450.52,323.36139130592346,3.9814014,151552,926.91768964,151552,451,0.7074914872646332,-0.0017042231,0.059179686,0.0052928077,74
9.787637,1450.52,327.8986146450043,3.9905152,153600,925.7825812200001,153600,441,0.7505746483802795,-0.0027913847,0.062207032,0.005112467,75
10.914066,1450.52,332.5389094352722,4.007888,155648,924.4574779400001,155648,455,0.8161473423242569,-0.0072138337,0.095703125,0.008332206,76
4.576732,1443.24,337.0317542552948,4.0165243,157696,919.6457623300001,157696,478,0.9427548721432686,-0.0031149185,0.017480468,0.0018270336,77
18.679821,1461.89,341.3132529258728,4.0181656,159744,934.6424830800001,159744,463,0.8108697831630707,-0.0013006008,0.0069335937,0.0009905669,78
12.211161,1477.48,345.7282736301422,4.0221868,161792,947.5699226500001,161792,465,0.8432850539684296,-0.0032887526,0.048339844,0.0038981258,79
9.454539,1490.51,350.12660026550293,4.027409,163840,956.52296706,163840,459,0.7555093765258789,-0.0017394756,0.046826173,0.0039750705,80
10.715382,1504.25,354.5876302719116,4.0352845,165888,966.7653035500001,165888,476,0.8897400870919228,-0.004272664,0.04941406,0.004465273,81
11.313732,1516.58,358.88638949394226,4.032691,167936,975.6292248100002,167936,463,0.7391132712364197,-0.0016927663,0.06523438,0.005976702,82
16.132868,1530.98,363.3037328720093,4.0318847,169984,986.01053651,169984,460,0.6798270046710968,-0.0047858926,0.038085938,0.0033568244,83
15.942587,1537.79,367.7476050853729,4.0387383,172032,991.5755052,172032,465,0.7548424452543259,-0.002111221,0.026123047,0.0023923027,84
9.262329,1534.76,372.1459219455719,4.039981,174080,991.5769771600001,174080,467,0.9009113162755966,-0.0007284961,0.02421875,0.002571938,85
11.989886,1549.17,376.52838921546936,4.0365806,176128,1003.1155309700001,176128,464,0.8127542436122894,-0.0018978429,0.021728516,0.002017635,86
5.4522257,1533.43,380.9370515346527,4.0391793,178176,993.2558024800002,178176,462,0.9163798317313194,-0.0023466009,0.013525391,0.0015088473,87
