approxkl,serial_timesteps,value_loss,time_elapsed,total_timesteps,policy_entropy,fps,explained_variance,ep_reward_mean,clipfrac,n_updates,ep_len_mean,policy_loss
0.0046837656,462848,12.141606,832.9304325580597,462848,4.691781,559,0.734572023153305,1126.2163342699998,0.051171876,226,1455.27,-0.0055550616
0.002434232,464896,19.900845,836.5936076641083,464896,4.684575,510,0.8849596902728081,1129.069476,0.022753906,227,1455.27,-0.0027829227
0.0029106252,466944,11.810987,840.6064555644989,466944,4.680112,580,0.9259075373411179,1097.99092114,0.027392577,228,1423.98,-0.0034075405
0.0034707102,468992,39.89123,844.1335389614105,468992,4.6821275,546,0.8852852359414101,1082.2270058000001,0.041259766,229,1408.33,-0.00606706
0.0024466966,471040,19.56275,847.8819947242737,471040,4.691571,540,0.8900284245610237,1085.79272342,0.024951171,230,1408.33,-0.00065760285
0.0045583984,473088,19.803566,851.6723244190216,473088,4.6932936,541,0.8858130276203156,1086.2827201599998,0.059472658,231,1408.33,-0.0019463385
0.002353083,475136,22.304197,855.4557845592499,475136,4.692125,587,0.8318877667188644,1087.5198876000002,0.025195312,232,1408.33,-0.0025386445
0.0055818865,477184,19.656042,858.94202876091,477184,4.6890326,547,0.8767749518156052,1087.99299476,0.07148437,233,1408.33,-0.0071738064
0.001852554,479232,15.905716,862.6866948604584,479232,4.683303,565,0.8362896591424942,1058.669153,0.018847656,234,1375.39,-0.0044777314
0.0038177122,481280,26.633383,866.3104076385498,481280,4.6822505,557,0.7453219294548035,1024.12802716,0.03125,235,1344.92,-0.0041130977
0.003956954,483328,13.995198,869.9834523200989,483328,4.684901,575,0.8118330091238022,1019.5841910400002,0.049316406,236,1344.92,-0.0023453392
0.004180491,485376,20.016909,873.5465307235718,485376,4.698962,536,0.8939293622970581,1019.7162762400003,0.04765625,237,1344.92,-0.0051795524
0.0025388116,487424,9.837652,877.3645958900452,487424,4.7077565,558,0.9662305265665054,1005.7329344700001,0.02631836,238,1330.61,-0.0033359826
0.0048837443,489472,26.001553,881.0352163314819,489472,4.7087317,543,0.8966206908226013,1006.7747206900001,0.052246094,239,1330.69,-0.0066570714
0.0040566255,491520,23.285398,884.8018314838409,491520,4.7070465,557,0.9130595177412033,1021.1967192600002,0.046826173,240,1345.14,-0.003843094
0.0043728715,493568,17.061827,888.4757115840912,493568,4.715554,557,0.8102207630872726,1026.4504315400002,0.05126953,241,1353.21,-0.006224713
0.0034691119,495616,15.105707,892.1485831737518,495616,4.7322936,541,0.8283383101224899,1006.8043026800001,0.041015625,242,1337.6,-0.004305172
0.0010711543,497664,10.526612,895.9307503700256,497664,4.721162,573,0.9278196319937706,973.3720169800002,0.010644531,243,1302.16,-0.002906115
0.003390506,499712,11.63182,899.5019636154175,499712,4.7235556,573,0.8615353107452393,968.4063664600002,0.041503906,244,1301.05,-0.0052738637
0.0054597002,501760,10.835422,903.0729470252991,501760,4.731548,522,0.945441234856844,966.5008237900001,0.054101564,245,1301.05,-0.0053099664
0.0064079002,503808,5.26008,906.9965951442719,503808,4.733083,533,0.9694213699549437,951.31174878,0.08671875,246,1283.44,-0.0064000497
0.0024349967,505856,20.95096,910.8328845500946,505856,4.7344503,525,0.9247576296329498,947.0042894500001,0.024658203,247,1276.93,-0.0021051948
0.002456318,507904,19.962072,914.7298476696014,507904,4.728307,520,0.8879941403865814,947.3833596800001,0.024853516,248,1276.93,-0.0021572502
0.0046572136,509952,20.887287,918.6683571338654,509952,4.7163153,521,0.8419537991285324,962.0189982200001,0.051708985,249,1292.11,-0.0045967833
0.002434805,512000,21.565514,922.5939607620239,512000,4.7186036,585,0.8394055813550949,940.83043803,0.026464844,250,1274.81,-0.0043886444
0.0029585036,514048,8.992618,926.0967936515808,514048,4.7239847,557,0.9069620817899704,913.6141803799998,0.033496093,251,1246.95,-0.005871446
0.004623833,516096,10.560877,929.7738609313965,516096,4.737001,565,0.7853263169527054,908.1433612499999,0.057128906,252,1246.95,-0.0035944278
0.005922325,518144,10.224094,933.3974378108978,518144,4.76641,543,0.9385386519134045,903.2199956599999,0.06274414,253,1246.95,-0.0059297523
0.002229206,520192,26.617437,937.1665675640106,520192,4.785619,545,0.8987916558980942,908.1406498199999,0.024560547,254,1253.19,-0.00199817
0.0045200293,522240,19.315027,940.9188630580902,522240,4.786488,536,0.8809477537870407,908.80718411,0.05605469,255,1253.19,-0.0027904292
