serial_timesteps,policy_loss,policy_entropy,n_updates,total_timesteps,approxkl,time_elapsed,value_loss,fps,explained_variance,clipfrac,ep_len_mean,ep_reward_mean
200704,-0.0035722037,4.210834,98,200704,0.0050644716,431.3921687602997,9.71942,454,0.8358930498361588,0.059472658,1499.29,934.6669827299999
202752,-0.0020725243,4.2152586,99,202752,0.005654135,435.8963758945465,9.9967,457,0.7776267826557159,0.06962891,1499.29,935.64396488
204800,-0.0043447088,4.217969,100,204800,0.005011166,440.3716995716095,15.621222,466,0.736189216375351,0.057958983,1486.03,926.4458365200001
206848,-0.0026802868,4.2195196,101,206848,0.0037295986,444.76193857192993,11.580538,465,0.7850242406129837,0.040625,1486.3,925.88898259
208896,-0.0018064765,4.2205215,102,208896,0.001993434,449.1606533527374,9.523129,477,0.8119115233421326,0.018408203,1486.3,925.1951593600002
210944,-0.0029087763,4.220633,103,210944,0.0038894694,453.45277667045593,9.717999,463,0.8487674593925476,0.044628907,1486.91,925.4886842300001
212992,-0.0008592509,4.2190733,104,212992,0.0026651507,457.8742232322693,15.203814,465,0.8292725682258606,0.026464844,1482.86,922.70229242
215040,-0.003661728,4.220743,105,215040,0.0028976584,462.27450156211853,9.293848,465,0.859976202249527,0.030615235,1477.68,918.64296144
217088,-0.0048200055,4.219373,106,217088,0.0050871787,466.6714868545532,9.184674,492,0.8115688562393188,0.06201172,1488.31,926.30011058
219136,-0.004589371,4.2136607,107,219136,0.003598766,470.8261983394623,13.309311,476,0.748314768075943,0.04296875,1505.91,938.5374280000001
221184,-0.0030747864,4.1994624,108,221184,0.009107648,475.12780141830444,10.115819,450,0.7382844388484955,0.08300781,1505.91,938.5697857300001
223232,-0.0027354956,4.1938267,109,223232,0.0031333324,479.676246881485,8.556876,467,0.8511472940444946,0.033154298,1507.96,940.08648617
225280,-0.002685044,4.1947746,110,225280,0.0029719141,484.05626130104065,15.297783,469,0.8000196218490601,0.029785156,1504.45,937.29986519
227328,-0.0040750327,4.208669,111,227328,0.006103068,488.4192681312561,7.7206316,418,0.7933696359395981,0.07973633,1504.45,935.4313629100001
229376,-0.0027094504,4.217252,112,229376,0.0024907845,493.31148624420166,14.169454,479,0.6509208083152771,0.021972656,1504.45,934.15601466
231424,-0.0050210534,4.212532,113,231424,0.0039185784,497.58082604408264,8.471056,461,0.8166085481643677,0.04086914,1507.32,936.39548513
233472,-0.0065746726,4.204219,114,233472,0.0053385394,502.0211908817291,20.871428,439,0.7461790442466736,0.06137695,1494.82,925.8925309000001
235520,-0.0035936818,4.2036295,115,235520,0.0043293345,506.67994236946106,13.164991,467,0.7250339388847351,0.051367186,1510.09,937.05509194
237568,-0.0027189208,4.20092,116,237568,0.0021130396,511.06241750717163,11.7828045,473,0.8443865478038788,0.019580077,1481.9,917.77639648
239616,-0.003545851,4.204002,117,239616,0.0032819633,515.3907458782196,12.179983,447,0.8003783673048019,0.03666992,1481.9,917.8799923799999
241664,-0.00088743016,4.2027802,118,241664,0.0024446293,519.9725053310394,9.153582,442,0.7889241874217987,0.024560547,1474.56,913.1881386599999
243712,-0.0019917013,4.201631,119,243712,0.004189248,524.603985786438,8.878117,457,0.8429294526576996,0.047949217,1493.59,924.79156701
245760,-0.0041930745,4.208551,120,245760,0.004645056,529.078387260437,18.588013,470,0.7770328670740128,0.05605469,1475.64,911.7260785799999
247808,-0.0033500113,4.2085094,121,247808,0.0041105077,533.4272854328156,13.607859,466,0.7655798643827438,0.049316406,1492.13,924.2799788499999
249856,-0.0025310519,4.2119455,122,249856,0.003989347,537.8208742141724,10.567896,428,0.8136658817529678,0.045703124,1502.42,931.5927346199999
251904,-0.0029678827,4.2332993,123,251904,0.0024830191,542.6019601821899,16.5368,436,0.8106632232666016,0.02841797,1493.98,926.3425761299998
253952,-0.00067816983,4.231472,124,253952,0.0028160256,547.2947976589203,9.20648,463,0.8482458591461182,0.029541016,1494.13,926.9338887399999
256000,-0.0029544916,4.2189455,125,256000,0.0034876808,551.7112350463867,7.1098566,490,0.8823674470186234,0.036328126,1508.48,937.1326641999999
258048,-0.0032127309,4.218679,126,258048,0.0031642641,555.891762971878,15.192915,455,0.7771187573671341,0.035742186,1490.71,923.1580276000001
260096,-0.004870694,4.2270103,127,260096,0.005486115,560.3906965255737,10.918478,459,0.8096560537815094,0.06435547,1490.71,923.8434090600001
262144,-0.004974707,4.2445016,128,262144,0.0070125675,564.846803188324,10.719393,461,0.760207861661911,0.07197265,1490.71,923.41838571
264192,-0.0030951393,4.2560515,129,264192,0.004598115,569.2827136516571,19.41228,459,0.8264100402593613,0.053271484,1454.64,898.22238473
266240,-0.0031917877,4.271361,130,266240,0.006006862,573.7376577854156,10.199665,457,0.7406213581562042,0.07104492,1471.18,909.7445524800002
268288,-0.002945567,4.286693,131,268288,0.003973918,578.2146854400635,9.0892315,471,0.817295640707016,0.05,1488.86,921.78044377
270336,-0.002381635,4.291464,132,270336,0.0023386125,582.5609269142151,13.497314,472,0.7666593044996262,0.024658203,1504.14,933.10099755
272384,-0.0029631737,4.2929635,133,272384,0.0030779701,586.8949179649353,8.811072,479,0.8411551117897034,0.032226562,1522.15,945.69717992
274432,-0.0011649278,4.291248,134,274432,0.0027039412,591.1701202392578,10.968822,473,0.7938952594995499,0.025,1522.15,945.61400546
276480,-0.0038014029,4.2924337,135,276480,0.0029843922,595.4991872310638,12.325682,476,0.8032689392566681,0.03540039,1541.14,958.63868639
278528,-0.0030477108,4.2939763,136,278528,0.0038892534,599.795884847641,12.960806,458,0.7380760908126831,0.04638672,1557.58,970.45676397
280576,-0.0021806986,4.290917,137,280576,0.0026535592,604.2614297866821,11.179248,463,0.8222112208604813,0.03017578,1573.28,982.1918677099999
282624,-0.00479457,4.2805247,138,282624,0.004531799,608.676221370697,11.161112,470,0.8285796344280243,0.052441407,1573.28,982.8768463099998
284672,-0.0012632112,4.2745028,139,284672,0.004369124,613.0322124958038,10.868213,464,0.8005492240190506,0.046777345,1591.03,995.5929422699999
286720,-0.005810792,4.2708473,140,286720,0.006150642,617.4410076141357,13.352613,462,0.76724873483181,0.06772461,1608.65,1008.3128290599998
288768,-0.0046525616,4.2804594,141,288768,0.0051084375,621.8735344409943,5.611184,472,0.9131669402122498,0.050830077,1621.47,1018.0302079499999
290816,-0.0026404546,4.2891665,142,290816,0.0032965906,626.2128174304962,9.463091,484,0.8480348289012909,0.037158202,1621.47,1019.6240439499999
292864,-0.0070273117,4.3019753,143,292864,0.003976425,630.4411613941193,9.049558,480,0.830722451210022,0.045458984,1621.47,1020.4637605100002
294912,-0.0039697085,4.3100247,144,294912,0.0048516253,634.7020032405853,10.591688,455,0.8125550150871277,0.05205078,1621.47,1021.4422784999999
296960,-0.002405264,4.309827,145,296960,0.0034151603,639.202024936676,11.986129,473,0.7716025412082672,0.038330078,1621.47,1020.90070614
299008,-0.003957101,4.324433,146,299008,0.0040192343,643.5237078666687,12.280808,465,0.805485263466835,0.04433594,1637.02,1032.3775695599998
301056,-0.0019517647,4.324189,147,301056,0.0032897019,647.9198389053345,13.108526,468,0.768695667386055,0.0359375,1637.02,1033.19971758
303104,-0.0027317111,4.3143916,148,303104,0.004711581,652.2876439094543,18.13963,474,0.7972769737243652,0.049951173,1636.48,1034.01060766
305152,-0.0017666997,4.305003,149,305152,0.0025890633,656.605880022049,9.125291,454,0.8767099380493164,0.027294923,1636.48,1035.3628625000001
307200,-0.0020013028,4.3071947,150,307200,0.0021705767,661.1146700382233,20.790707,465,0.8447138965129852,0.02211914,1617.88,1022.71163622
309248,-0.0003543634,4.3192835,151,309248,0.0028556983,665.5207557678223,9.682871,453,0.8565356731414795,0.032470703,1635.77,1035.77712282
311296,-0.006397291,4.321623,152,311296,0.005450302,670.0404725074768,14.860052,445,0.836646318435669,0.058447264,1651.09,1046.0213189600001
313344,-0.002170023,4.3312597,153,313344,0.0029180273,674.6339123249054,22.469213,466,0.795748382806778,0.032421876,1642.99,1040.84470227
315392,-0.005502458,4.3381133,154,315392,0.0043720487,679.0285196304321,7.9065256,473,0.890397235751152,0.041503906,1633.39,1033.92574894
317440,-0.0020839088,4.339711,155,317440,0.0047961227,683.3584055900574,11.374813,455,0.8223300874233246,0.051611327,1633.39,1033.72780841
319488,-0.003383318,4.3401194,156,319488,0.00366353,687.8588516712189,22.347157,467,0.8059945851564407,0.032666016,1609.47,1017.7076595800002
321536,-0.0027443327,4.3274274,157,321536,0.003158934,692.2398610115051,10.582528,456,0.8771445080637932,0.031201173,1609.47,1018.8098656500001
323584,-0.0029749614,4.3183126,158,323584,0.0030731899,696.7228178977966,21.108135,471,0.8349900543689728,0.035595704,1613.35,1023.1051109599998
325632,-0.0038260645,4.3178005,159,325632,0.0034087878,701.0674803256989,12.20269,478,0.8307827711105347,0.038720705,1613.35,1023.4027730299999
327680,-0.0039356737,4.32097,160,327680,0.0033914763,705.3467109203339,4.6781206,468,0.9436300843954086,0.03671875,1595.26,1010.1659361
329728,-0.0035918574,4.3151717,161,329728,0.0027318145,709.7174592018127,37.015358,473,0.6619850993156433,0.028027344,1586.26,1005.8738316900001
331776,-0.0032631338,4.30764,162,331776,0.0021708545,714.0416371822357,10.52612,459,0.9111285135149956,0.021875,1558.98,987.98860128
333824,-0.0018438287,4.315078,163,333824,0.002817883,718.5009758472443,5.233182,470,0.9195985421538353,0.03203125,1550.63,982.66694848
335872,-0.001098667,4.318144,164,335872,0.0030914485,722.8516323566437,10.498144,461,0.8082796335220337,0.034814455,1550.63,982.3661598699998
337920,-0.0040416094,4.323222,165,337920,0.006231749,727.294615983963,16.365181,469,0.8341951072216034,0.05683594,1534.82,971.76584432
339968,-0.0037387193,4.3349833,166,339968,0.0049225623,731.6550166606903,11.56425,479,0.798304945230484,0.056103516,1534.82,971.62098217
342016,-0.004468795,4.3318567,167,342016,0.0038934927,735.9275300502777,13.479683,445,0.8872401937842369,0.043896485,1516.66,959.6372978
344064,-0.0028610043,4.3270936,168,344064,0.0033444434,740.5286998748779,9.197766,474,0.8490296900272369,0.037597656,1516.66,960.2083541699999
346112,-0.0051079327,4.307456,169,346112,0.004525312,744.8431203365326,9.872703,452,0.880934827029705,0.052246094,1512.43,958.8468417699999
348160,-0.0005309512,4.305005,170,348160,0.0027498587,749.3678798675537,14.6842985,461,0.8779861629009247,0.029296875,1494.27,949.1833751199999
350208,-0.0016875304,4.3032064,171,350208,0.0022757729,753.8027760982513,9.682505,469,0.8805353343486786,0.024023438,1494.27,951.05361974
352256,-0.001490756,4.2973113,172,352256,0.0039189416,758.1670181751251,13.277227,453,0.9032229334115982,0.039013673,1476.04,940.0559050400001
354304,-0.002198542,4.2901564,173,354304,0.003332787,762.6871151924133,11.982521,459,0.7438124120235443,0.039013673,1489.3,949.01236754
356352,-0.0037038717,4.2939196,174,356352,0.005444645,767.1485676765442,19.426174,457,0.8326576203107834,0.059033204,1471.3,937.6020642899999
358400,-0.0021889359,4.301281,175,358400,0.0030749105,771.6287784576416,19.744179,462,0.8725153654813766,0.03364258,1453.29,925.8508460600001
360448,-0.0012616611,4.30305,176,360448,0.0025094894,776.0573399066925,9.721378,465,0.9142704680562019,0.02631836,1427.21,907.83832521
362496,-0.0040165177,4.303291,177,362496,0.0022353386,780.455634355545,35.15005,459,0.7005857229232788,0.021923829,1333.2,844.9060868600001
364544,-0.0005813067,4.3139076,178,364544,0.0014714389,784.9091284275055,10.492463,451,0.9003114104270935,0.014208985,1305.6,826.7833669699999
366592,-0.00636008,4.322393,179,366592,0.0070741363,789.4431495666504,10.631582,462,0.8632049858570099,0.06914063,1320.19,836.9816330799999
368640,-0.0021043927,4.3189816,180,368640,0.0025339345,793.8710610866547,12.480665,479,0.8146743923425674,0.025927734,1336.17,848.8255327
370688,-0.00537234,4.3184986,181,370688,0.0032354004,798.1419727802277,20.915209,485,0.8352761715650558,0.036474608,1329.78,844.9211559599999
372736,-0.0027807688,4.3267474,182,372736,0.0021526108,802.3585662841797,15.345785,470,0.883986733853817,0.02060547,1302.6,827.07985075
374784,-0.006509988,4.332626,183,374784,0.0038699429,806.7090270519257,12.470543,449,0.9146592020988464,0.041064452,1274.11,806.15824256
376832,-0.0007878241,4.3375916,184,376832,0.0025291268,811.266438961029,15.147547,461,0.7806994765996933,0.026464844,1274.11,806.7267692399998
378880,-0.0074609667,4.3483305,185,378880,0.004364037,815.7027630805969,23.817703,486,0.8694677799940109,0.051123045,1210.23,763.0032636
380928,-0.0034604936,4.3628774,186,380928,0.0020176568,819.9124262332916,15.950892,459,0.8725727945566177,0.018847656,1183.2,745.2388916499999
382976,-0.0018583697,4.366112,187,382976,0.0026077789,824.3720593452454,8.493446,465,0.9330361261963844,0.024658203,1199.01,756.8075424299999
385024,-0.0031424668,4.3706694,188,385024,0.0022112746,828.7697286605835,2.4451058,461,0.9753527082502842,0.022949219,1180.87,744.6249789499998
387072,-0.0029845703,4.372674,189,387072,0.0025641494,833.20947098732,17.252739,468,0.8835479468107224,0.02861328,1148.77,722.9365794599997
389120,-0.0021033923,4.3716245,190,389120,0.004127598,837.5817680358887,9.718848,475,0.8475986272096634,0.043408204,1148.77,723.65326133
391168,-0.0025494827,4.3706675,191,391168,0.0023375775,841.8900027275085,20.910616,486,0.8039830774068832,0.022949219,1131.01,711.2791817600003
393216,-0.003582466,4.371775,192,393216,0.003021957,846.1027767658234,10.115295,474,0.8872861266136169,0.033984374,1131.01,712.02082957
395264,-0.0022057141,4.3767776,193,395264,0.0025867461,850.4178366661072,13.141314,459,0.7804797291755676,0.02890625,1131.01,712.3126438300001
397312,-0.0017114204,4.3878646,194,397312,0.00575417,854.8785219192505,10.342901,472,0.8249597400426865,0.066552736,1131.01,712.0585766600001
399360,-0.00407782,4.3901396,195,399360,0.0031736703,859.2178916931152,12.382788,484,0.8352102488279343,0.036035158,1131.01,712.17413814
401408,-0.0013764959,4.3977766,196,401408,0.0039127287,863.4456441402435,12.495688,461,0.814710333943367,0.043408204,1133.78,714.2436367
403456,-0.0014193942,4.4116244,197,403456,0.0034274608,867.8824453353882,13.06896,481,0.7741837650537491,0.0418457,1133.78,713.3840738
405504,-0.00089164067,4.4266768,198,405504,0.0026671342,872.1352183818817,18.69396,459,0.8086532354354858,0.028808594,1117.47,701.2064211399999
407552,-0.0047014104,4.4301662,199,407552,0.0034545674,876.5906870365143,12.264645,458,0.8485189527273178,0.037841797,1117.47,702.06771465
409600,-0.0006806223,4.423796,200,409600,0.0027581195,881.0578844547272,14.203325,464,0.83234503865242,0.027929688,1117.47,702.34570977
411648,-0.0021074405,4.416464,201,411648,0.004145504,885.4706830978394,12.232428,461,0.7602821588516235,0.04091797,1117.47,701.1952133499998
413696,-0.0018492708,4.4118032,202,413696,0.0047965785,889.9056153297424,10.941984,480,0.7587059289216995,0.05517578,1117.47,700.9117359
415744,0.0013886883,4.4104223,203,415744,0.005109756,894.1694586277008,10.737482,454,0.7360119521617889,0.055664062,1135.58,712.9304544700001
417792,-0.0010573297,4.40545,204,417792,0.0027942401,898.6744878292084,11.927401,462,0.8054670095443726,0.030712891,1135.58,713.1493483700001
419840,-0.00247587,4.403604,205,419840,0.002512257,903.1006309986115,12.728802,463,0.8226318657398224,0.025097657,1135.58,714.1976015300002
421888,-0.0028625673,4.4017487,206,421888,0.0024251784,907.5237431526184,13.096698,445,0.8383843451738358,0.02319336,1153.75,727.5284936500002
423936,-0.00373324,4.403476,207,423936,0.003278446,912.1263365745544,7.508172,468,0.890529528260231,0.03652344,1165.74,736.0300720500001
425984,-0.0022735102,4.403846,208,425984,0.0043973005,916.5007286071777,12.135975,482,0.8280754685401917,0.053222656,1165.74,736.5245570500001
428032,-0.0019616764,4.3906794,209,428032,0.0030121761,920.7431342601776,11.849514,463,0.8137356638908386,0.030664062,1170.35,740.48383211
430080,-0.005835494,4.388341,210,430080,0.0037678499,925.1620192527771,11.439129,471,0.8315051347017288,0.047021486,1185.91,752.08094767
432128,-0.0054809046,4.400498,211,432128,0.004288436,929.5099227428436,9.673876,464,0.8349331915378571,0.049707033,1193.7,758.07527287
434176,-0.0013771348,4.409611,212,434176,0.0015015833,933.9229538440704,30.316532,460,0.8170393258333206,0.015332031,1183.5,752.5366204300001
436224,-0.0031095028,4.4150357,213,436224,0.004847153,938.3745930194855,9.545153,468,0.8767972961068153,0.052734375,1184.72,754.05408549
438272,-0.00019581518,4.413392,214,438272,0.0027307505,942.7467966079712,12.219406,461,0.7955083847045898,0.028076172,1200.08,765.1876758499999
440320,-0.0018254999,4.4006248,215,440320,0.00286114,947.1897823810577,9.70318,477,0.8644309639930725,0.031054687,1218.09,777.9911657900001
442368,0.0003190795,4.390893,216,442368,0.0033655278,951.4765071868896,10.660315,469,0.8546560704708099,0.033154298,1218.09,778.4718859999999
444416,-0.0032937955,4.37658,217,444416,0.0033838004,955.8398673534393,11.053863,473,0.8425467312335968,0.03466797,1218.09,778.0423489299999
446464,-0.004128502,4.3681264,218,446464,0.0033067416,960.1665518283844,9.371802,471,0.8315549939870834,0.037353516,1229.75,786.7665820399999
448512,-0.0012263448,4.3673825,219,448512,0.00408432,964.5087895393372,9.826903,449,0.8698657155036926,0.04863281,1229.75,788.39108568
450560,-0.0028189002,4.3750854,220,450560,0.003454573,969.0631523132324,5.3880997,422,0.9238012507557869,0.036328126,1230.17,788.69711582
452608,-0.0036163416,4.3837085,221,452608,0.0042185565,973.910080909729,10.1162,455,0.828122466802597,0.050732423,1230.17,787.7463562800002
454656,-0.0010400988,4.3873644,222,454656,0.0038884443,978.4107966423035,13.307437,478,0.7752291858196259,0.04057617,1242.71,797.04053646
456704,-0.0019052026,4.392376,223,456704,0.0038267965,982.689995765686,10.427685,437,0.8644760698080063,0.04633789,1257.27,807.81939325
458752,-0.004915352,4.4006715,224,458752,0.004324831,987.3753781318665,12.38078,474,0.8162133246660233,0.046728514,1272.97,819.5544992499999
460800,-0.00093725586,4.4074335,225,460800,0.0024295312,991.6914999485016,12.531252,470,0.8403401672840118,0.024365235,1282.17,826.77667096
462848,-0.0035044297,4.4090495,226,462848,0.005037583,996.0487241744995,20.97301,467,0.8114753663539886,0.061083984,1290.89,833.4076182800001
464896,-0.0033338305,4.416278,227,464896,0.0028312937,1000.4311666488647,6.658267,448,0.9117873460054398,0.029101562,1287.36,831.6362508100001
466944,-0.0034424867,4.4220343,228,466944,0.0042967433,1004.9996948242188,10.14518,449,0.8410009294748306,0.046484374,1287.36,832.24544452
468992,-0.0033086925,4.421567,229,468992,0.0034591076,1009.5591025352478,27.787247,457,0.8065452128648758,0.03286133,1270.75,821.85417802
471040,-0.0011710114,4.420205,230,471040,0.0032841875,1014.0403878688812,10.59493,463,0.8626527935266495,0.035498045,1288.91,835.28959851
473088,-0.0018593713,4.4213786,231,473088,0.0043660803,1018.462286233902,14.914078,448,0.7798326015472412,0.047021486,1288.91,835.2590943099999
475136,-0.0027599826,4.427334,232,475136,0.004272193,1023.0248684883118,12.533779,464,0.830905482172966,0.047949217,1293.14,838.93436277
477184,-0.002421172,4.431293,233,477184,0.0049553877,1027.4311363697052,10.710208,474,0.7966298907995224,0.06015625,1293.14,838.4295031399998
479232,-0.0035677254,4.453702,234,479232,0.005059923,1031.7512140274048,12.841629,461,0.7375196516513824,0.05571289,1311.3,850.2493656399998
481280,-0.004840428,4.4757123,235,481280,0.004522088,1036.1848773956299,15.605833,459,0.7419017553329468,0.052734375,1311.3,849.89421875
483328,-0.004338395,4.4741945,236,483328,0.0025656694,1040.642522573471,10.756765,462,0.8346705287694931,0.02734375,1311.3,849.3357137200001
485376,-0.0016174555,4.4567227,237,485376,0.0032789975,1045.0717849731445,12.322395,495,0.7633623480796814,0.031445313,1329.53,862.3345404100002
487424,-0.00028424666,4.450738,238,487424,0.0032064721,1049.2051119804382,10.049528,472,0.8158618956804276,0.03388672,1329.53,863.86800921
489472,-0.0032172608,4.4619503,239,489472,0.0039551966,1053.544063091278,13.311195,464,0.757878988981247,0.04663086,1329.53,863.2534082200001
491520,-0.003262385,4.4682627,240,491520,0.0038277085,1057.949313402176,9.93896,481,0.8402415812015533,0.041650392,1347.53,876.2628728200002
493568,-0.0028016148,4.485,241,493568,0.0072479597,1062.2070269584656,11.092875,457,0.8403659760951996,0.07460938,1347.53,876.1272098900001
495616,-0.0045820693,4.497645,242,495616,0.0025910037,1066.6811923980713,11.368919,454,0.8340916335582733,0.027197266,1365.52,889.7551782300001
497664,-4.7777925e-05,4.4947023,243,497664,0.002761661,1071.1861622333527,13.471774,465,0.7273684144020081,0.030126953,1383.56,902.8748801300001
499712,-0.0010490946,4.5028486,244,499712,0.0026229448,1075.5900721549988,13.917689,470,0.8042430728673935,0.027832031,1401.63,915.1510179500001
501760,-0.0019349027,4.508946,245,501760,0.0024639757,1079.941834449768,12.60747,470,0.7664925158023834,0.026123047,1419.45,928.19125725
503808,-0.0035385836,4.52029,246,503808,0.0029384806,1084.2937338352203,21.120289,482,0.8330625891685486,0.033837892,1419.97,928.6801292999999
505856,-0.0016013642,4.5249033,247,505856,0.0031822186,1088.534675836563,10.171196,460,0.8123965263366699,0.034570314,1437.77,941.2204135
507904,-0.0007217624,4.5178614,248,507904,0.0054067867,1092.9868369102478,10.645259,436,0.7304186224937439,0.058203124,1455.52,952.5888159000001
509952,-0.0036357224,4.511148,249,509952,0.0025879173,1097.6752433776855,10.722935,458,0.8433030545711517,0.029345702,1473.69,966.06852065
512000,-0.0076757832,4.52425,250,512000,0.0068499693,1102.1379022598267,17.410646,471,0.7511545568704605,0.08105469,1494.35,980.2064074
514048,-0.0032164739,4.5426016,251,514048,0.0025585296,1106.4814882278442,9.745933,456,0.8545167595148087,0.027832031,1512.25,993.4214424
516096,-0.0036349453,4.5431623,252,516096,0.0030538791,1110.968950510025,5.106667,451,0.945912279188633,0.032128908,1494.52,981.0659329500002
518144,-0.003151379,4.5411277,253,518144,0.0033984135,1115.5015051364899,12.713112,459,0.8152238130569458,0.039160155,1494.52,980.79481522
520192,-0.0023107775,4.5522943,254,520192,0.002421803,1119.9558506011963,15.595822,472,0.8562855124473572,0.025195312,1501.56,984.72275411
522240,-0.0037714138,4.5601835,255,522240,0.006502766,1124.291026353836,11.396677,463,0.7634339928627014,0.069970705,1518.23,996.6594000099998
524288,-0.0034762968,4.5720053,256,524288,0.0064136507,1128.7077610492706,13.358052,444,0.7365612387657166,0.07714844,1523.3,998.83857417
526336,-0.0004752901,4.5801888,257,526336,0.0013650714,1133.3183991909027,11.047457,453,0.8473871946334839,0.011865234,1541.46,1012.0665740400001
528384,-0.0071353465,4.573745,258,528384,0.0045376946,1137.8342156410217,8.298887,476,0.8388444185256958,0.047705077,1549.62,1017.8238490599999
530432,-0.0015037745,4.5714617,259,530432,0.0021581626,1142.130614042282,12.978557,477,0.8765714392066002,0.023291016,1560.5,1025.87406664
532480,-0.0021981823,4.573283,260,532480,0.0015224807,1146.422949552536,20.50055,421,0.8172084540128708,0.01586914,1560.55,1026.27039819
534528,-0.0009705202,4.56364,261,534528,0.0026911772,1151.286993265152,5.593277,438,0.9209733530879021,0.027832031,1559.94,1024.9546469799998
536576,-0.0021317385,4.570716,262,536576,0.002870397,1155.9552948474884,16.83556,479,0.7960051000118256,0.030566406,1582.69,1040.0020835399998
538624,-0.0006799402,4.5769916,263,538624,0.0059425524,1160.2253680229187,13.984863,445,0.8298113197088242,0.06865235,1601.07,1051.73810017
540672,-0.011284323,4.5909,264,540672,0.0075117424,1164.8267982006073,7.3194976,465,0.8612031787633896,0.08061524,1602.66,1052.9160261
542720,-0.0012939668,4.5987983,265,542720,0.0033452045,1169.2267870903015,10.018295,451,0.8557214140892029,0.038232423,1609.61,1056.88879394
544768,-0.0023178789,4.599784,266,544768,0.0030820596,1173.7623760700226,9.051971,490,0.8165470957756042,0.033984374,1626.06,1068.73057325
546816,-0.0029044896,4.596743,267,546816,0.0046682656,1177.936561346054,9.074683,460,0.8459548205137253,0.05625,1643.79,1080.53801787
548864,-0.0013029345,4.596968,268,548864,0.0027531493,1182.388197183609,15.900815,483,0.7710416465997696,0.028173828,1659.66,1091.41998037
550912,-0.0007636728,4.5984783,269,550912,0.002507335,1186.6213099956512,9.961649,478,0.8268926441669464,0.024267578,1677.8,1103.98541143
552960,-0.0045969896,4.6112833,270,552960,0.0031098065,1190.9028625488281,10.085891,467,0.9021048322319984,0.038183592,1664.94,1094.0140918900001
555008,-0.0065338872,4.6216793,271,555008,0.0074207867,1195.2811591625214,16.913143,471,0.7897369414567947,0.07749023,1663.51,1092.23808804
557056,-0.0030887113,4.6226892,272,557056,0.0020265842,1199.6241672039032,15.511249,440,0.8318311721086502,0.020214844,1663.51,1093.5129785499998
559104,-0.0027690376,4.6180873,273,559104,0.002620934,1204.269410610199,12.439283,445,0.8074088245630264,0.028515626,1681.27,1105.90293031
561152,-0.0037163906,4.613058,274,561152,0.0028168464,1208.870225429535,9.047054,480,0.8734273463487625,0.031347655,1667.96,1095.2244735
563200,-0.0047806455,4.615123,275,563200,0.0037719267,1213.1337020397186,9.649393,475,0.8121870905160904,0.04111328,1667.96,1095.85687517
565248,-0.0058672787,4.633734,276,565248,0.006212989,1217.4396908283234,9.620926,466,0.788170650601387,0.07119141,1667.96,1095.9179367
567296,-0.0037892298,4.648593,277,567296,0.00295137,1221.8256680965424,14.983345,462,0.8338803201913834,0.029345702,1651.74,1082.72783836
