total_timesteps,serial_timesteps,time_elapsed,approxkl,policy_loss,ep_reward_mean,n_updates,ep_len_mean,explained_variance,clipfrac,fps,policy_entropy,value_loss
208896,208896,766.7441346645355,0.0035030632,-0.0021547088,463.07881640000005,102,1820.0,0.3691662549972534,0.036865234,259,1.7286718,3.1718307
210944,210944,774.6447718143463,0.0025996123,-0.0023393598,474.53960571000005,103,1843.18,0.18617039918899536,0.021679688,260,1.7261121,5.032346
212992,212992,782.5154602527618,0.0030491562,-0.0030923584,476.9943736800001,104,1848.15,0.3618823289871216,0.029248048,266,1.7294832,3.185364
215040,215040,790.1969437599182,0.0029424722,-0.0019806186,486.29891609000003,105,1868.64,0.4024890661239624,0.031835936,267,1.7316624,4.284783
217088,217088,797.8536531925201,0.0032742682,-0.0029167677,492.41685953,106,1881.6,0.4083453416824341,0.034179688,270,1.7229617,2.9047396
219136,219136,805.4318363666534,0.0034618746,-0.0039422987,499.66915537,107,1898.59,0.23640328645706177,0.039746094,259,1.7161467,2.6347406
221184,221184,813.321061372757,0.005217341,-0.0010862554,505.83699656,108,1914.94,0.23913246393203735,0.059472658,258,1.7192171,2.3556638
223232,223232,821.234117269516,0.0044147326,-0.0032863375,512.19754919,109,1930.25,0.33690571784973145,0.050390624,255,1.7152889,2.1846461
225280,225280,829.2418971061707,0.0036254625,-0.001469522,518.57858876,110,1945.87,0.2902872562408447,0.03676758,253,1.7176373,2.1732163
227328,227328,837.3206067085266,0.0035082065,-0.002677648,525.1769681000001,111,1961.51,0.3664242625236511,0.038769532,266,1.713096,2.7532265
229376,229376,845.0069763660431,0.0020491653,-0.0017862117,534.9724763099999,112,1971.85,0.4633789658546448,0.02080078,266,1.7085342,5.112203
231424,231424,852.6955318450928,0.004338212,-0.0022240493,539.95316973,113,1971.85,0.41852957010269165,0.05078125,267,1.7111975,3.1831107
233472,233472,860.3568165302277,0.0050357217,-0.0051519442,543.8796981300001,114,1971.85,0.31889426708221436,0.05961914,260,1.7120701,2.7843997
235520,235520,868.208390712738,0.005445809,-0.003740369,547.8914081900001,115,1971.85,0.3829385042190552,0.064208984,263,1.707283,2.583345
237568,237568,875.979814529419,0.0031859707,-0.0014559135,553.6006439100001,116,1977.57,0.5880047678947449,0.0328125,272,1.6998942,3.1103675
239616,239616,883.5024347305298,0.009980608,-0.00657777,557.8577331500002,117,1981.71,0.34360265731811523,0.14213867,264,1.6932787,2.3671405
241664,241664,891.2362575531006,0.0024783467,-0.000280025,563.7881367800001,118,1981.71,0.5095068514347076,0.02236328,277,1.686066,4.516779
243712,243712,898.628101348877,0.0044643707,-0.004088635,564.52801315,119,1960.54,0.5021156072616577,0.043261718,270,1.6806167,4.757531
245760,245760,906.2034854888916,0.004325547,-0.0030397824,568.20507617,120,1960.54,0.4344511032104492,0.046240233,272,1.6660923,2.9370027
247808,247808,913.7069456577301,0.0052239364,-0.0057681142,567.40457486,121,1949.19,0.5218796730041504,0.06069336,269,1.6561989,2.5013795
249856,249856,921.3156704902649,0.0033721335,-0.0023306415,572.2135280599999,122,1942.18,0.42414337396621704,0.031103516,274,1.6617568,5.339837
251904,251904,928.7732326984406,0.0045582736,-0.002343189,576.5046164099999,123,1942.18,0.5559817850589752,0.05517578,274,1.6630386,3.5253499
253952,253952,936.246479511261,0.002193255,-0.0002655625,580.31330501,124,1942.18,0.39563173055648804,0.02060547,270,1.6652119,3.344624
256000,256000,943.8231945037842,0.004645014,-0.002318284,584.9138401800001,125,1942.18,0.48130249977111816,0.053222656,265,1.6521918,3.4421077
258048,258048,951.5521171092987,0.0052958988,-0.003708475,589.92069452,126,1942.18,0.5740623772144318,0.06523438,277,1.6386789,3.6778405
260096,260096,958.9327223300934,0.0026045167,0.0007495025,594.0573115499999,127,1942.18,0.4948817491531372,0.02451172,272,1.6442009,3.5367482
262144,262144,966.4568493366241,0.0045360867,-0.002221555,597.34314769,128,1942.18,0.5017295181751251,0.049560547,282,1.6496298,2.84771
264192,264192,973.7061543464661,0.0041468507,-0.0018210381,601.14941012,129,1942.18,0.3605865240097046,0.044042967,259,1.6510143,3.6098342
266240,266240,981.6054093837738,0.0035289924,-0.0013151169,598.7059490099999,130,1926.59,0.657772958278656,0.03803711,279,1.6415403,3.59035
268288,268288,988.9345331192017,0.004245344,-0.0013737542,603.75124219,131,1926.59,0.5677336752414703,0.04902344,272,1.6415564,3.6536186
270336,270336,996.4431536197662,0.0016807949,-0.0013323998,609.23672623,132,1918.01,0.49288588762283325,0.013525391,283,1.6428936,8.273336
272384,272384,1003.6705236434937,0.0020327407,-0.0002948005,599.55381941,133,1860.96,0.47214430570602417,0.015771484,271,1.6466926,10.999626
274432,274432,1011.22611951828,0.0022524009,-0.00062854,603.6484590399999,134,1860.96,0.49657177925109863,0.018164063,288,1.6511564,4.2272673
276480,276480,1018.3327050209045,0.0032590658,-0.001570189,602.3472330299999,135,1849.76,0.6248043179512024,0.035253905,287,1.6491257,4.1857476
278528,278528,1025.4625134468079,0.0041752094,-0.0006720867,604.06125545,136,1842.82,0.6291135251522064,0.045214843,281,1.6447792,4.373067
280576,280576,1032.7322881221771,0.0036074533,-0.0025551268,609.17786228,137,1842.82,0.4128568172454834,0.03852539,258,1.6412404,4.095201
282624,282624,1040.6447055339813,0.0045417445,-0.0046913447,612.2155180499999,138,1842.82,0.5661476850509644,0.04897461,279,1.6388289,4.957406
284672,284672,1047.9819860458374,0.005513861,-0.0030367726,617.32426392,139,1842.82,0.5442178845405579,0.06777344,273,1.6224409,5.0594673
286720,286720,1055.4595761299133,0.0017627145,-0.0012816295,620.602201,140,1819.4,0.5182721316814423,0.011865234,293,1.6142467,11.076106
288768,288768,1062.4357800483704,0.003684593,-0.0046758917,625.9233796,141,1819.4,0.6250838935375214,0.042529296,276,1.6182995,5.039952
290816,290816,1069.8405916690826,0.0017997492,-0.0008853822,620.68230159,142,1791.17,0.4515753388404846,0.01171875,272,1.6167829,8.146035
292864,292864,1077.3589260578156,0.0050682602,-0.0060529457,622.4373695500001,143,1775.8,0.5976783335208893,0.0609375,276,1.6156619,8.108826
294912,294912,1084.7602019309998,0.0051349467,-0.005833448,627.15200465,144,1775.8,0.6437420845031738,0.061035156,264,1.6240342,4.4166136
296960,296960,1092.4962315559387,0.002613447,-0.0016162675,616.8778334,145,1717.11,0.46032488346099854,0.02709961,289,1.6335729,13.6567745
299008,299008,1099.5665082931519,0.0022743298,-0.0005639958,622.74296922,146,1717.11,0.5921521782875061,0.022558594,285,1.6410568,6.0846148
301056,301056,1106.7461121082306,0.0035931799,-0.003310611,622.1502147299999,147,1705.77,0.660315066576004,0.038183592,277,1.6584431,4.6308565
303104,303104,1114.1282711029053,0.0020384372,-0.0010672784,619.63996679,148,1671.88,0.4981820583343506,0.0128417965,280,1.671957,11.807754
305152,305152,1121.4285440444946,0.0036260046,0.00016080207,622.0744660099999,149,1656.12,0.5253193080425262,0.039501954,289,1.6721916,9.300829
307200,307200,1128.5146236419678,0.0037751466,-0.003237072,613.4966639899999,150,1610.13,0.45627927780151367,0.039990235,280,1.6740868,11.008794
309248,309248,1135.8293046951294,0.0039874977,-0.002462722,614.47836723,151,1593.22,0.38344937562942505,0.045458984,288,1.6746305,8.681555
311296,311296,1142.9244034290314,0.002788371,-0.0021707308,608.05746491,152,1561.81,0.5422963500022888,0.026660156,282,1.6819572,8.462358
313344,313344,1150.170833349228,0.004637079,-0.004934819,613.2693309399999,153,1561.81,0.5421364605426788,0.055322267,286,1.6853768,5.920416
315392,315392,1157.3321812152863,0.004624731,-0.002826735,615.5151933299999,154,1554.79,0.6632609665393829,0.059179686,277,1.6902364,4.8496475
317440,317440,1164.70068526268,0.0024903982,-0.003361246,613.6990248500001,155,1513.03,0.4596666097640991,0.02709961,279,1.6982052,17.539497
319488,319488,1172.0259792804718,0.0035108873,-0.0014308088,600.12832265,156,1460.71,0.4956333637237549,0.038183592,281,1.6968277,12.44619
321536,321536,1179.3067860603333,0.0029505757,-0.0006215389,582.8429151400001,157,1385.24,0.4086163640022278,0.034570314,283,1.694453,19.741117
323584,323584,1186.5335972309113,0.004627845,-0.0007672485,549.33938244,158,1265.49,0.3870426416397095,0.048046876,277,1.697284,25.921078
325632,325632,1193.9023096561432,0.0027996595,-0.0041967686,520.7985823,159,1179.25,0.2994471788406372,0.032324217,288,1.7129672,24.547554
327680,327680,1201.0022082328796,0.0029460867,-0.004322192,505.60626560000003,160,1138.95,0.4305601119995117,0.030712891,284,1.7262509,14.902885
329728,329728,1208.211552143097,0.0030144053,-0.0016685292,499.06074248000004,161,1121.94,0.6816950440406799,0.029589843,289,1.7333517,7.6639075
331776,331776,1215.287784576416,0.001893623,-0.0014810357,479.83017551999995,162,1054.79,0.44702428579330444,0.01669922,284,1.7392902,19.76704
333824,333824,1222.4983670711517,0.0032778694,-0.0024628374,460.82675278000005,163,1004.52,0.5016717314720154,0.034814455,292,1.7444998,15.090586
335872,335872,1229.5062427520752,0.004716664,-0.006407102,448.06249787,164,963.75,0.6396131217479706,0.048291016,282,1.7483637,10.944393
337920,337920,1236.7504394054413,0.004032318,-0.0014009433,448.25677082000004,165,963.75,0.5658298134803772,0.04448242,283,1.7534306,4.352557
339968,339968,1243.9869410991669,0.0036269096,-0.0022955316,444.54513861999993,166,953.81,0.4834613800048828,0.038671874,275,1.7460331,8.683372
342016,342016,1251.409443616867,0.0033968892,-0.0008993363,443.97622497,167,953.81,0.7489995658397675,0.036035158,263,1.7392257,3.9872222
344064,344064,1259.1843421459198,0.0048792358,-0.0014499885,444.04781212999995,168,949.06,0.5859422087669373,0.053955078,287,1.7389599,8.538558
346112,346112,1266.3132638931274,0.0031648085,-0.00048479246,441.7191376800001,169,941.67,0.6060702800750732,0.03305664,287,1.7437718,8.150233
348160,348160,1273.4252705574036,0.0066491226,-0.0043072253,437.03975922000006,170,928.79,0.7531458884477615,0.0824707,295,1.7471416,4.2961135
350208,350208,1280.3547151088715,0.0029251971,-0.00024839517,425.1865244,171,900.08,0.5629138052463531,0.030371094,291,1.7508404,10.916567
352256,352256,1287.3866741657257,0.0076440424,-0.0035125583,419.14275879,172,883.71,0.6482068598270416,0.09555664,283,1.7509077,3.434012
354304,354304,1294.6047747135162,0.0040152054,-0.0020906313,419.16256896,173,884.13,0.49090737104415894,0.042138673,285,1.7634846,8.089378
356352,356352,1301.7717807292938,0.0031134402,-0.0018854842,411.95063043000005,174,869.19,0.600056529045105,0.030517578,291,1.773205,8.176317
358400,358400,1308.8018991947174,0.0020994204,-0.0038498356,411.89393465999996,175,867.42,0.5878387689590454,0.021142578,266,1.7816565,13.257418
360448,360448,1316.490511894226,0.0064998656,-0.0057402737,411.95867576000006,176,866.83,0.7817876487970352,0.07392578,275,1.7754179,2.452022
362496,362496,1323.9152376651764,0.0041764784,-0.0031122684,419.03990644000004,177,884.0,0.7869498282670975,0.047167968,275,1.7812898,4.3584714
364544,364544,1331.3569643497467,0.0043820916,-0.0043852134,425.11976777,178,891.76,0.5866970717906952,0.045703124,276,1.7963343,10.55263
366592,366592,1338.7576715946198,0.0040783314,-0.0017028671,427.57911341000016,179,898.7,0.575899064540863,0.041259766,240,1.7770932,6.0128527
368640,368640,1347.2906906604767,0.0051535456,-0.002569918,424.71249832999996,180,894.84,0.6962621510028839,0.06386719,281,1.7576389,3.591716
370688,370688,1354.5652797222137,0.004694401,-0.0023258207,425.4668594200001,181,894.84,0.43685615062713623,0.05522461,279,1.7533315,5.3047867
372736,372736,1361.885202884674,0.0024132105,-0.0025615306,414.84232911,182,873.74,0.7387320101261139,0.023779297,284,1.7615585,7.7499213
374784,374784,1369.0761489868164,0.0038982828,-0.0019366627,420.30203229,183,889.3,0.615765243768692,0.04482422,268,1.7714288,3.9848723
376832,376832,1376.6984889507294,0.007316363,-0.004656738,423.46638659999996,184,897.16,0.4700993299484253,0.099804685,263,1.7695757,6.008026
378880,378880,1384.4748983383179,0.0022578377,-0.000617147,408.40314151,185,868.25,0.4874260425567627,0.01977539,284,1.7759386,16.96144
380928,380928,1391.6653790473938,0.0037808646,3.4406257e-05,401.23608182,186,852.88,0.876647375524044,0.041796874,282,1.7756428,4.090602
382976,382976,1398.9206159114838,0.0032435083,-0.0003199787,407.75470950999994,187,863.32,0.7813616394996643,0.034814455,292,1.7766416,5.476365
385024,385024,1405.9340851306915,0.0032253605,-0.002906391,405.48220978999996,188,858.13,0.5905422866344452,0.03701172,264,1.7771412,17.834532
387072,387072,1413.6722555160522,0.0021417642,-0.00058359216,411.33836646,189,869.47,0.5838590860366821,0.015185547,273,1.7733395,6.4736495
389120,389120,1421.1726462841034,0.0044129267,-0.003354534,406.48612175999995,190,859.49,0.7915995419025421,0.048339844,285,1.7627077,8.97594
391168,391168,1428.3539788722992,0.0026010203,-0.0050252816,399.8996120399999,191,846.82,0.6050714552402496,0.028320312,285,1.7595074,17.416676
393216,393216,1435.5400202274323,0.0032188583,-0.001974277,395.59127385,192,836.99,0.807248130440712,0.034228515,283,1.7555933,8.444897
395264,395264,1442.765569448471,0.003688321,-0.00411217,383.66631563000004,193,814.71,0.6130882799625397,0.037402343,267,1.7539785,15.527415
