approxkl,total_timesteps,n_updates,fps,clipfrac,policy_entropy,value_loss,explained_variance,policy_loss,serial_timesteps,time_elapsed,ep_reward_mean,ep_len_mean
0.0027150677,67584,33,161,0.026855469,4.5412626,11.695639,0.9285160452127457,-0.0041117324,67584,360.05672788619995,1300.0585182500001,1497.5681818181818
0.004348154,69632,34,202,0.03720703,4.5290475,2.5616486,0.9620549157261848,-0.0032573477,69632,372.73769307136536,1303.6641536,1501.888888888889
0.003871271,71680,35,194,0.038720705,4.508449,2.5002751,0.9702329654246569,-0.0045807124,71680,382.8398756980896,1316.5432192173914,1513.7608695652175
0.003954881,73728,36,193,0.043066405,4.4975195,2.3957932,0.9700535349547863,-0.0068940856,73728,393.3522253036499,1328.0954911489362,1525.127659574468
0.002305737,75776,37,202,0.020166015,4.5070086,2.435865,0.96915203332901,-0.0012002112,75776,403.9366638660431,1339.2511677708333,1536.0208333333333
0.0025567524,77824,38,163,0.025292968,4.521529,7.9403405,0.9522895514965057,-0.0027886871,77824,414.0538191795349,1327.1807265400003,1522.84
0.005043749,79872,39,193,0.04160156,4.522518,2.5836263,0.9632783196866512,-0.003957992,79872,426.5942988395691,1330.6934665882354,1525.9803921568628
0.0037741358,81920,40,139,0.042089842,4.525585,20.157368,0.9060559421777725,-0.0038895612,81920,437.1901276111603,1297.2784758333335,1490.111111111111
0.0027207884,83968,41,165,0.02841797,4.5399394,15.261419,0.9028757810592651,-0.0023198775,83968,451.8548958301544,1277.093010589286,1469.5714285714287
0.0025775752,86016,42,172,0.026757812,4.543106,7.18044,0.9672980196774006,-0.0022754692,86016,464.22771883010864,1263.2946962413796,1456.6206896551723
0.006612317,88064,43,192,0.07646485,4.53632,2.4289017,0.9737557955086231,-0.004474365,88064,476.1099274158478,1264.7965141525426,1457.915254237288
0.0028684658,90112,44,116,0.029052734,4.5305824,27.782124,0.8174096345901489,-0.001276661,90112,486.7333743572235,1211.689239484375,1405.890625
0.0038840235,92160,45,171,0.03730469,4.518774,1.0595387,0.9853519834578037,-0.005874401,92160,504.3080837726593,1193.8359765384616,1386.3538461538462
0.0037892866,94208,46,201,0.03359375,4.480468,2.5933914,0.9644135758280754,-0.0035510282,94208,516.2486848831177,1204.4597123333333,1396.378787878788
0.0020310306,96256,47,126,0.019091796,4.457756,27.772396,0.8455347120761871,-0.0027149618,96256,526.4079406261444,1173.1041015285716,1365.1142857142856
0.002613862,98304,48,144,0.029345702,4.453868,16.077307,0.9212487637996674,-0.003666776,98304,542.634423494339,1143.1913232876711,1337.027397260274
0.008758858,100352,49,189,0.04863281,4.450794,2.9300878,0.9673604927957058,-0.008144921,100352,556.8195378780365,1135.4050015675675,1328.445945945946
0.004792723,102400,50,193,0.04916992,4.436566,2.4594421,0.9693060237914324,-0.002448279,102400,567.6364243030548,1145.1692734266667,1338.04
0.0020565228,104448,51,189,0.020898437,4.42966,3.8366923,0.9649076648056507,-0.0027309314,104448,578.2492990493774,1154.6752723947368,1347.3815789473683
0.00603092,106496,52,190,0.051708985,4.4316015,2.6657667,0.9715128298848867,-0.0051394505,106496,589.057740688324,1162.928223909091,1356.4805194805194
0.0037973144,108544,53,198,0.04321289,4.4294963,2.3982723,0.970220822840929,-0.006304422,108544,599.815999507904,1171.794946897436,1365.3461538461538
0.0036288872,110592,54,154,0.039941408,4.4211435,10.29702,0.9384589195251465,-0.005265427,110592,610.1597270965576,1171.430754375,1365.5125
0.0042726463,112640,55,159,0.03701172,4.4143734,15.980227,0.9262499287724495,-0.0008562291,112640,623.386724948883,1160.921610597561,1355.3048780487804
0.004384258,114688,56,157,0.051123045,4.4236374,13.0263195,0.9187061414122581,-0.0068374216,114688,636.2480442523956,1152.8977492380955,1347.0119047619048
0.004214309,116736,57,196,0.039697267,4.418747,2.5427794,0.96863679215312,-0.004264231,116736,649.275712966919,1155.3828906117649,1349.2823529411764
0.0048406227,118784,58,140,0.050341796,4.4105573,20.327496,0.8809312134981155,-0.00732812,118784,659.7249827384949,1144.1513272272728,1338.8522727272727
0.0038489774,120832,59,190,0.04018555,4.4158373,2.504762,0.9684727229177952,-0.0040934193,120832,674.3489143848419,1139.7327510449438,1334.6629213483145
0.004556608,122880,60,189,0.053710938,4.4123735,2.5729597,0.9639168679714203,-0.005949753,122880,685.1284945011139,1147.8316037222223,1342.588888888889
0.0037923213,124928,61,157,0.04057617,4.411802,9.69294,0.9435066245496273,-0.006685066,124928,695.9615976810455,1144.935434347826,1338.695652173913
0.007897435,126976,62,190,0.10424805,4.41524,2.538873,0.9654056467115879,-0.005725394,126976,708.9573163986206,1149.5833627204302,1343.3225806451612
0.0031292518,129024,63,192,0.025244141,4.390982,2.645554,0.9622968584299088,-0.0018239174,129024,719.7002303600311,1157.4922332021276,1350.8191489361702
0.0030421936,131072,64,187,0.031445313,4.3732734,2.918144,0.9684854112565517,-0.00265563,131072,730.3325614929199,1165.3036307473683,1358.157894736842
0.003515868,133120,65,189,0.034765624,4.3615184,2.3965297,0.9696199782192707,-0.00609906,133120,741.2372808456421,1172.2238871145835,1365.34375
0.003506194,135168,66,157,0.036328126,4.360198,9.965951,0.9420883916318417,-0.0029743284,135168,752.0480935573578,1171.43274472449,1365.0
0.003938213,137216,67,189,0.040283203,4.3687325,2.592998,0.9635897986590862,-0.0063099624,137216,765.0118794441223,1172.0927418585861,1365.3434343434344
0.0026261234,139264,68,164,0.027148437,4.3637786,12.667857,0.9266813844442368,-0.003301146,139264,775.8277773857117,1163.9069453000002,1356.09
0.0065860013,141312,69,192,0.060498048,4.359453,2.8714168,0.9724422637373209,-0.0043418924,141312,788.246661901474,1159.1301894399999,1351.67
0.005240404,143360,70,191,0.05629883,4.34974,2.7433877,0.9630246832966805,-0.0033560595,143360,798.8689393997192,1158.6564355300002,1351.68
0.0032290097,145408,71,194,0.027880859,4.3313975,2.7707047,0.9607549794018269,-0.005443449,145408,809.564108133316,1158.54525194,1351.68
0.004165285,147456,72,165,0.040722657,4.330054,8.138232,0.9500028006732464,0.0012236225,147456,820.0750589370728,1161.9094394400001,1354.3
0.0046879905,149504,73,192,0.052685548,4.33742,2.4781735,0.9652788154780865,-0.00520129,149504,832.4681935310364,1160.71882421,1351.68
0.0024835276,151552,74,159,0.025976563,4.335726,14.744322,0.9066751301288605,-0.003326781,151552,843.1355292797089,1162.05392772,1353.29
0.0050393594,153600,75,158,0.056689452,4.347223,7.059784,0.9554412700235844,-0.0093327025,153600,855.9832918643951,1145.3307519400003,1336.37
0.0045577725,155648,76,161,0.04560547,4.3633165,10.343294,0.941470317542553,-0.0058867093,155648,868.929719209671,1124.629916,1314.9
0.005884514,157696,77,193,0.048046876,4.3672605,2.6709116,0.9657343700528145,-0.0064058355,157696,881.5906977653503,1120.6842636600002,1310.72
0.0020535276,159744,78,158,0.019091796,4.354022,8.537463,0.9535561315715313,-0.0018256217,159744,892.1557040214539,1121.13385545,1311.37
0.0048783976,161792,79,188,0.053808592,4.3540053,3.4807715,0.952173501253128,-0.008624017,161792,905.0659248828888,1131.4912519299999,1321.13
0.0050446535,163840,80,193,0.05546875,4.3403654,2.5548377,0.9639446027576923,-0.004017177,163840,915.9134783744812,1148.52053123,1338.87
0.004042447,165888,81,193,0.039746094,4.3210626,2.4908366,0.9669804535806179,-0.008508675,165888,926.4996280670166,1164.5808046700001,1354.21
0.0054038605,167936,82,188,0.0609375,4.3160625,2.6148582,0.9637571386992931,-0.0042599076,167936,937.0928294658661,1182.1219726400002,1372.16
