policy_entropy,n_updates,approxkl,value_loss,total_timesteps,serial_timesteps,ep_len_mean,explained_variance,clipfrac,ep_reward_mean,time_elapsed,fps,policy_loss
2.088284,274,0.0034080644,22.653736,561152,561152,1223.14,0.7619839161634445,0.037988283,772.8881868499999,1642.4426755905151,280,-0.0026659206
2.0931659,275,0.004754857,9.729869,563200,563200,1238.64,0.7237401008605957,0.05698242,784.4226875799999,1649.7539315223694,281,-0.0007598712
2.107163,276,0.006349658,11.511318,565248,565248,1238.64,0.5793949961662292,0.07319336,784.3800904699998,1657.0459921360016,277,0.0001587063
2.1134014,277,0.0062018884,8.83428,567296,567296,1252.55,0.762461930513382,0.07539062,794.9835061800001,1664.4357995986938,285,-0.0034589213
2.1084394,278,0.00448295,12.555933,569344,569344,1252.55,0.6930994689464569,0.050341796,796.1463225199998,1671.6157941818237,280,0.00023572143
2.1080859,279,0.006606736,10.449433,571392,571392,1252.55,0.7046441435813904,0.080566406,796.3815390899998,1678.9265863895416,277,-0.0029216872
2.1071951,280,0.0063918196,9.294031,573440,573440,1266.99,0.722124457359314,0.0796875,807.3155948999998,1686.3174276351929,284,-0.0013868894
2.1102471,281,0.010564525,15.796323,575488,575488,1258.03,0.69737508893013,0.10639648,801.7393493999999,1693.5200159549713,276,-0.002414958
2.1130602,282,0.0053295214,9.220656,577536,577536,1270.65,0.7807336449623108,0.064404294,812.0378709,1700.9406189918518,281,-0.0003638378
2.1181142,283,0.005141762,8.917906,579584,579584,1265.19,0.8659050762653351,0.05908203,808.4257537300001,1708.2208876609802,282,-0.002771621
2.1288543,284,0.007277145,8.868211,581632,581632,1279.35,0.7546322643756866,0.08886719,819.5491505900001,1715.4748365879059,281,-0.0053293854
2.13883,285,0.0052934987,9.265255,583680,583680,1272.0,0.8962917029857635,0.060058594,816.0315395900002,1722.7424743175507,282,-0.0074926787
2.1629918,286,0.004723153,25.230104,585728,585728,1227.89,0.7650933414697647,0.055126954,785.9940546800003,1729.9843587875366,286,-0.0031552494
2.1675308,287,0.0040343376,13.36867,587776,587776,1225.26,0.8209468126296997,0.049072266,783.4487368399999,1737.1335711479187,284,-0.001731478
2.1605449,288,0.0034108039,22.62299,589824,589824,1212.35,0.581109344959259,0.036083985,772.8914273600001,1744.3362216949463,281,-0.0007967825
2.1688614,289,0.0028420554,19.696255,591872,591872,1168.97,0.7085802257061005,0.028857421,740.1130080200002,1751.624188899994,285,-0.0009036365
2.1741643,290,0.0045908513,10.474634,593920,593920,1143.9,0.8341350257396698,0.055078126,721.0642056100002,1758.7936925888062,287,-0.0021254115
2.1665509,291,0.005083005,13.354258,595968,595968,1129.32,0.7291219830513,0.058203124,706.54219849,1765.9139275550842,289,-0.004919361
2.1650844,292,0.0050011934,6.0171375,598016,598016,1132.17,0.8407765626907349,0.060253907,708.5235581100001,1772.9980301856995,278,-0.0014903891
2.1629694,293,0.0038140167,15.994818,600064,600064,1149.75,0.8035464882850647,0.0421875,719.9629103999999,1780.3504498004913,279,-0.004711977
2.1664193,294,0.0049428893,8.284436,602112,602112,1149.75,0.774731233716011,0.056884766,720.0681316199999,1787.666176557541,284,0.00067251944
2.1682389,295,0.0041823755,13.542601,604160,604160,1134.48,0.7906133234500885,0.04863281,710.09316127,1794.8595440387726,282,-0.0015198007
2.169381,296,0.006465929,11.268075,606208,606208,1134.48,0.7088316977024078,0.07441406,710.7929757100001,1802.1134133338928,276,-0.0016350925
2.1708791,297,0.005078847,11.219985,608256,608256,1146.95,0.7018052041530609,0.06010742,720.3450336399999,1809.5111973285675,282,-0.0015111064
2.175279,298,0.004340119,3.8633885,610304,610304,1132.55,0.9278240352869034,0.042285156,710.1819674699999,1816.7515804767609,283,-0.0015050785
2.1801932,299,0.006315136,12.136339,612352,612352,1132.55,0.6615789234638214,0.07441406,710.48192556,1823.9692749977112,280,-0.0029338512
2.192317,300,0.005717473,8.754829,614400,614400,1132.55,0.7726409584283829,0.06923828,710.85215966,1831.2743003368378,283,-7.263022e-05
2.2070591,301,0.0057743015,17.744177,616448,616448,1100.33,0.7977311760187149,0.0671875,688.35092404,1838.5086982250214,282,-0.0037374285
2.2173858,302,0.0067071402,9.236768,618496,618496,1100.33,0.7095370292663574,0.09023438,688.29159084,1845.761703968048,280,-0.0011870783
2.2223177,303,0.007241408,8.967809,620544,620544,1117.93,0.7342722415924072,0.08881836,700.8303795899999,1853.0576708316803,279,-0.007853476
2.227747,304,0.0061000665,9.268221,622592,622592,1130.76,0.7203681170940399,0.076416016,710.3055260000001,1860.3915359973907,276,-0.000418159
2.2202516,305,0.007660699,9.343717,624640,624640,1146.65,0.7291719317436218,0.08803711,722.4253284800001,1867.808780670166,279,-0.0040094173
2.2144253,306,0.0040567946,11.536827,626688,626688,1163.37,0.6607466638088226,0.04575195,734.54761538,1875.125449180603,280,-0.0013049443
2.2131765,307,0.007248984,9.783163,628736,628736,1176.21,0.8436702191829681,0.07602539,743.7311289200002,1882.4195036888123,279,-0.0023850822
2.2282648,308,0.0064043873,11.168736,630784,630784,1182.91,0.8792702183127403,0.06933594,747.9122492000001,1889.7573804855347,282,-0.0057815993
2.245387,309,0.0030081067,10.48624,632832,632832,1199.77,0.6530680954456329,0.032226562,759.6920341700002,1897.0069210529327,278,0.0001084008
2.2490165,310,0.00953781,9.676074,634880,634880,1217.68,0.7541736662387848,0.11420898,773.1187466,1904.3686208724976,264,-0.006533599
2.2433698,311,0.0046567167,8.901387,636928,636928,1217.68,0.8317797034978867,0.053613283,773.4564986899999,1912.1026303768158,279,-0.0035078204
2.2317758,312,0.0057454994,0.8571869,638976,638976,1219.1,0.973096888512373,0.06796875,773.8846666899999,1919.4295647144318,277,-0.003522542
2.2194269,313,0.0053390143,7.2161,641024,641024,1235.88,0.7535123080015182,0.064501956,786.2803791799998,1926.811898946762,282,-0.0030073444
2.2133486,314,0.007431782,9.759264,643072,643072,1247.43,0.7174398899078369,0.09082031,794.2235032699999,1934.0663261413574,281,0.00035514723
2.2178597,315,0.006499762,7.4119606,645120,645120,1264.18,0.7287021577358246,0.077539064,806.43279921,1941.335308790207,280,-0.002283284
2.2198896,316,0.0050503574,9.70261,647168,647168,1264.18,0.7169390320777893,0.06044922,806.3323896400001,1948.6495306491852,274,-0.0009045767
2.2249737,317,0.0044963704,29.105337,649216,649216,1252.22,0.7472221851348877,0.052001953,799.4144949299999,1956.1035249233246,281,-0.00204822
2.238685,318,0.008152671,15.494308,651264,651264,1265.25,0.7712131440639496,0.09458008,809.64660369,1963.372418642044,277,-0.0069911308
2.2405345,319,0.0025588614,17.526066,653312,653312,1279.96,0.7617660909891129,0.023388673,821.2312825299999,1970.7613415718079,279,-0.003118788
2.244082,320,0.008212523,9.238352,655360,655360,1295.54,0.7406311631202698,0.09921875,833.10032175,1978.0872461795807,277,-0.0050874026
2.258391,321,0.005640039,4.3111343,657408,657408,1293.41,0.9236787259578705,0.06342773,831.8056937399998,1985.4580380916595,279,-0.0038736202
2.2620418,322,0.0049734856,12.750641,659456,659456,1293.41,0.5112217962741852,0.059912108,832.9567394099998,1992.7809596061707,279,-0.0013514329
2.2680984,323,0.0024198731,12.0660305,661504,661504,1293.41,0.6663631498813629,0.024121094,832.5425123599999,2000.11869597435,275,-0.0021040298
2.2691772,324,0.006489811,16.908709,663552,663552,1293.41,0.47550344467163086,0.064941406,832.92247158,2007.5552289485931,286,-0.0025883918
