value_loss,approxkl,explained_variance,ep_reward_mean,serial_timesteps,time_elapsed,ep_len_mean,fps,total_timesteps,n_updates,policy_loss,clipfrac,policy_entropy
7.8088026,0.005589154,0.902179516851902,829.8309998400001,100352,266.68534755706787,1318.8266666666666,334,100352,49,-0.005481438,0.055419922,4.1177225
10.263731,0.0062831207,0.7582450807094574,836.3409431710527,102400,272.8067636489868,1328.4342105263158,330,102400,50,-0.0021887147,0.07304688,4.123228
9.622572,0.006010215,0.7766771614551544,841.5902087792209,104448,279.00906896591187,1337.7922077922078,336,104448,51,-0.004891743,0.075,4.130158
13.279779,0.003780802,0.8360346704721451,842.7050186835445,106496,285.08758306503296,1339.6455696202531,336,106496,52,-0.004083315,0.043554686,4.134971
18.583637,0.0030447838,0.8370059281587601,840.9728323086418,108544,291.18066692352295,1335.320987654321,341,108544,53,-0.0018602123,0.03310547,4.1350775
10.251845,0.0027134896,0.8744957745075226,848.1432618536584,110592,297.1705389022827,1344.0243902439024,330,110592,54,-0.0032930304,0.028173828,4.130853
8.906954,0.0039609214,0.8509895503520966,853.9469408072288,112640,303.35888290405273,1352.5180722891566,333,112640,55,-0.004651101,0.046044923,4.133974
5.918188,0.0030072045,0.9321220219135284,846.5861122023807,114688,309.50110244750977,1342.642857142857,332,114688,56,-0.003383837,0.03173828,4.1354456
15.828685,0.0037921616,0.8424941450357437,858.0328332790696,116736,315.66001629829407,1356.6976744186047,324,116736,57,-0.0031902783,0.04169922,4.133173
3.439529,0.0036597494,0.94477554038167,854.0331369425286,118784,321.9737915992737,1350.9770114942528,424,118784,58,-0.0021581838,0.040283203,4.120945
18.782461,0.0038686364,0.8157505244016647,857.7348754831462,120832,326.80251717567444,1355.6741573033707,403,120832,59,-0.0035598357,0.046777345,4.1067023
7.299226,0.004889961,0.9144368171691895,849.4343332555558,122880,331.87413930892944,1343.7,413,122880,60,-0.005778039,0.05708008,4.096883
16.099619,0.0036297124,0.8364498317241669,847.7272425000001,124928,336.83255195617676,1339.5652173913043,395,124928,61,-0.0038887612,0.037402343,4.084978
23.38675,0.0039399667,0.7445221841335297,842.1708017684211,126976,342.00525188446045,1332.3263157894737,328,126976,62,-0.0025613625,0.04448242,4.085548
19.455944,0.0045016767,0.8237076699733734,821.4986323838385,129024,348.24213099479675,1303.2525252525252,409,129024,63,-0.0040215673,0.04135742,4.0974836
4.020926,0.003116542,0.9506027586758137,820.8194662700001,131072,353.24549865722656,1302.02,378,131072,64,-0.0029645753,0.032910157,4.1144953
11.249883,0.0046507167,0.8011350184679031,821.5858622,133120,358.6537570953369,1302.2,353,133120,65,-0.0050458657,0.053271484,4.1177406
4.6558504,0.0045299763,0.944378674030304,832.8498056,135168,364.4429738521576,1316.43,356,135168,66,-0.0051117474,0.054296874,4.1265597
17.713345,0.002990317,0.8272302746772766,813.0896163900001,137216,370.1811079978943,1288.37,378,137216,67,-0.0017259393,0.029785156,4.1370792
13.255325,0.006551509,0.8671812862157822,781.50250317,139264,375.5918538570404,1244.14,377,139264,68,-0.0074245734,0.05722656,4.139062
9.5791645,0.0024638772,0.9104971587657928,766.3294249100001,141312,381.0246305465698,1222.4,385,141312,69,-0.0031137117,0.026367188,4.1410527
