value_loss,time_elapsed,policy_entropy,total_timesteps,serial_timesteps,fps,explained_variance,policy_loss,clipfrac,approxkl,n_updates,ep_len_mean,ep_reward_mean
10.429617,176.68863320350647,4.38194,86016,86016,459,0.7365895807743073,-0.005121314,0.04526367,0.0040367134,42,1729.142857142857,1082.5130608775512
8.674318,181.14202642440796,4.379578,88064,88064,459,0.6761599183082581,-0.0031849567,0.043701172,0.004071543,43,1735.54,1088.8144177200002
12.894719,185.5948522090912,4.3837667,90112,90112,464,0.8497206270694733,-0.0042920606,0.043066405,0.004403134,44,1715.076923076923,1076.1058118269232
18.166597,190.0015208721161,4.3935084,92160,92160,477,0.7326133251190186,-0.00824772,0.06123047,0.0050671557,45,1698.148148148148,1068.6632736111112
5.82841,194.28934788703918,4.3933325,94208,94208,465,0.8578300923109055,-0.0063632787,0.03652344,0.0031623517,46,1678.9272727272728,1055.754165509091
14.932193,198.68875432014465,4.3823137,96256,96256,460,0.7136606574058533,-0.0033925339,0.05366211,0.0045659617,47,1685.5357142857142,1061.1576910535714
11.472403,203.13502264022827,4.3714895,98304,98304,456,0.6638948619365692,-0.0030366965,0.06889649,0.0055060703,48,1691.9122807017543,1071.5086225438597
14.508295,207.61830472946167,4.370173,100352,100352,457,0.7044211030006409,-0.0057197534,0.049609374,0.0041957777,49,1698.0689655172414,1078.5188656034484
8.955437,212.09462070465088,4.3635244,102400,102400,456,0.8859584778547287,-0.005573334,0.05708008,0.004991677,50,1704.0169491525423,1082.1690363050848
12.951526,216.5805127620697,4.362382,104448,104448,463,0.8134546875953674,-0.0028648705,0.024853516,0.0024261312,51,1709.7666666666667,1088.5425434
17.479443,220.99783992767334,4.3600965,106496,106496,453,0.7964130192995071,-0.0014726155,0.027832031,0.0026889036,52,1697.8870967741937,1084.6880973225807
17.743565,225.5160653591156,4.3620267,108544,108544,460,0.8368706554174423,-0.0038065321,0.054882813,0.004657713,53,1679.40625,1075.9107900000001
19.065323,229.96145606040955,4.3666525,110592,110592,472,0.7639158815145493,-0.0041477224,0.04272461,0.0041497727,54,1670.1060606060605,1070.523306257576
12.366804,234.29877424240112,4.38124,112640,112640,421,0.8762377798557281,-0.006626009,0.07890625,0.008573344,55,1675.7611940298507,1080.83336038806
19.043896,239.15926861763,4.3976297,114688,114688,466,0.8034255802631378,-0.002591513,0.046728514,0.004242257,56,1659.8840579710145,1071.6476845652178
10.337037,243.55069231987,4.3970137,116736,116736,450,0.8004548996686935,-0.0017898366,0.06821289,0.0056591416,57,1665.442857142857,1078.3893705571431
7.55084,248.10036659240723,4.3917184,118784,118784,468,0.8972128555178642,-0.008300211,0.06743164,0.005630176,58,1656.5070422535211,1073.913654295775
8.472172,252.4692931175232,4.3830113,120832,120832,456,0.8761884495615959,-0.006606791,0.066748045,0.006648306,59,1661.9583333333333,1080.9456876805555
17.220432,256.95311284065247,4.366368,122880,122880,466,0.7337321937084198,-0.0037304587,0.038623046,0.0037651446,60,1667.2602739726028,1087.221700780822
9.747798,261.347932100296,4.3496904,124928,124928,436,0.8936332613229752,-0.0034420192,0.034423828,0.0031776626,61,1672.418918918919,1091.2150343648648
10.077364,266.03811478614807,4.3479643,126976,126976,480,0.8173303157091141,-0.0046119625,0.05288086,0.0047707176,62,1677.44,1100.0031014666665
20.837963,270.3040816783905,4.3514504,129024,129024,455,0.7388705909252167,-0.00022035363,0.03310547,0.0031640779,63,1672.051948051948,1098.8477437792208
11.754723,274.802152633667,4.3545,131072,131072,432,0.8299954980611801,-0.001793786,0.059814453,0.0048847455,64,1676.8846153846155,1108.2420523333333
17.807392,279.5390696525574,4.357575,133120,133120,449,0.7655122131109238,-0.004852864,0.04433594,0.004056316,65,1655.25,1095.7326564
9.308505,284.0959987640381,4.364478,135168,135168,472,0.6834860742092133,-0.0031487055,0.027197266,0.002517241,66,1660.111111111111,1100.237810617284
11.138776,288.4282729625702,4.368884,137216,137216,473,0.8821424320340157,-0.007011476,0.058691405,0.0051944493,67,1664.8536585365853,1107.1706372682927
16.651585,292.75576186180115,4.367048,139264,139264,470,0.7987198680639267,-0.0035045687,0.031347655,0.0030257942,68,1640.5357142857142,1089.7702392142858
11.852312,297.10537004470825,4.367531,141312,141312,467,0.701418936252594,-0.0053958874,0.057910156,0.0048768106,69,1645.3411764705882,1094.7335468235294
19.13097,301.489705324173,4.3788633,143360,143360,467,0.7509678453207016,-0.0048012515,0.046533205,0.004004378,70,1633.3563218390805,1088.1945851609196
24.814363,305.87030386924744,4.3892603,145408,145408,446,0.6981561779975891,-0.0026266354,0.045996092,0.004014044,71,1626.7865168539327,1087.773088966292
