policy_loss,n_updates,time_elapsed,policy_entropy,ep_reward_mean,explained_variance,clipfrac,total_timesteps,value_loss,ep_len_mean,serial_timesteps,fps,approxkl
-0.009182654,14,57.72027063369751,3.7079487,781.3657082272726,0.9500772655010223,0.040283203,28672,4.9496098,1216.5454545454545,28672,457,0.0039898315
-0.0021861603,15,62.19306802749634,3.7094867,812.3843331304347,0.6289066672325134,0.053466797,30720,18.588627,1252.7391304347825,30720,453,0.004691083
-0.005260602,16,66.70638132095337,3.7140014,825.8450731999999,0.8021480441093445,0.03793945,32768,16.522997,1278.68,32768,462,0.0033886712
-0.00706225,17,71.1319191455841,3.7218888,845.1426419230768,0.8231680989265442,0.06098633,34816,13.948456,1308.3076923076924,34816,468,0.0055521885
-0.0017218845,18,75.50006985664368,3.7239728,872.3862966296294,0.8532037436962128,0.035253905,36864,13.877788,1335.7407407407406,36864,454,0.0032052938
-0.003154299,19,80.00645089149475,3.7159252,893.0336549285713,0.8112723082304001,0.04790039,38912,12.657904,1361.2142857142858,38912,450,0.004630127
-0.0044566435,20,84.5519392490387,3.7314248,905.6323904827585,0.7537199109792709,0.08320312,40960,12.011677,1384.9310344827586,40960,458,0.0071665766
-0.0026319542,21,89.01508617401123,3.744041,927.5899117999999,0.8686161041259766,0.058935545,43008,13.490102,1407.0666666666666,43008,470,0.0048575206
-0.004105547,22,93.36637258529663,3.7515378,926.7788944375,0.8699951767921448,0.06640625,45056,21.504116,1399.46875,45056,454,0.0055812867
-0.006579538,23,97.87313914299011,3.7692368,943.4263951515151,0.8494284898042679,0.04916992,47104,12.953802,1419.1515151515152,47104,461,0.00423587
-0.00833259,24,102.3117790222168,3.763776,923.1256277941176,0.9676782935857773,0.058691405,49152,4.4011235,1392.5588235294117,49152,452,0.006431916
-0.0031462326,25,106.83786463737488,3.7716858,942.7805594857142,0.7578030228614807,0.049560547,51200,17.333141,1411.3142857142857,51200,468,0.004267264
-0.0026773976,26,111.23081088066101,3.7824485,952.3965055555556,0.881242923438549,0.03466797,53248,11.6029,1429.0277777777778,53248,461,0.0030592012
-0.0051047155,27,115.67125487327576,3.7806733,952.3480982105262,0.7739855945110321,0.04448242,55296,23.708206,1425.8947368421052,55296,482,0.004115909
-0.0045094467,28,119.92063856124878,3.771714,951.5005650999999,0.890032485127449,0.05126953,57344,16.480536,1424.525,57344,470,0.004414087
-0.0056143324,29,124.27749300003052,3.763649,965.1647361463414,0.9312219992280006,0.033935547,59392,7.040756,1439.7560975609756,59392,470,0.003280711
-0.0045693396,30,128.62755250930786,3.7466075,979.3223316666666,0.8480725586414337,0.03857422,61440,16.864431,1454.2619047619048,61440,467,0.0036270008
-0.005996532,31,133.00892901420593,3.7210002,991.0098583023255,0.928326778113842,0.0737793,63488,8.074309,1465.2558139534883,63488,472,0.0075624892
-0.0029242565,32,137.33955192565918,3.7062347,984.9354757555556,0.8939599990844727,0.05292969,65536,19.969172,1450.5111111111112,65536,446,0.004762942
-0.0042551113,33,141.92400670051575,3.7134793,996.4605152391304,0.7999066859483719,0.046191406,67584,19.29257,1463.5217391304348,67584,473,0.00372154
-0.00877527,34,146.24842262268066,3.7295215,1002.712461574468,0.7639317363500595,0.1109375,69632,11.776385,1475.9787234042553,69632,455,0.008767012
-0.0043809526,35,150.74067497253418,3.7408867,1012.3530444375001,0.8432668149471283,0.03803711,71680,13.073393,1487.9166666666667,71680,473,0.003740355
-0.0073548714,36,155.06320881843567,3.7509606,967.7468496862746,0.8599301725625992,0.03930664,73728,14.133489,1432.078431372549,73728,490,0.0035057403
-0.0027778982,37,159.23918080329895,3.7798157,936.5291005555556,0.919138103723526,0.050683595,75776,12.434192,1390.9814814814815,75776,472,0.0045371787
-0.0058623203,38,163.57075715065002,3.7923799,946.6963310363637,0.9073577895760536,0.04350586,77824,12.542777,1402.9454545454546,77824,455,0.0041804733
-0.004185016,39,168.06426239013672,3.781055,939.0667378421053,0.8128868192434311,0.025585938,79872,19.38491,1393.6666666666667,79872,463,0.0027991731
-0.0045042797,40,172.4848027229309,3.7701492,945.2579405172414,0.9020925685763359,0.033496093,81920,8.850084,1401.2241379310344,81920,458,0.0032614823
-0.0038792794,41,176.95536184310913,3.7710896,954.3461163898305,0.871581956744194,0.042919923,83968,12.422599,1412.2033898305085,83968,476,0.003866842
-0.0041505047,42,181.25181794166565,3.7756305,959.1421460166667,0.6932035088539124,0.047265626,86016,14.943341,1422.8166666666666,86016,469,0.0044121454
-0.001273013,43,185.61465859413147,3.7805467,962.5801149344262,0.7164657115936279,0.056103516,88064,16.433882,1433.0819672131147,88064,417,0.0055310717
-0.0068241106,44,190.51578068733215,3.7804341,957.1268700158731,0.8911468535661697,0.050146483,90112,12.782751,1424.8095238095239,90112,465,0.004917811
-0.0031352981,45,194.915833234787,3.7761273,964.832474734375,0.9464098401367664,0.046533205,92160,7.694659,1430.75,92160,452,0.004570292
-0.0026295152,46,199.44664669036865,3.7745843,971.9558484153846,0.9325976371765137,0.024023438,94208,7.338291,1439.246153846154,94208,466,0.0024270732
-0.002716371,47,203.83408522605896,3.7664828,972.9843255757575,0.9454029873013496,0.050683595,96256,7.5175424,1439.7878787878788,96256,432,0.004385181
-0.005983574,48,208.56626176834106,3.7634463,957.4227329130433,0.9003255441784859,0.044189453,98304,13.881212,1417.4927536231885,98304,473,0.0039402107
-0.0026293586,49,212.8932340145111,3.762277,954.5947145285712,0.9596486426889896,0.016552735,100352,5.6581745,1415.0714285714287,100352,466,0.0018814902
-0.0041591385,50,217.27996969223022,3.7514203,962.51632228169,0.9163206368684769,0.02631836,102400,8.547144,1424.0,102400,465,0.0025854807
-0.002953366,51,221.67935013771057,3.7418313,968.6089613055556,0.827818438410759,0.028320312,104448,13.14979,1432.6805555555557,104448,459,0.0025728499
-0.0059383917,52,226.13481307029724,3.7331893,953.1741002533332,0.775170311331749,0.047314454,106496,20.982143,1416.6,106496,468,0.0041757915
-0.0065240385,53,230.50319361686707,3.729587,960.4302849605263,0.8991560786962509,0.04145508,108544,11.560566,1424.921052631579,108544,468,0.0035316758
-0.0011870351,54,234.87767696380615,3.7373443,963.8894937662337,0.7214497029781342,0.053027343,110592,12.457042,1433.025974025974,110592,441,0.004486722
-0.0060903556,55,239.52209281921387,3.7512455,949.6635437974684,0.8392374664545059,0.029443359,112640,19.72595,1414.987341772152,112640,484,0.0029044573
-0.0051521957,56,243.7528781890869,3.7446074,958.257890575,0.916184663772583,0.06958008,114688,12.009249,1422.9125,114688,447,0.005627088
-0.0037728497,57,248.33040285110474,3.7275994,961.8704503209877,0.8742852658033371,0.05625,116736,10.602433,1430.641975308642,116736,459,0.0047308635
-0.0030877595,58,252.7910532951355,3.7272885,970.5080549878049,0.8869099393486977,0.09169922,118784,17.291265,1438.1829268292684,118784,440,0.0076207174
-0.003458614,59,257.4372067451477,3.7278695,978.8454263253012,0.8537894040346146,0.06845703,120832,18.568552,1445.5421686746988,120832,464,0.0056919227
-0.0041904883,60,261.8483180999756,3.7300835,973.5148543058824,0.8041455000638962,0.070898436,122880,13.589333,1442.7882352941176,122880,435,0.005891483
-0.0065333145,61,266.54918336868286,3.7307594,964.2992716395349,0.9635073989629745,0.07006836,124928,2.7860208,1431.1627906976744,124928,463,0.0062526343
-0.0024945675,62,270.9703269004822,3.7266495,967.022875183908,0.7221545577049255,0.03100586,126976,11.94415,1438.2643678160919,126976,432,0.002920058
-0.0032332242,63,275.7053315639496,3.7318025,969.6615569545455,0.7716768234968185,0.042773437,129024,10.570885,1445.2045454545455,129024,450,0.0036698498
-0.0050047296,64,280.24900579452515,3.7433796,971.7023743222222,0.8979250490665436,0.048095703,131072,13.269104,1450.4888888888888,131072,451,0.0043771993
-0.0019522794,65,284.7835178375244,3.7512162,974.3244557252748,0.8332473635673523,0.038671874,133120,10.245906,1457.065934065934,133120,433,0.003522444
-0.007535691,66,289.50578904151917,3.7518153,966.4697089347827,0.9433154575526714,0.055517577,135168,7.054938,1447.6739130434783,135168,446,0.004939534
-0.003145942,67,294.0918433666229,3.7649937,966.4114385425534,0.7613306492567062,0.024121094,137216,25.365723,1446.5106382978724,137216,483,0.0023169802
-0.0032464606,68,298.3264775276184,3.7693172,968.5793945157895,0.7638200670480728,0.06347656,139264,10.553019,1452.8526315789475,139264,453,0.0054177735
-0.0066814097,69,302.8435060977936,3.7736378,970.9716145520833,0.7884955555200577,0.11875,141312,10.553485,1459.0625,141312,455,0.0132643925
-0.0035023964,70,307.33586597442627,3.7804935,973.9235794226804,0.7676751613616943,0.075976565,143360,10.5576315,1465.1443298969073,143360,464,0.0063110157
-0.0029672533,71,311.74096512794495,3.7862258,977.5382150306123,0.8075802773237228,0.016992187,145408,13.717049,1471.1020408163265,145408,474,0.0020336858
-0.007434968,72,316.0538353919983,3.7953122,981.9701944646464,0.9188860952854156,0.04458008,147456,10.845906,1476.939393939394,147456,470,0.004237068
-0.005665198,73,320.4054877758026,3.8082995,987.38562139,0.8665485382080078,0.023876954,149504,13.160698,1482.66,149504,476,0.0024459676
-0.0046109604,74,324.7010130882263,3.8046615,1000.0526046900002,0.918513610959053,0.040527344,151552,11.802818,1498.08,151552,467,0.0034604263
-0.0068435483,75,329.08530163764954,3.7999024,996.9334299100004,0.8415600061416626,0.028466797,153600,15.50041,1496.33,153600,470,0.0026840507
-0.005105839,76,333.4408700466156,3.8096156,996.5558276400003,0.7623749077320099,0.07563476,155648,19.597467,1498.74,155648,472,0.006558711
-0.0035235633,77,337.77601432800293,3.8180308,1002.1404589200002,0.9283069297671318,0.021044921,157696,8.897959,1504.92,157696,464,0.0021619266
