serial_timesteps,explained_variance,policy_loss,policy_entropy,ep_reward_mean,n_updates,ep_len_mean,clipfrac,time_elapsed,fps,value_loss,total_timesteps,approxkl
239616,0.6767333745956421,-0.0012263891,1.4662865,567.4653184399999,117,1374.1,0.032080077,393.6764214038849,625,10.338285,239616,0.0029945518
241664,0.6307959258556366,-0.001507866,1.4676954,551.4284864,118,1313.43,0.02734375,396.95184445381165,593,11.775279,241664,0.0028222299
243712,0.8107774555683136,-0.0020340842,1.4622749,544.0978829499999,119,1285.17,0.045458984,400.40656042099,632,5.125384,243712,0.0040525757
245760,0.693220466375351,-0.0027989224,1.4642884,536.91521235,120,1251.01,0.0359375,403.64792251586914,604,9.015974,245760,0.0032906104
247808,0.7141780853271484,-0.00098768,1.4700367,529.75984847,121,1224.85,0.031689454,407.037362575531,627,6.92817,247808,0.0029845561
249856,0.6763619780540466,-0.0025615073,1.473849,518.1684136399999,122,1170.96,0.050683595,410.2995719909668,617,11.783255,249856,0.004393409
251904,0.7806698679924011,-0.002474302,1.4871789,507.21449548,123,1125.67,0.02578125,413.61588764190674,592,6.3817644,251904,0.0028815595
253952,0.7618088275194168,-0.0053524715,1.4850127,507.12752198999993,124,1106.94,0.05332031,417.07152819633484,604,5.973134,253952,0.004477597
256000,0.8141484260559082,-0.0052789273,1.4867733,500.05841706,125,1082.76,0.09672852,420.4613182544708,628,5.062959,256000,0.0074385083
258048,0.7074873447418213,-0.0015661285,1.489744,485.38912598999997,126,1044.92,0.052099608,423.7236361503601,612,9.459097,258048,0.004401034
260096,0.8037294447422028,-0.00202937,1.4847572,486.38409561000003,127,1043.06,0.07451172,427.06626892089844,629,5.2020636,260096,0.006137827
262144,0.7360612452030182,-0.0023262058,1.4785827,473.80606121999995,128,1016.35,0.04272461,430.3203480243683,627,6.2742147,262144,0.0037139829
264192,0.8464498817920685,8.7895234e-05,1.4749835,472.78067612,129,1013.51,0.06782226,433.5839750766754,632,2.936792,264192,0.0057355934
266240,0.7945244163274765,-0.0019905767,1.4830137,463.57125116,130,993.14,0.031396486,436.82167530059814,606,7.6837296,266240,0.0030007137
268288,0.7537907212972641,-0.0020877759,1.4803569,457.48767116000005,131,979.13,0.043261718,440.1967704296112,607,6.5412,268288,0.0040521477
270336,0.6718153059482574,0.0006232684,1.4799612,453.29458526,132,968.46,0.034570314,443.56932520866394,612,11.7683325,270336,0.003347102
272384,0.7224675118923187,-0.00029507128,1.4871025,453.66856296000003,133,968.25,0.051171876,446.9154772758484,605,4.710965,272384,0.0044770096
274432,0.7426447570323944,-0.0010819526,1.4837248,451.27286524999994,134,962.48,0.04501953,450.3005602359772,626,4.2286935,274432,0.004079679
276480,0.6641169190406799,-0.0016758727,1.4841692,452.39742565999984,135,964.18,0.06113281,453.56889486312866,606,5.9467726,276480,0.0055175866
278528,0.6427525579929352,0.0011734469,1.487901,456.4248178999998,136,971.16,0.060253907,456.9444308280945,629,5.9206843,278528,0.005326758
280576,0.6101099252700806,-0.003790149,1.4819556,457.22597820999994,137,971.18,0.0859375,460.2010877132416,611,10.557974,280576,0.0068560317
282624,0.82284215092659,-0.0010159288,1.4689825,459.92250757999994,138,974.3,0.05493164,463.55223989486694,613,3.6859462,282624,0.0049491446
284672,0.6464871168136597,-0.0007612627,1.4611474,462.44819499000005,139,978.35,0.050927736,466.88960790634155,608,9.083055,284672,0.004306788
286720,0.6013448536396027,-0.0012867185,1.4569288,464.36001417000006,140,982.09,0.0847168,470.2556781768799,609,6.3997808,286720,0.006930601
288768,0.6473918855190277,-0.0030091612,1.4490944,461.9890311000001,141,977.08,0.06279297,473.6171340942383,612,8.378349,288768,0.0051375157
290816,0.7205872237682343,-0.008046251,1.4402864,462.7846030000001,142,977.99,0.066992186,476.95960760116577,597,4.830133,290816,0.0054033557
292864,0.7831589728593826,-0.0028570804,1.4468976,462.0708704400001,143,974.83,0.059814453,480.38751339912415,592,7.3391595,292864,0.0056623477
294912,0.6243198215961456,-0.0010838489,1.4548123,462.60721090000004,144,974.83,0.042333983,483.8444390296936,609,6.174,294912,0.0038549672
296960,0.7513195425271988,-0.004140964,1.4517505,463.41815831000014,145,974.9,0.08647461,487.20534682273865,612,4.4021974,296960,0.007272427
299008,0.6115780472755432,0.0005900356,1.4447485,469.35887047000006,146,984.49,0.0668457,490.54718828201294,625,6.388011,299008,0.005519663
301056,0.698435515165329,-0.0012745864,1.4394326,470.14840331000005,147,985.13,0.050976563,493.82279229164124,634,5.5729628,301056,0.005207962
303104,0.7116833627223969,-0.0015430192,1.4397252,475.1565395199999,148,993.42,0.058300782,497.050644159317,604,5.911556,303104,0.004939073
305152,0.8137653917074203,-0.0033825268,1.4471934,478.63277111,149,996.05,0.06894531,500.4378798007965,609,8.736498,305152,0.0060616536
307200,0.7250365018844604,0.00067920785,1.4462368,481.09407988000004,150,998.65,0.054589845,503.80066537857056,637,5.878851,307200,0.005000365
309248,0.8692877143621445,-0.0011458708,1.4365703,479.9956340500001,151,993.95,0.040039062,507.0177710056305,628,5.688847,309248,0.0035335463
311296,0.8513244688510895,-0.004240818,1.4427211,482.0214971700001,152,994.75,0.061669923,510.27799558639526,618,5.875804,311296,0.0055927844
313344,0.9266925305128098,0.00043489295,1.4379678,483.59442490000004,153,996.13,0.042529296,513.5914394855499,631,2.1171207,313344,0.0038158584
315392,0.7580961734056473,-0.0016220333,1.4386173,482.66883441999994,154,992.15,0.050830077,516.8342380523682,630,9.619213,315392,0.004157971
317440,0.8415335714817047,-0.00221418,1.4468129,481.88555937999996,155,987.82,0.058789063,520.0832765102386,643,7.5289583,317440,0.0058116843
319488,0.9058978036046028,-0.0048780376,1.44277,478.4163183500001,156,977.65,0.057275392,523.2676260471344,640,6.183341,319488,0.0051903813
321536,0.8813843205571175,0.0008540616,1.4382799,472.87369762,157,965.19,0.071582034,526.4648311138153,556,5.928485,321536,0.005923057
323584,0.8554534167051315,-0.00022329242,1.4410484,474.14387071,158,964.61,0.038964845,530.145884513855,610,7.977062,323584,0.003690699
325632,0.7778025269508362,-0.0015119953,1.4422202,474.98612264,159,963.76,0.06147461,533.5012562274933,641,11.220394,325632,0.0053271046
327680,0.7121264040470123,-0.0027500964,1.4431683,484.24596914999995,160,979.68,0.080566406,536.6948289871216,642,5.6814003,327680,0.0069269687
329728,0.6623048186302185,-0.00068966136,1.4428053,485.46034344,161,980.75,0.07348633,539.8822255134583,625,10.486135,329728,0.006061542
331776,0.6227096319198608,-0.00037510303,1.4488074,489.32324278000016,162,985.3,0.08339844,543.155953168869,636,15.207136,331776,0.0073282
333824,0.7254880964756012,-0.00091036985,1.4543202,496.7719812800001,163,997.86,0.06938477,546.373113155365,607,5.258642,333824,0.006233032
335872,0.8624261319637299,-0.0025282232,1.4523221,499.33027283999996,164,1000.87,0.038085938,549.7463841438293,622,5.918609,335872,0.003738281
337920,0.6224371492862701,-0.0017365608,1.4525963,507.42714362,165,1014.18,0.077539064,553.0387184619904,612,12.024581,337920,0.006942486
