policy_loss,n_updates,serial_timesteps,explained_variance,clipfrac,policy_entropy,fps,total_timesteps,time_elapsed,value_loss,approxkl,ep_reward_mean,ep_len_mean
-0.0044891047,155,317440,0.9045356884598732,0.02607422,4.83941,446,317440,736.2778787612915,24.661152,0.0024742768,862.3635388300002,1240.74
-0.0017311772,156,319488,0.9165615737438202,0.024169922,4.8464494,451,319488,740.8690702915192,28.744595,0.0021176422,865.8637724400003,1236.09
-0.0010130997,157,321536,0.9432447329163551,0.011425781,4.846652,443,321536,745.4098243713379,10.504908,0.0011723125,871.6779893200004,1244.68
-0.004034257,158,323584,0.8997605815529823,0.039453126,4.8461413,459,323584,750.0236773490906,27.77538,0.0033240945,859.48323537,1214.75
-0.0065253032,159,325632,0.8078629821538925,0.028320312,4.8562355,478,325632,754.4789409637451,21.945356,0.0024106735,846.23872824,1201.26
-0.0016999163,160,327680,0.765600323677063,0.017041016,4.87181,460,327680,758.7611908912659,14.765228,0.0016398588,847.5644752000001,1201.26
-0.005274438,161,329728,0.9477971270680428,0.020166015,4.8659406,440,329728,763.2096126079559,8.325415,0.0020272767,836.01368027,1185.74
-0.003413953,162,331776,0.7136355638504028,0.025927734,4.866274,466,331776,767.8645169734955,41.3433,0.0024097906,818.24528326,1151.93
-0.003175679,163,333824,0.9022642076015472,0.048339844,4.865468,444,333824,772.259765625,20.441105,0.00417355,817.88072313,1151.93
-0.0060244696,164,335872,0.9731514118611813,0.051171876,4.8616323,431,335872,776.8703765869141,6.00864,0.0045290645,807.85080067,1135.3
-0.002640853,165,337920,0.8459874838590622,0.019042969,4.8570795,488,337920,781.6141185760498,29.558252,0.0019470595,828.98916189,1161.3
-0.003742007,166,339968,0.920695960521698,0.03305664,4.8579803,434,339968,785.8054444789886,28.06597,0.0031261868,827.5765357599997,1160.42
-0.0026428066,167,342016,0.8329980969429016,0.014404297,4.86311,474,342016,790.5190045833588,14.253534,0.001525895,783.4217758899999,1111.16
-0.0033110082,168,344064,0.6964925229549408,0.022314453,4.8743567,478,344064,794.8358619213104,18.677586,0.0021519724,752.4693081099999,1076.42
-0.0034746751,169,346112,0.8903789296746254,0.019873047,4.8855085,463,346112,799.1178050041199,6.575616,0.0018670959,752.3499534200001,1076.17
-0.0034173834,170,348160,0.7054345607757568,0.021679688,4.877859,449,348160,803.5372467041016,12.078689,0.0023018883,748.52772109,1076.17
-0.005215315,171,350208,0.9501093216240406,0.05102539,4.867705,433,350208,808.098474740982,9.9082155,0.0046519316,757.6998015999999,1090.61
-0.0034864794,172,352256,0.9028935432434082,0.07236328,4.851516,433,352256,812.824773311615,19.714878,0.0063003153,759.9484833899999,1090.61
-0.0035010017,173,354304,0.9019596949219704,0.036230467,4.8364024,421,354304,817.552332162857,20.016232,0.003797672,761.35370636,1090.61
-0.004445351,174,356352,0.8985176756978035,0.07114258,4.8343883,440,356352,822.4079508781433,19.880823,0.0056591937,762.4436896800003,1090.61
-0.0034987968,175,358400,0.8276812732219696,0.025244141,4.84041,464,358400,827.0616281032562,30.298761,0.002612468,741.3199641200001,1063.88
-0.0015563846,176,360448,0.8944937214255333,0.04482422,4.843518,422,360448,831.4782068729401,19.985312,0.003483445,742.5100543199999,1064.51
-0.005488466,177,362496,0.8415209949016571,0.037353516,4.845475,478,362496,836.33114361763,8.183166,0.0034631856,744.44083357,1067.52
-0.003853082,178,364544,0.8525496572256088,0.021484375,4.839346,455,364544,840.615957736969,17.170164,0.0020346404,729.12928339,1056.23
-0.0054749134,179,366592,0.925831712782383,0.058544923,4.839314,452,366592,845.111536026001,22.654778,0.0049346783,720.5708991299999,1041.98
-0.0037903544,180,368640,0.895480677485466,0.06333008,4.8401413,428,368640,849.6426661014557,19.74222,0.0049410313,724.7884078599999,1041.98
-0.0031196312,181,370688,0.8958249390125275,0.0359375,4.846546,455,370688,854.4238135814667,21.2548,0.0029340046,735.18221256,1052.99
-0.0020296206,182,372736,0.8060688525438309,0.020703126,4.8494277,450,372736,858.924567937851,22.65615,0.0022837936,745.9262600599999,1066.89
-0.0044683916,183,374784,0.8874054178595543,0.09003906,4.8505573,436,374784,863.4749219417572,20.496567,0.006899555,745.86012399,1066.89
-0.003258183,184,376832,0.8937477692961693,0.034716796,4.8609366,418,376832,868.1639590263367,19.767056,0.0030537215,746.52480805,1066.89
-0.004393312,185,378880,0.8849582895636559,0.03691406,4.8658047,407,378880,873.0621228218079,21.285347,0.0032749053,758.69811863,1080.59
-0.0016506289,186,380928,0.9096127450466156,0.0073242188,4.865176,461,380928,878.084552526474,14.068196,0.0008381107,730.9130906700001,1051.46
-0.00412694,187,382976,0.8718587160110474,0.044628907,4.869324,438,382976,882.5205488204956,21.431412,0.004907516,744.8272492,1067.68
-0.003032168,188,385024,0.8891313746571541,0.03955078,4.8642,452,385024,887.1959433555603,28.035244,0.00350022,746.91558252,1071.78
-0.0026002803,189,387072,0.8825351297855377,0.034277342,4.861601,457,387072,891.7258286476135,19.879255,0.003039764,747.55572426,1071.78
-0.0011910574,190,389120,0.8989219889044762,0.038916014,4.8518314,437,389120,896.2060422897339,19.565954,0.0036027734,762.0048914200001,1086.34
-0.004494256,191,391168,0.9235036298632622,0.027392577,4.847301,476,391168,900.8866477012634,15.571604,0.003113388,754.5019740300003,1077.11
-0.001859446,192,393216,0.8898313120007515,0.048876952,4.8438683,438,393216,905.189108133316,20.268257,0.0041480428,768.9146263400002,1091.31
-0.0035913717,193,395264,0.8819471150636673,0.036328126,4.8234625,420,395264,909.8632524013519,19.94849,0.0038280017,768.7668763600002,1091.31
-0.0034221527,194,397312,0.8795935362577438,0.044189453,4.8205633,421,397312,914.7387299537659,20.562798,0.0036184955,783.0228835,1105.55
-0.0042067687,195,399360,0.9592393450438976,0.016601562,4.8331394,423,399360,919.5928733348846,6.971457,0.0016116889,769.80381987,1092.15
-0.0052666124,196,401408,0.9211020544171333,0.049072266,4.8333254,441,401408,924.4254684448242,15.582178,0.004025481,786.05659172,1109.66
-0.0034978956,197,403456,0.9028438702225685,0.04423828,4.82778,428,403456,929.0654871463776,16.056204,0.0039008926,799.59707199,1124.28
