clipfrac,value_loss,fps,time_elapsed,approxkl,policy_loss,serial_timesteps,policy_entropy,total_timesteps,n_updates,explained_variance,ep_reward_mean,ep_len_mean
0.015966797,24.532701,332,941.5167324542999,0.0019002449,-0.00073228066,352256,5.886621,352256,172,0.898673839867115,1097.98662739,1303.11
0.019921875,20.460964,326,947.6852087974548,0.0019610084,-0.0015776096,354304,5.88752,354304,173,0.7910375595092773,1097.85566893,1303.11
0.07734375,20.264984,338,953.9624152183533,0.006000684,-0.0029751644,356352,5.8793344,356352,174,0.8271928429603577,1114.7428714500002,1319.99
0.027880859,20.739176,323,960.0055410861969,0.0028488564,-0.0018949935,358400,5.875971,358400,175,0.7385939061641693,1114.4941254199998,1319.99
0.021044921,26.297619,340,966.3482854366302,0.0021645583,-0.0035536704,360448,5.8737035,360448,176,0.888920359313488,1118.0105805599999,1325.91
0.028564453,21.039036,332,972.3562138080597,0.002575776,-0.0021705078,362496,5.8657885,362496,177,0.7891230136156082,1134.1187634,1342.59
0.013427734,25.711826,325,978.5148859024048,0.0016436217,-0.000109978,364544,5.860651,364544,178,0.8566782027482986,1117.6733107,1324.51
0.012158203,11.241616,336,984.8016474246979,0.0013937262,-0.0010155063,366592,5.8694177,366592,179,0.9557426795363426,1102.3935167299999,1309.23
0.005761719,32.90754,332,990.8859882354736,0.0008063795,-0.00044138674,368640,5.8784237,368640,180,0.9067809730768204,1084.58201023,1288.32
0.06328125,21.772392,336,997.0393857955933,0.0054860585,-0.0042417618,370688,5.8752637,370688,181,0.8463118672370911,1099.36321233,1303.7
0.015625,20.236528,326,1003.1295037269592,0.0015007143,-0.0038269018,372736,5.870628,372736,182,0.8375824987888336,1114.43316458,1318.77
0.009667968,16.32434,381,1009.4056956768036,0.0009857254,-0.0021964477,374784,5.869279,374784,183,0.9349691867828369,1068.62214135,1272.01
0.08666992,19.639591,325,1014.7781460285187,0.0064251297,-0.006638184,376832,5.8663893,376832,184,0.8294032514095306,1085.4565257000002,1288.15
0.047802735,20.397987,326,1021.0736253261566,0.003953334,-0.0027747324,378880,5.8628974,378880,185,0.7190632224082947,1085.7416715699999,1288.15
0.027294923,23.240643,321,1027.3403913974762,0.002759103,-0.002377832,380928,5.8662977,380928,186,0.8977366462349892,1088.3141061000001,1290.14
0.01669922,21.598652,323,1033.711373090744,0.0017967196,-0.002367774,382976,5.8693037,382976,187,0.8305559456348419,1088.5994809100002,1290.14
0.022216797,19.336092,372,1040.0458312034607,0.0021543854,-0.003858858,385024,5.8772025,385024,188,0.9270800203084946,1039.17882389,1238.56
0.05283203,20.720055,334,1045.5507130622864,0.0045636995,-0.0036703895,387072,5.872757,387072,189,0.7777112573385239,1056.05146694,1255.88
0.029248048,25.182014,347,1051.6680617332458,0.0036650202,-0.0054769143,389120,5.871134,389120,190,0.8840539157390594,1073.21891028,1272.45
0.012646484,24.311382,341,1057.5704290866852,0.0014920322,-0.0033731335,391168,5.8803606,391168,191,0.8830344080924988,1055.6561719400001,1254.29
0.025634766,3.9229488,332,1063.5679767131805,0.0024004662,-0.0060696388,393216,5.897279,393216,192,0.9696902688592672,1055.13112572,1253.55
0.022949219,20.977337,342,1069.7346291542053,0.0023303167,-0.0010584254,395264,5.9018226,395264,193,0.8082540184259415,1055.16558688,1253.55
0.01796875,30.920666,398,1075.7208700180054,0.0018212411,-0.003960535,397312,5.8939795,397312,194,0.7546651512384415,1026.77718893,1227.87
0.011474609,4.501106,323,1080.864182472229,0.0013641554,-0.0029718764,399360,5.894657,399360,195,0.968906830996275,1022.8237505899998,1221.05
0.021875,38.33283,364,1087.194581747055,0.0019530095,-0.003590221,401408,5.902711,401408,196,0.785805344581604,974.52439415,1169.77
0.015625,19.794905,358,1092.8070645332336,0.0018949291,-0.00041456046,403456,5.9066024,403456,197,0.7260127067565918,991.64686303,1186.15
0.022705078,19.380718,360,1098.5167744159698,0.002346476,-0.003252554,405504,5.88996,405504,198,0.7427583634853363,991.79827557,1186.15
0.016064454,12.61316,399,1104.2061820030212,0.0013826838,-0.0033110739,407552,5.883148,407552,199,0.9552950747311115,969.82586454,1159.11
0.009375,25.587612,377,1109.3339037895203,0.0014064244,-0.0009765723,409600,5.8867674,409600,200,0.86798295378685,953.6354873300002,1142.52
0.027636718,20.305405,367,1114.7571325302124,0.0027467508,-0.0022333239,411648,5.888553,411648,201,0.7940051108598709,953.7594513800001,1142.52
0.025390625,28.332798,392,1120.3313436508179,0.0023206815,-0.0035401129,413696,5.893869,413696,202,0.875642441213131,941.0841280800003,1125.91
0.027441407,16.26888,423,1125.5562188625336,0.00269836,-0.0037363495,415744,5.9034514,415744,203,0.881653405725956,875.94381607,1058.57
0.022021484,7.5763755,406,1130.396894454956,0.002279943,-0.0019766456,417792,5.9071836,417792,204,0.9760300442576408,842.8465933799998,1024.75
0.020068359,24.210766,394,1135.441558599472,0.0019530377,-0.0022497412,419840,5.9141145,419840,205,0.9159858897328377,843.6188137199999,1025.53
0.019384766,22.832766,353,1140.6353652477264,0.0023095247,-0.0036644232,421888,5.9202523,421888,206,0.8968435302376747,859.98929264,1041.76
0.06416015,20.0215,348,1146.4253616333008,0.004832214,-0.002637321,423936,5.919669,423936,207,0.7949765175580978,860.6804102599999,1041.76
0.023779297,6.2302513,370,1152.3041214942932,0.003768626,-0.0034779436,425984,5.916675,425984,208,0.9761389475315809,844.97162288,1024.92
0.028173828,20.14405,362,1157.8385651111603,0.0026475484,-0.0022107973,428032,5.922489,428032,209,0.8354784101247787,845.10886506,1024.92
0.011914062,41.172417,412,1163.4864015579224,0.0014245852,-0.003453472,430080,5.922414,430080,210,0.835581362247467,809.2727649999998,988.27
0.009521484,24.726877,415,1168.4556186199188,0.001210579,-0.0034917078,432128,5.9205875,432128,211,0.9138458073139191,791.60820809,969.47
0.014355469,25.807535,381,1173.3796122074127,0.0017285484,-0.0023200004,434176,5.936838,434176,212,0.9099491536617279,791.0920318600001,968.44
0.064501956,20.164507,360,1178.755035161972,0.004802474,-0.0016439589,436224,5.9466887,436224,213,0.8070266991853714,808.4521460799999,986.43
0.025488282,20.75256,351,1184.434080839157,0.0026222344,-0.0009094247,438272,5.953597,438272,214,0.819922998547554,808.3323017899999,986.43
0.03652344,26.862524,349,1190.2626149654388,0.0033596368,-0.0054229256,440320,5.9583144,440320,215,0.8684439808130264,824.3214828000001,1002.82
0.019335937,21.785557,329,1196.1203277111053,0.002114625,-0.00084732595,442368,5.9698777,442368,216,0.9021576195955276,808.34810222,986.48
0.029394532,4.466698,333,1202.3337533473969,0.0030397358,-0.008123438,444416,5.9779177,444416,217,0.9839108008891344,791.6879921,970.15
0.029638672,22.590887,320,1208.4669170379639,0.0029135242,-0.0023229443,446464,5.978059,446464,218,0.8382006287574768,807.9484530699999,985.75
0.03793945,20.735203,352,1214.8622417449951,0.0031617642,-0.003779025,448512,5.9750957,448512,219,0.8864065334200859,807.53047545,985.75
0.021826172,17.139938,363,1220.6793410778046,0.002094778,-0.006764689,450560,5.960764,450560,220,0.9279963299632072,771.7144132000001,949.67
