n_updates,explained_variance,fps,serial_timesteps,time_elapsed,approxkl,policy_loss,clipfrac,total_timesteps,policy_entropy,value_loss,ep_len_mean,ep_reward_mean
27,0.9100988060235977,578,55296,91.34110760688782,0.0027726674,-0.00065136293,0.029296875,55296,7.3051386,25.227695,1611.7941176470588,942.2139591470589
28,0.9429792389273643,593,57344,94.88456225395203,0.0032224183,-0.006077948,0.03754883,57344,7.3135643,7.363309,1604.3142857142857,938.3960516285715
29,0.9128889739513397,604,59392,98.33694863319397,0.0024877542,-0.0062455544,0.027783204,59392,7.330999,10.5496235,1574.4324324324325,914.8747236486487
30,0.9406623467803001,591,61440,101.7242534160614,0.0027336823,-0.0042592,0.02836914,61440,7.339648,14.052481,1567.6153846153845,911.5648926666667
31,0.9235407933592796,604,63488,105.18528604507446,0.0016054664,-0.0024807106,0.01586914,63488,7.3303747,6.8286147,1549.85,897.8733528750001
32,0.8632505387067795,601,65536,108.57358312606812,0.0027578617,-0.005219912,0.031933594,65536,7.3223443,20.954779,1544.1904761904761,893.8198346428571
33,0.9292789399623871,545,67584,111.98152875900269,0.0046072206,-0.0033124252,0.056152344,67584,7.3274527,18.59673,1555.9302325581396,908.4283208604652
34,0.9294101223349571,546,69632,115.73633170127869,0.003087835,-0.0022152672,0.034326173,69632,7.319342,19.568933,1567.1363636363637,922.5546143409091
35,0.9306506216526031,544,71680,119.4816997051239,0.00283312,-0.0013377428,0.031152343,71680,7.3158555,19.918478,1577.8444444444444,936.6640372
36,0.9302434921264648,618,73728,123.2430329322815,0.0019018085,-0.0031682937,0.018701172,73728,7.307405,7.3043776,1561.8478260869565,924.443307826087
37,0.9127415046095848,594,75776,126.55377459526062,0.0024640518,-0.0032551694,0.029541016,75776,7.310569,12.109614,1555.875,918.4677537083334
38,0.9299400597810745,540,77824,130.00208139419556,0.005513291,-0.0039823097,0.068310544,77824,7.3198867,19.624096,1565.938775510204,930.3481135918367
39,0.9380278065800667,554,79872,133.7902979850769,0.0023965952,-0.001263589,0.023095703,79872,7.330808,23.972158,1561.1764705882354,932.1604518823531
40,0.8410713225603104,614,81920,137.48615646362305,0.0043951743,-0.0017719694,0.049560547,81920,7.331848,15.246531,1570.5576923076924,937.1239972115386
41,0.933912605047226,541,83968,140.821302652359,0.0033008442,-0.00090702984,0.036572266,83968,7.324703,19.334284,1579.5849056603774,948.2181264150945
42,0.9222158640623093,595,86016,144.6008996963501,0.0013821776,-8.645555e-05,0.0140625,86016,7.316939,7.375306,1550.0727272727272,926.5831935272728
43,0.9402912706136703,541,88064,148.0402638912201,0.0019608303,-0.0007408565,0.018115234,88064,7.3122873,19.098795,1558.982142857143,938.63253775
44,0.9627994000911713,584,90112,151.82402658462524,0.0026327847,-0.0039467067,0.02841797,90112,7.3035874,8.409986,1557.3859649122808,936.7410262982456
45,0.9333537146449089,537,92160,155.32833695411682,0.003530464,-0.0012246266,0.039501954,92160,7.2893715,19.630291,1565.8620689655172,946.7820230517242
46,0.9245864152908325,542,94208,159.13610863685608,0.0020065857,-0.00045591453,0.020019531,94208,7.275679,25.067932,1562.1333333333334,948.8940610166666
47,0.9366036355495453,545,96256,162.91397500038147,0.0036202401,-0.0015139993,0.043896485,96256,7.2694807,19.447918,1570.1147540983607,958.9192351639343
48,0.9288680776953697,538,98304,166.67166113853455,0.0023980043,0.0007567132,0.0234375,98304,7.2576203,19.40458,1577.8387096774193,969.2657513870968
49,0.933342732489109,545,100352,170.47843408584595,0.004676508,-0.0022367588,0.059277344,100352,7.2510376,19.409695,1585.3174603174602,979.4978551587302
50,0.8717387467622757,612,102400,174.2344172000885,0.001794848,-0.0006416152,0.018310547,102400,7.259027,12.475347,1547.7727272727273,950.4982736060607
51,0.8720018565654755,595,104448,177.58230829238892,0.00496931,-0.0024836813,0.061669923,104448,7.258049,12.290147,1555.2537313432836,953.7781879701494
52,0.8725137114524841,598,106496,181.02256894111633,0.0024683073,-0.0006759082,0.025830079,106496,7.2479525,11.931584,1562.514705882353,957.4855005441177
53,0.9833503309637308,554,108544,184.44418334960938,0.0022368962,-0.0018855135,0.020361328,108544,7.2415133,4.910234,1548.2898550724638,947.0177049855072
54,0.9397106319665909,541,110592,188.14067578315735,0.0060855155,-0.0024998626,0.08041992,110592,7.2385345,19.908014,1555.442857142857,956.4943126285715
55,0.9248892366886139,545,112640,191.9198203086853,0.0056773843,-0.0032227493,0.07397461,112640,7.238111,20.544926,1562.394366197183,964.8462594084507
56,0.9276099354028702,537,114688,195.67709493637085,0.0017305755,0.00033912747,0.0140625,114688,7.2304435,20.103321,1569.1527777777778,973.6658460972225
57,0.9305768460035324,538,116736,199.48564624786377,0.0027287109,-0.0008673514,0.025341798,116736,7.2198305,20.259464,1575.7260273972602,983.0949825890413
58,0.8725983053445816,577,118784,203.29077553749084,0.0018850707,-0.0008351527,0.019384766,118784,7.2190704,20.844757,1582.1216216216217,992.128423783784
59,0.8794140666723251,595,120832,206.83514189720154,0.0018677969,-0.0013309002,0.022753906,120832,7.23408,11.791925,1588.3466666666666,994.5684759733335
60,0.8759161978960037,604,122880,210.27725768089294,0.0039279023,-0.00388228,0.048291016,122880,7.2439117,11.135033,1594.407894736842,996.7194486710528
61,0.9143681675195694,603,124928,213.66592669487,0.003573528,-0.0067829206,0.043164063,124928,7.247361,10.168511,1600.3116883116884,999.1129820259741
62,0.9604641869664192,548,126976,217.0582399368286,0.0025586765,-0.0040047416,0.026904296,126976,7.2624984,10.054568,1606.0641025641025,1000.2500661153847
63,0.9346943125128746,548,129024,220.79227137565613,0.004243071,-0.0022673768,0.04550781,129024,7.2690635,19.973764,1611.6708860759493,1008.5139769493671
64,0.9262973666191101,541,131072,224.52988648414612,0.002292371,-0.0026803545,0.0265625,131072,7.2719994,20.215046,1617.1375,1015.8391204375
65,0.9294104427099228,543,133120,228.31256318092346,0.003206789,-0.0026976215,0.039941408,133120,7.2759194,20.04437,1622.469135802469,1022.1844254567902
66,0.8680595904588699,581,135168,232.08234906196594,0.0015533329,-0.000710146,0.017578125,135168,7.2859774,20.59828,1627.6707317073171,1029.043403585366
67,0.9578423090279102,553,137216,235.60745072364807,0.0023679868,-0.0008700492,0.025195312,137216,7.3030066,10.750289,1632.7469879518073,1031.116595481928
68,0.9260913208127022,542,139264,239.30957055091858,0.0031862496,-0.0007611179,0.03413086,139264,7.311518,19.905499,1637.702380952381,1038.585741059524
69,0.8787680044770241,570,141312,243.08829140663147,0.002888299,-0.0033368475,0.030664062,141312,7.3092484,28.350739,1624.2528735632184,1029.992199402299
70,0.9420566149055958,604,143360,246.67905616760254,0.0029085414,-0.0050303917,0.033203125,143360,7.315049,6.459751,1615.3636363636363,1022.4881601818183
71,0.8811284303665161,592,145408,250.07003593444824,0.0034280303,-0.0034919512,0.035595704,145408,7.3068695,17.710312,1612.3333333333333,1017.8838757777779
72,0.9341397136449814,603,147456,253.5256588459015,0.0023196114,-0.0028357012,0.027001953,147456,7.2858377,6.359592,1603.6923076923076,1010.3974526153847
73,0.8492208272218704,573,149504,256.91727209091187,0.0025660798,-0.0026233296,0.02841797,149504,7.279528,15.469197,1600.52688172043,1006.2312110430108
74,0.9371401965618134,569,151552,260.4895815849304,0.0024576327,-0.0066472506,0.027832031,151552,7.2807975,12.219238,1590.9157894736843,998.6062646210528
75,0.8006454706192017,598,153600,264.08328580856323,0.0022651996,-0.002203775,0.02109375,153600,7.274211,13.770259,1576.6082474226805,986.176137329897
76,0.981456695124507,541,155648,267.5064251422882,0.002412008,-0.0042555714,0.023242187,155648,7.2408905,4.5758905,1570.295918367347,980.8541572653062
77,0.8597705811262131,586,157696,271.28610920906067,0.0025285848,-0.0007986855,0.02758789,157696,7.2141733,19.317837,1575.1313131313132,986.8996651212123
78,0.8362200707197189,595,159744,274.77708554267883,0.00266273,-0.0033029239,0.03125,159744,7.2045884,15.822484,1568.13,979.6436186700001
79,0.8857349529862404,592,161792,278.21475076675415,0.003964885,3.6036443e-05,0.04057617,161792,7.197647,11.181101,1568.13,977.8463972300001
80,0.9210059568285942,545,163840,281.6711995601654,0.0036181181,-0.0022301548,0.04169922,163840,7.182369,19.32538,1568.13,979.6215975300001
81,0.911830373108387,563,165888,285.4241771697998,0.0046774526,-0.0040774606,0.06455078,165888,7.1701546,19.35941,1568.13,979.9525907400001
82,0.9153880402445793,602,167936,289.0613434314728,0.0015657546,-4.1554886e-05,0.015576172,167936,7.172616,9.358722,1577.09,986.4233732
83,0.9201382696628571,544,169984,292.4598288536072,0.0029039471,-0.0030689386,0.02602539,169984,7.164792,27.382883,1567.39,984.0290219600001
84,0.9242629036307335,525,172032,296.2221574783325,0.0017869009,-0.00022163507,0.016845703,172032,7.166673,19.28403,1568.14,989.5414886200001
85,0.9188941419124603,547,174080,300.11651277542114,0.003567744,-0.0021478257,0.038232423,174080,7.171229,20.03872,1568.14,992.07402029
86,0.9833044372498989,581,176128,303.85682678222656,0.0025099276,-0.0027884296,0.025927734,176128,7.175228,3.8851147,1564.53,990.2834177200001
87,0.9251393303275108,561,178176,307.3791027069092,0.0016692106,-0.0029626035,0.018408203,178176,7.1882744,24.323166,1561.94,991.05339312
88,0.8678721487522125,603,180224,311.02712750434875,0.0031337137,-0.003995354,0.033740234,180224,7.190924,9.976668,1561.94,989.80975261
89,0.8696226626634598,607,182272,314.42052125930786,0.0033569294,-0.0029426548,0.01586914,182272,7.1747293,12.513081,1558.19,988.3025768299999
90,0.9208199605345726,537,184320,317.79071593284607,0.0023453997,-0.00296519,0.023486327,184320,7.1593294,19.603922,1571.05,1001.5840357599998
91,0.8503438979387283,601,186368,321.59982204437256,0.0031462293,-0.0037785445,0.037646484,186368,7.1655464,11.12496,1571.05,1002.71205391
92,0.9286146089434624,543,188416,325.0062334537506,0.0037303336,-0.002381791,0.046582032,188416,7.176234,19.352934,1581.64,1014.25102166
93,0.9908977467566729,542,190464,328.77414655685425,0.0023045973,-0.0021841426,0.019921875,190464,7.165647,2.2211328,1572.26,1008.2179375300001
94,0.9582992568612099,541,192512,332.5495557785034,0.004241485,-0.004910979,0.04194336,192512,7.1405272,10.421934,1572.26,1012.70091883
95,0.9420800320804119,539,194560,336.3292007446289,0.003478914,-0.0033483547,0.04057617,194560,7.1259255,11.719277,1572.26,1014.28430275
96,0.9407304264605045,560,196608,340.1250989437103,0.0028714354,-0.0015356314,0.0340332,196608,7.119396,18.324657,1567.35,1012.4725153899999
97,0.9215667098760605,534,198656,343.77720069885254,0.0065232227,-0.0016315712,0.089257814,198656,7.1305,19.628902,1576.66,1024.01628181
98,0.90986218303442,566,200704,347.60880494117737,0.0023016518,-0.0008162771,0.02421875,200704,7.1389403,24.727337,1568.69,1025.08417951
99,0.9123759046196938,603,202752,351.22318983078003,0.0021065697,-0.0013180776,0.018359374,202752,7.1424346,9.288941,1571.99,1027.8394019500004
100,0.9229099303483963,535,204800,354.61915922164917,0.0027249402,-0.00079216325,0.029785156,204800,7.1383963,19.439648,1571.99,1030.2681662100001
101,0.9224741980433464,538,206848,358.4485595226288,0.0048313364,-0.00034165144,0.050585937,206848,7.1442842,19.488207,1581.19,1041.8695319600001
102,0.9154453724622726,591,208896,362.2520258426666,0.004455304,-0.0018875474,0.03930664,208896,7.152916,10.65431,1586.57,1045.63507468
103,0.9161932244896889,530,210944,365.71422576904297,0.0059086834,-0.0031972579,0.07451172,210944,7.1501646,19.54559,1594.16,1056.3026801199999
104,0.9196537360548973,545,212992,369.57840752601624,0.0027123415,-0.0016981943,0.026660156,212992,7.1391387,19.606758,1603.68,1068.18382854
105,0.8427311927080154,601,215040,373.334924697876,0.0030203075,-0.0012215769,0.03618164,215040,7.136373,11.520293,1603.68,1067.0796463199997
106,0.88827695697546,543,217088,376.74231576919556,0.0020941575,-0.0010280195,0.02216797,217088,7.1567445,30.98553,1609.12,1074.3204073499999
107,0.8338297456502914,585,219136,380.5089542865753,0.0035205756,-0.005539964,0.037890624,219136,7.1626434,11.267433,1616.68,1079.2945353399998
108,0.9656451679766178,570,221184,384.01011395454407,0.002004805,-0.002735682,0.017919922,221184,7.147044,8.096621,1617.45,1080.83284584
109,0.9182967245578766,558,223232,387.6019718647003,0.0031766656,-0.001639481,0.036132812,223232,7.1364107,19.367163,1617.45,1084.1753615799998
110,0.8260822296142578,589,225280,391.26988410949707,0.0033304985,-0.0015410476,0.033496093,225280,7.154461,16.455324,1628.27,1091.8586914999998
111,0.9499993473291397,550,227328,394.74387431144714,0.0024787742,-0.0004230882,0.02836914,227328,7.170372,12.006603,1616.68,1084.06716384
112,0.9047749042510986,572,229376,398.4670433998108,0.0023632445,-0.000805193,0.028271485,229376,7.172908,27.029867,1616.25,1085.7498938199997
113,0.9314330518245697,539,231424,402.0466322898865,0.0033502758,-0.001381375,0.0375,231424,7.170951,19.589802,1616.25,1086.93871453
114,0.8818888887763023,598,233472,405.84302592277527,0.0027746232,-0.0032053974,0.03251953,233472,7.16688,11.042432,1616.25,1082.92853683
115,0.9103894159197807,539,235520,409.2681052684784,0.0036865429,-0.0026080247,0.041015625,235520,7.1729364,29.098461,1615.84,1086.4077353399998
116,0.9280533045530319,542,237568,413.0620560646057,0.0012161054,-0.00020707752,0.0076171877,237568,7.181765,19.792774,1628.13,1099.86415222
117,0.9004568234086037,591,239616,416.83594393730164,0.0028795598,-0.0015971701,0.027197266,239616,7.175106,7.999701,1626.99,1095.7073186899997
118,0.8737398535013199,589,241664,420.30075216293335,0.002650558,-0.0022762748,0.029296875,241664,7.162214,10.979015,1626.99,1091.2624604599998
119,0.8507230579853058,599,243712,423.7759439945221,0.0018011059,0.0004437781,0.019140625,243712,7.1624374,12.44737,1639.08,1099.32356401
120,0.9250596538186073,542,245760,427.19333934783936,0.0068614865,-0.003535134,0.09077148,245760,7.164552,19.380264,1639.08,1103.28609995
121,0.8790245279669762,580,247808,430.9718334674835,0.0032964651,-0.0035190466,0.040136717,247808,7.1698904,8.991224,1637.24,1098.36897807
122,0.932674840092659,540,249856,434.49906754493713,0.0036464375,-0.003038582,0.039746094,249856,7.1645584,19.80387,1652.12,1112.22326308
123,0.9213324338197708,561,251904,438.2893126010895,0.0027670914,-0.0018410975,0.030517578,251904,7.1534286,20.77866,1662.86,1122.2635183199998
124,0.9312100782990456,535,253952,441.93706798553467,0.0035934083,-0.002360933,0.04477539,253952,7.1483855,19.791868,1662.86,1122.28229236
125,0.8842709138989449,599,256000,445.7600576877594,0.0031760305,-0.004583006,0.03261719,256000,7.1513033,15.708824,1643.95,1106.83124927
126,0.9276350438594818,543,258048,449.1770544052124,0.005162227,-0.002249485,0.06796875,258048,7.1571054,19.490227,1643.95,1106.8872846800002
127,0.9357597753405571,547,260096,452.9481887817383,0.005201421,-0.001832524,0.06328125,260096,7.160796,19.932064,1655.85,1118.6120355100002
128,0.9151302799582481,595,262144,456.68694949150085,0.0035037515,-0.002569948,0.043066405,262144,7.1683083,9.247457,1655.85,1114.37129697
129,0.9204051345586777,538,264192,460.1248815059662,0.006119181,-0.0066746436,0.07602539,264192,7.194607,20.613644,1655.85,1114.7419744000001
130,0.8913753777742386,566,266240,463.9284474849701,0.0019258971,-0.0022385374,0.0203125,266240,7.2194214,11.971002,1655.85,1110.57868177
131,0.9240521937608719,553,268288,467.5411903858185,0.0049024858,-0.0038271062,0.061621092,268288,7.228901,19.611212,1667.69,1121.20821191
132,0.9100312367081642,556,270336,471.2423253059387,0.007486881,-0.0109167155,0.077978514,270336,7.2510056,20.573128,1679.8,1132.6644351900002
133,0.8696447461843491,591,272384,474.9223988056183,0.0023267067,-0.0020500547,0.026904296,272384,7.2639146,9.28937,1694.54,1142.36341158
134,0.9795660506933928,555,274432,478.3846437931061,0.0038552794,-0.0062308945,0.03725586,274432,7.2645273,5.8293586,1683.43,1135.4797080800001
135,0.9093542546033859,563,276480,482.07086968421936,0.0028830678,-0.0017689292,0.035205077,276480,7.261804,20.040096,1683.43,1139.40116226
136,0.9245509952306747,529,278528,485.70256900787354,0.0070758043,-0.0033774874,0.087841794,278528,7.2603974,19.89481,1698.11,1151.8738742100002
137,0.8012896776199341,589,280576,489.57338309288025,0.003043043,-0.0003241924,0.03466797,280576,7.272339,20.124083,1698.11,1152.14329028
138,0.873222678899765,600,282624,493.0464036464691,0.0012834768,-0.0021557938,0.010791016,282624,7.274263,11.034744,1698.11,1148.57353248
139,0.9543852433562279,544,284672,496.4598767757416,0.0026492428,-0.0020531376,0.024951171,284672,7.2714067,11.641018,1698.11,1144.61681784
140,0.921383298933506,535,286720,500.21956753730774,0.0028333897,-0.0005683402,0.028857421,286720,7.2674217,19.263065,1698.11,1144.5030483400003
141,0.8217355906963348,579,288768,504.0429582595825,0.0019297812,-0.0014440359,0.019677734,288768,7.2743683,25.763489,1687.5,1137.4284544000002
142,0.8228234052658081,602,290816,507.5751497745514,0.0024887826,-0.0036602828,0.027929688,290816,7.2811546,16.964115,1675.8,1129.90590434
143,0.919275127351284,539,292864,510.97394943237305,0.003632736,-0.0010736777,0.0453125,292864,7.2936516,19.49076,1675.8,1134.8026950899998
144,0.9293515384197235,543,294912,514.7730529308319,0.004610161,-0.003013764,0.060595702,294912,7.2975454,20.10615,1675.8,1133.82692847
145,0.9307765141129494,598,296960,518.5394093990326,0.0016859306,-0.003926406,0.015576172,296960,7.287448,8.281776,1665.14,1123.09686296
146,0.9057665094733238,582,299008,521.9642705917358,0.003153424,-0.0012603346,0.03857422,299008,7.2894783,17.781017,1665.14,1120.8774602100002
147,0.9269949123263359,529,301056,525.4803647994995,0.006639584,-0.0048240963,0.08920898,301056,7.290483,19.807745,1665.14,1120.9912057299998
148,0.9444379732012749,552,303104,529.3513381481171,0.0017576109,-0.0008764973,0.016455078,303104,7.2939825,21.61192,1652.21,1112.18067027
149,0.858073279261589,591,305152,533.0599455833435,0.00166697,-0.0013362606,0.019042969,305152,7.298814,10.742392,1652.21,1107.4682183700002
150,0.9282534569501877,534,307200,536.5232474803925,0.0036633615,-0.00075077295,0.042773437,307200,7.304998,20.054857,1664.3,1119.88312989
151,0.9328014701604843,538,309248,540.3583037853241,0.0042202245,-0.002424193,0.047265626,309248,7.3054857,19.958141,1676.25,1132.31173898
152,0.9330546483397484,533,311296,544.1600215435028,0.004626699,-0.0012924771,0.05673828,311296,7.3030953,19.901617,1688.32,1144.62687169
153,0.8696130216121674,599,313344,547.9978907108307,0.0023726788,1.3864134e-06,0.02211914,313344,7.309185,12.683461,1688.32,1144.4483535099998
154,0.9255853146314621,569,315392,551.4121539592743,0.004505378,-0.00411488,0.0546875,315392,7.312043,19.699232,1699.72,1153.76656874
155,0.9327206686139107,537,317440,555.0121376514435,0.0025029657,-0.0013568712,0.025048828,317440,7.3207345,20.11311,1711.95,1165.96864612
156,0.9206172078847885,601,319488,558.8210186958313,0.0033972706,-0.0020634797,0.039111327,319488,7.3221183,11.695858,1711.95,1166.27314872
157,0.9758624825626612,568,321536,562.2271146774292,0.0026546274,-0.0019303656,0.027441407,321536,7.3149004,5.1680107,1712.81,1166.07182209
158,0.9470891393721104,539,323584,565.8289568424225,0.004492427,-0.0023232005,0.051953126,323584,7.3113227,13.369478,1719.56,1172.66433214
159,0.930514357984066,543,325632,569.6277666091919,0.0036989592,-0.0012740347,0.043066405,325632,7.3094826,19.947224,1730.91,1183.81710173
160,0.9305426627397537,545,327680,573.398980140686,0.0035618488,-0.0008387171,0.03857422,327680,7.296528,20.459194,1742.94,1196.34068047
161,0.9352870509028435,540,329728,577.1530182361603,0.0024022853,-0.0011973933,0.02734375,329728,7.291635,19.835722,1753.95,1206.9610674900002
162,0.9139673188328743,571,331776,580.9454171657562,0.0033499044,-0.0032526534,0.038476564,331776,7.2975745,20.169346,1764.86,1218.3197316800001
163,0.9557045549154282,558,333824,584.5316638946533,0.0027386926,-0.0010462622,0.022216797,333824,7.297616,11.182437,1764.86,1214.06659678
164,0.9383981116116047,544,335872,588.1993548870087,0.0021725113,2.7355494e-05,0.022558594,335872,7.294654,19.849184,1764.86,1217.7581670200002
165,0.9326066374778748,539,337920,591.957967042923,0.003818163,-0.002575423,0.046533205,337920,7.296881,20.245703,1776.6,1229.27380246
166,0.9203645139932632,563,339968,595.7561914920807,0.0019425431,-0.00066326576,0.01928711,339968,7.300576,20.844439,1776.6,1233.2057070800001
167,0.8292093873023987,592,342016,599.3921868801117,0.004709528,-0.006346429,0.042041015,342016,7.312754,16.520708,1764.66,1218.63302932
168,0.9345534816384315,538,344064,602.8471922874451,0.0039248792,-0.0040394478,0.04584961,344064,7.3083696,19.95985,1764.66,1222.6135951800002
169,0.9290595054626465,531,346112,606.6506571769714,0.003621573,0.0007963105,0.042822264,346112,7.295892,20.13103,1764.66,1222.08741935
170,0.9316789135336876,529,348160,610.5033533573151,0.0035417564,-0.00070467737,0.041894533,348160,7.307231,19.896023,1777.5,1235.16264226
171,0.9337235316634178,535,350208,614.3691873550415,0.003796833,-0.0017512755,0.045947265,350208,7.303941,20.186602,1777.5,1234.5409345
172,0.9074549004435539,581,352256,618.1933813095093,0.0020531935,-0.001891572,0.025927734,352256,7.302575,10.755081,1777.5,1230.0891209200001
173,0.9265957102179527,544,354304,621.7182712554932,0.0019126391,-0.0018046197,0.02080078,354304,7.3081055,20.518078,1789.17,1239.506561
174,0.8869877457618713,569,356352,625.4800939559937,0.001952891,-0.00039655893,0.021044921,356352,7.310313,7.7293806,1788.38,1234.2021958599998
175,0.9566674716770649,556,358400,629.0773792266846,0.0028424563,-0.005102602,0.030322265,358400,7.3155036,12.035925,1799.68,1245.12721372
176,0.8489021360874176,607,360448,632.7623562812805,0.0023004254,-0.0037053474,0.023925781,360448,7.3124237,12.584229,1799.68,1244.7636177699999
177,0.8987358585000038,582,362496,636.1322958469391,0.0051673893,-0.0049922084,0.06518555,362496,7.3125052,21.718393,1810.9,1254.1073686700001
178,0.9041653722524643,557,364544,639.6477797031403,0.005500839,-0.0043583815,0.06987305,364544,7.3298616,21.317696,1822.34,1264.24163919
179,0.9209161996841431,553,366592,643.322244644165,0.0016896095,-0.0005447302,0.017578125,366592,7.3410087,19.94691,1822.34,1263.54392264
180,0.9208791181445122,552,368640,647.0199871063232,0.0047295834,-0.0040053916,0.06015625,368640,7.344999,20.241463,1822.34,1266.72405721
181,0.929598480463028,536,370688,650.7297370433807,0.0030874386,-0.0009663034,0.034765624,370688,7.351674,19.227285,1822.34,1266.6469667200001
182,0.9208605140447617,550,372736,654.5477154254913,0.003455935,-0.0011147265,0.042382814,372736,7.3630066,20.252148,1837.1,1279.8581130600003
183,0.9723061416298151,542,374784,658.2665603160858,0.0019937153,-0.0009539329,0.018359374,374784,7.3689356,8.029105,1824.15,1267.22327928
184,0.873010978102684,582,376832,662.044420003891,0.0021975522,-0.0025534374,0.025585938,376832,7.363711,28.01373,1812.47,1255.76610569
185,0.911121778190136,546,378880,665.5582253932953,0.004644344,-0.0034436553,0.05698242,378880,7.357278,30.546087,1815.2,1257.27041827
186,0.942019522190094,587,380928,669.3084936141968,0.0014517751,-0.0027802505,0.014599609,380928,7.354575,10.777109,1811.1,1251.5688189
187,0.9216067865490913,548,382976,672.7963759899139,0.002531419,-0.0010423681,0.027148437,382976,7.3552155,19.901182,1825.81,1265.1081481400001
188,0.9569479413330555,555,385024,676.5276520252228,0.002170917,-0.002144959,0.025195312,385024,7.3604136,11.258768,1815.39,1258.4457695400001
189,0.9230587780475616,539,387072,680.2181947231293,0.002734168,-1.2153047e-05,0.03286133,387072,7.3608756,19.907045,1815.39,1258.5257047900002
190,0.9274208471179008,553,389120,684.0164377689362,0.0037514481,-0.0026185066,0.038867187,389120,7.3445573,19.388515,1815.39,1258.4403986099999
191,0.903904490172863,580,391168,687.716207742691,0.0021297701,-0.0032253913,0.024414062,391168,7.328583,25.414421,1800.76,1247.2475536000002
