explained_variance,clipfrac,fps,value_loss,n_updates,time_elapsed,ep_len_mean,policy_loss,ep_reward_mean,serial_timesteps,approxkl,total_timesteps,policy_entropy
0.729999303817749,0.035253905,582,19.583454,838,2812.468058824539,1487.77,-0.001737996,1232.6292154399998,1716224,0.0032347895,1716224,3.4914665
0.7321803867816925,0.034472656,585,19.475597,839,2815.9850192070007,1504.62,-0.0020630925,1249.71930757,1718272,0.0032113488,1718272,3.4923503
0.727584719657898,0.05996094,579,19.60634,840,2819.4815130233765,1521.5,-0.002395764,1266.81676998,1720320,0.004645181,1720320,3.495493
0.7502106428146362,0.048876952,584,19.63805,841,2823.017300605774,1538.55,-0.00066349754,1284.24700139,1722368,0.004350112,1722368,3.4960709
0.7309975624084473,0.073632814,578,19.936813,842,2826.519227027893,1555.61,-0.003553606,1301.1993175199998,1724416,0.0056863734,1724416,3.5038147
0.7281131148338318,0.03676758,572,19.67934,843,2830.0580904483795,1555.61,-0.0018862955,1302.2851152099997,1726464,0.003627712,1726464,3.5037408
0.7220244705677032,0.076416016,577,19.608875,844,2833.635959148407,1572.44,-0.00301859,1319.46074428,1728512,0.006226787,1728512,3.5029614
0.7233754992485046,0.057958983,588,19.734943,845,2837.1848542690277,1572.44,-0.0032159355,1320.2673343699998,1730560,0.004787066,1730560,3.5053246
0.7078319489955902,0.03652344,574,20.243834,846,2840.664520263672,1590.11,-0.0013333911,1338.1603506200001,1732608,0.0036094761,1732608,3.5020988
0.7177259922027588,0.06704102,583,19.806198,847,2844.2327654361725,1590.11,-0.0022358105,1338.67761045,1734656,0.0049588857,1734656,3.5041625
0.7051945626735687,0.025292968,594,19.954838,848,2847.7447838783264,1590.11,-0.00013080504,1338.9606519299998,1736704,0.002604134,1736704,3.5154972
0.8496695309877396,0.031445313,602,30.895374,849,2851.192060470581,1584.78,-0.00326467,1336.2598641799998,1738752,0.0031495807,1738752,3.5190067
0.7216246128082275,0.058447264,589,19.744228,850,2854.5944669246674,1595.37,-0.0020492955,1350.76339239,1740800,0.0051079816,1740800,3.5243294
0.7019774317741394,0.037988283,588,19.677341,851,2858.0679943561554,1611.99,-0.0024958076,1368.1244977300003,1742848,0.0033618014,1742848,3.5273335
0.9712698142975569,0.024023438,608,4.8391705,852,2861.5470502376556,1607.48,-0.0029488357,1365.4495398000001,1744896,0.002485626,1744896,3.5280852
0.7646917849779129,0.039404295,589,19.925097,853,2864.9114723205566,1607.48,-0.0015905059,1365.4227878500003,1746944,0.0037196833,1746944,3.5321553
0.8588569015264511,0.03354492,613,31.596735,854,2868.3890011310577,1606.29,-0.0023297442,1365.1149297000002,1748992,0.0035685704,1748992,3.5420825
0.7213308811187744,0.033203125,587,19.684776,855,2871.729655265808,1606.29,-0.0014075487,1365.67185238,1751040,0.0031506817,1751040,3.5558822
0.7649387121200562,0.045703124,598,20.325924,856,2875.2144362926483,1620.0,-0.0038415282,1381.1087486400002,1753088,0.004051218,1753088,3.563013
0.7388868629932404,0.05834961,600,17.790995,857,2878.6362133026123,1623.74,-0.004177826,1389.5391792399998,1755136,0.0047603277,1755136,3.567302
0.878023624420166,0.053466797,626,35.65409,858,2882.049413919449,1570.12,-0.0060539255,1337.17654201,1757184,0.0047387625,1757184,3.5714447
0.6983004510402679,0.07402344,582,19.923925,859,2885.3209154605865,1570.12,-0.004113374,1337.1583239,1759232,0.005747856,1759232,3.573944
0.7397251725196838,0.10112305,577,20.0542,860,2888.838600873947,1570.12,-0.0047577564,1337.54240107,1761280,0.008259065,1761280,3.5674152
0.9576972350478172,0.044042967,585,4.65611,861,2892.3834307193756,1555.87,-0.006457696,1324.4848004,1763328,0.003941669,1763328,3.5607991
0.896705336868763,0.03930664,585,9.7547865,862,2895.8799312114716,1555.57,-0.0044394983,1323.4385292200002,1765376,0.0041721854,1765376,3.5443509
0.7435083985328674,0.06391601,580,20.240015,863,2899.380760192871,1555.57,-0.002789074,1324.9045296599998,1767424,0.0048379563,1767424,3.5313942
0.8070741444826126,0.03696289,607,38.569717,864,2902.9100444316864,1520.23,-0.0030989973,1294.5617109999998,1769472,0.0034090455,1769472,3.5354466
0.8548083007335663,0.043945312,597,24.449907,865,2906.2825779914856,1503.41,-0.0045892466,1279.42824226,1771520,0.0037498628,1771520,3.540102
0.6969818770885468,0.06645508,574,19.525955,866,2909.7083728313446,1520.17,-0.0031068334,1296.69274957,1773568,0.005219562,1773568,3.5563412
0.7618618309497833,0.03984375,588,22.097202,867,2913.276472091675,1520.17,-0.0044651628,1296.66873594,1775616,0.0037035805,1775616,3.5700774
0.7621549963951111,0.028271485,586,20.393887,868,2916.7557697296143,1520.17,-0.0009855154,1295.66548165,1777664,0.0027754824,1777664,3.57072
0.8271370381116867,0.022558594,590,26.78512,869,2920.247334957123,1518.16,-0.00500182,1295.04604215,1779712,0.0024430354,1779712,3.5701327
0.7267870903015137,0.054736327,573,19.398708,870,2923.717791080475,1518.16,-0.002648469,1297.0493337599999,1781760,0.0044798977,1781760,3.5818512
0.7036613523960114,0.03388672,578,19.882288,871,2927.2868885993958,1534.9,-0.001992958,1314.36806664,1783808,0.0028915456,1783808,3.5987294
0.9601360596716404,0.0265625,601,9.162492,872,2930.8299629688263,1518.05,-0.007943094,1297.01693082,1785856,0.0026316212,1785856,3.6042614
0.963500615209341,0.030029297,614,9.284131,873,2934.2358009815216,1501.94,-0.0037005034,1280.03808499,1787904,0.002770499,1787904,3.6114197
0.767360508441925,0.046679687,607,21.728436,874,2937.568373441696,1507.93,-0.0042438926,1289.9704668400002,1789952,0.004267954,1789952,3.6064053
0.8147386163473129,0.04135742,609,39.535805,875,2940.9388313293457,1522.14,-0.0033142685,1304.9717299600002,1792000,0.0037649306,1792000,3.6013324
0.7216652035713196,0.05986328,571,19.705526,876,2944.300683259964,1522.14,-0.0018058519,1305.3823699,1794048,0.0047389474,1794048,3.609428
0.7299612760543823,0.024658203,569,19.697767,877,2947.8871653079987,1522.14,-0.0016610089,1306.6900751399999,1796096,0.002478696,1796096,3.6090283
0.7135503590106964,0.057128906,573,19.76712,878,2951.4822306632996,1522.14,-0.0041271984,1306.9898428200001,1798144,0.00490979,1798144,3.6050706
0.8246989846229553,0.036083985,586,26.621439,879,2955.0511236190796,1537.56,-0.0038797662,1323.0013516100005,1800192,0.0034700925,1800192,3.6065636
