approxkl,policy_loss,time_elapsed,fps,total_timesteps,policy_entropy,clipfrac,explained_variance,n_updates,serial_timesteps,value_loss,ep_len_mean,ep_reward_mean
0.0033309083,-0.0029038505,503.7032072544098,576,284672,3.5081234,0.03930664,0.7584289759397507,139,284672,24.490664,1318.0,892.3441636299999
0.0026247383,-0.0040979343,507.25529742240906,583,286720,3.5248044,0.026367188,0.8848088756203651,140,286720,11.53614,1292.3,874.8066343200001
0.003066742,-0.0042755506,510.76419949531555,565,288768,3.5537553,0.035449218,0.9554519355297089,141,288768,4.5712385,1273.29,862.76042288
0.0042455285,-0.003308038,514.386646270752,566,290816,3.5680652,0.0484375,0.8583083003759384,142,290816,16.255335,1232.06,832.67531872
0.00392593,-0.0025583908,518.0010302066803,544,292864,3.5695796,0.04453125,0.9524820856750011,143,292864,3.3257542,1227.58,828.2860214
0.0033448904,-0.0027649733,521.7644200325012,560,294912,3.5596366,0.036865234,0.7112835645675659,144,294912,13.831017,1244.24,841.3487442699999
0.0035832445,-0.0052618966,525.4202718734741,576,296960,3.553474,0.042333983,0.9584053531289101,145,296960,4.2791147,1219.25,823.4093334199999
0.0061273454,-0.0027940236,528.9703872203827,553,299008,3.5562687,0.07133789,0.7867182940244675,146,299008,12.636869,1217.2,820.86883253
0.0035408698,-0.0038827646,532.6698908805847,572,301056,3.5688298,0.03959961,0.8219135403633118,147,301056,17.356033,1220.45,822.5676116299999
0.004691436,-0.0032603987,536.2458081245422,564,303104,3.5632858,0.052441407,0.5225627422332764,148,303104,16.194439,1220.45,821.4295487500001
0.0038836275,-0.0031564967,539.8712630271912,537,305152,3.5515537,0.040527344,0.7723048180341721,149,305152,9.553643,1236.78,833.6560439000001
0.008600191,-0.0017576251,543.6856141090393,508,307200,3.5556462,0.08681641,0.5493063032627106,150,307200,11.18836,1236.78,831.5076709700002
0.003934431,-0.0017800486,547.7130146026611,538,309248,3.5643563,0.047265626,0.8677147775888443,151,309248,8.408983,1236.78,832.10564713
0.0041813566,-0.0036940377,551.51589179039,542,311296,3.5542197,0.047802735,0.8888454586267471,152,311296,5.6521673,1219.28,819.2570068299999
0.0056369854,-0.0054050875,555.290846824646,565,313344,3.5473614,0.066552736,0.7014972865581512,153,313344,18.764036,1205.25,807.6238887299999
0.0026882777,-0.0033427298,558.9106440544128,548,315392,3.5432563,0.02998047,0.8524284511804581,154,315392,14.790331,1191.66,798.4823103800002
0.002935307,-0.0032306474,562.641818523407,571,317440,3.5422451,0.032714844,0.7841599881649017,155,317440,14.244356,1175.82,785.8768641800001
0.00438776,-0.001763073,566.2255702018738,551,319488,3.5348403,0.045654297,0.824165090918541,156,319488,9.50304,1175.82,786.8400301
0.004900942,-0.00784071,569.9382977485657,546,321536,3.5234523,0.0496582,0.9227335527539253,157,321536,7.6069593,1180.84,791.88349223
0.005184068,-0.005387148,573.6893947124481,543,323584,3.5248425,0.061328124,0.8130936473608017,158,323584,6.8605156,1170.37,784.3704988400001
0.0038523842,-0.007778014,577.4593455791473,570,325632,3.5354927,0.045703124,0.8168478459119797,159,325632,21.47521,1143.35,767.29795591
0.0048450334,-0.0066915057,581.0497629642487,532,327680,3.54939,0.052734375,0.9312511533498764,160,327680,6.896489,1135.32,761.5871982299999
0.0041114497,-0.0065982617,584.8988845348358,539,329728,3.562107,0.048779298,0.9126922860741615,161,329728,8.989276,1115.33,747.02371438
0.0035085592,-0.002132177,588.6968460083008,539,331776,3.565574,0.038330078,0.756864458322525,162,331776,13.469688,1115.33,747.9704078000001
