ep_reward_mean,policy_loss,serial_timesteps,fps,ep_len_mean,value_loss,explained_variance,n_updates,total_timesteps,approxkl,clipfrac,time_elapsed,policy_entropy
645.7729350000002,-0.008778653,153600,539,1035.34,8.9164095,0.9279555007815361,75,153600,0.0053225593,0.057373047,284.1255338191986,4.1433725
656.03945834,0.00024137397,155648,528,1050.02,16.448711,0.8698875904083252,76,155648,0.003970886,0.040136717,287.922465801239,4.152333
665.88531505,-0.0020299987,157696,531,1064.79,16.587646,0.8384079188108444,77,157696,0.0045154793,0.04638672,291.80094051361084,4.15314
664.2077011700001,-0.0031822398,159744,528,1064.79,11.933648,0.8099291920661926,78,159744,0.006780046,0.06323242,295.65776085853577,4.1505895
640.4293090299999,-0.0046534836,161792,530,1032.8,10.683581,0.9228192195296288,79,161792,0.0020312015,0.021533202,299.5356409549713,4.1492853
651.83891565,-0.0028975024,163840,542,1046.91,13.478584,0.8533803820610046,80,163840,0.0039287535,0.04765625,303.3987445831299,4.1383014
651.7219005399999,-0.0037996392,165888,536,1045.79,17.488853,0.8329572379589081,81,165888,0.0026298251,0.028027344,307.17710399627686,4.131533
648.3638582,-0.006213424,167936,521,1042.93,19.173487,0.8811624050140381,82,167936,0.004052946,0.04873047,310.99169921875,4.13951
662.5118881600001,-0.0029584072,169984,529,1060.87,9.959139,0.8801528811454773,83,169984,0.0037796856,0.042041015,314.9176380634308,4.153642
661.4277291400001,-0.002768441,172032,534,1060.91,16.346266,0.8002204895019531,84,172032,0.004071955,0.050097656,318.7855143547058,4.1659102
663.7954041600001,-0.0023924592,174080,512,1063.89,19.520947,0.8244680762290955,85,174080,0.0027195052,0.030419922,322.61499190330505,4.1721697
663.3964039599999,-0.0056712786,176128,515,1062.91,7.5350533,0.9261568486690521,86,176128,0.0029021727,0.0296875,326.61458587646484,4.171618
671.0992140300001,-0.0053461203,178176,533,1073.62,11.690836,0.8883698582649231,87,178176,0.003430592,0.034375,330.58527731895447,4.1746798
653.9926026300001,-0.0016237969,180224,539,1050.7,17.276012,0.8741263747215271,88,180224,0.0014865603,0.015576172,334.42324113845825,4.187251
665.8402620600001,-0.004943238,182272,548,1065.03,15.995398,0.818831130862236,89,182272,0.0041933837,0.05053711,338.2214798927307,4.204705
672.7965880600001,-0.0024400107,184320,539,1074.35,6.976751,0.9314629882574081,90,184320,0.0023097447,0.02368164,341.9560852050781,4.208264
674.16263015,-0.004625586,186368,518,1077.43,18.654568,0.8519615679979324,91,186368,0.0031620264,0.03334961,345.7548267841339,4.2068453
672.8234037399999,-0.0028445502,188416,518,1077.43,10.712065,0.8600874543190002,92,188416,0.0032264523,0.03769531,349.703649520874,4.225667
678.3491822599999,-0.0013209551,190464,547,1085.49,16.251753,0.8053634613752365,93,190464,0.0015885073,0.016357422,353.65275478363037,4.2400723
658.4099178,-0.00407279,192512,528,1060.27,21.020367,0.8225480765104294,94,192512,0.0023442006,0.026367188,357.3956379890442,4.249283
670.4504602100001,-0.003400974,194560,509,1074.75,9.221004,0.8970780372619629,95,194560,0.0022929655,0.024169922,361.268070936203,4.2547913
655.89926251,-0.0042930795,196608,492,1056.85,15.124872,0.857755646109581,96,196608,0.0046462035,0.05678711,365.28785252571106,4.2605224
655.5405189799999,-0.005272133,198656,515,1056.79,18.347303,0.8383384793996811,97,198656,0.0019148892,0.019091796,369.44620537757874,4.2745247
644.0285109900001,-0.0023377405,200704,538,1042.1,4.463687,0.9506853744387627,98,200704,0.0018694301,0.017822266,373.4187378883362,4.272664
656.1294524600002,-0.004462394,202752,523,1059.93,28.072144,0.6793314814567566,99,202752,0.0036363422,0.039648436,377.22141575813293,4.2772675
661.7566852300001,-0.0053657074,204800,530,1068.52,9.299808,0.8489178866147995,100,204800,0.0027398202,0.026855469,381.13324642181396,4.2869554
671.7614548,-0.0023338115,206848,519,1082.14,11.531057,0.8407772183418274,101,206848,0.0027662974,0.028466797,384.99826288223267,4.291273
662.5049249300001,-0.0041249455,208896,542,1071.36,15.213148,0.8476158380508423,102,208896,0.003657765,0.03364258,388.94000267982483,4.2941656
667.78627446,-0.0037273937,210944,534,1078.39,7.8185983,0.9105558097362518,103,210944,0.0017977881,0.017675782,392.71794724464417,4.294042
681.2386498700001,-0.0017922788,212992,522,1096.31,10.965137,0.8813668265938759,104,212992,0.0020655761,0.019238282,396.5479049682617,4.282584
650.08495054,-0.0040375628,215040,531,1055.46,17.586323,0.8988461196422577,105,215040,0.003689243,0.035595704,400.4645104408264,4.2871428
644.44863659,-0.0044552335,217088,537,1048.73,20.098652,0.6831935346126556,106,217088,0.0022353826,0.023828125,404.3195888996124,4.312233
651.76812412,-0.0024666698,219136,532,1059.72,13.447571,0.8434475064277649,107,219136,0.0013889737,0.013134765,408.12815499305725,4.3263793
629.38218121,-0.0021259387,221184,527,1028.66,20.19449,0.8630210310220718,108,221184,0.0021686414,0.024951171,411.9742887020111,4.329628
606.75723036,-0.0043209433,223232,545,998.48,13.536827,0.8311895877122879,109,223232,0.0026237485,0.025537109,415.8592393398285,4.3343387
612.77028497,-0.005249747,225280,551,1008.04,12.502623,0.8124052435159683,110,225280,0.002656734,0.028271485,419.6130590438843,4.3412857
621.36733225,-0.0013835377,227328,536,1020.49,13.279607,0.7847914844751358,111,227328,0.0024001284,0.02607422,423.32923007011414,4.3439302
624.3360204599999,-0.004229204,229376,532,1026.44,10.346921,0.7916227579116821,112,229376,0.0053510163,0.06337891,427.1440198421478,4.3490334
624.34394045,-0.003188587,231424,545,1028.8,10.541739,0.8197350203990936,113,231424,0.0029603383,0.03354492,430.98705434799194,4.3436337
637.4528946600001,-0.003943174,233472,534,1047.33,16.021809,0.8538043349981308,114,233472,0.0023199308,0.025976563,434.74239349365234,4.342068
630.7718147800001,-0.0027903847,235520,544,1039.48,12.535387,0.8655646741390228,115,235520,0.0015001621,0.012597656,438.5752897262573,4.3400946
642.1571510800001,-0.0021153344,237568,523,1053.66,9.23448,0.8880673199892044,116,237568,0.0021549596,0.023779297,442.33993697166443,4.338172
649.15183475,-0.0044232775,239616,517,1063.83,6.45651,0.9204146787524223,117,239616,0.003034386,0.03237305,446.2488303184509,4.343334
658.82414926,-0.0020640024,241664,539,1075.56,9.2611065,0.8762010112404823,118,241664,0.0018571852,0.018359374,450.2068212032318,4.341872
658.71749325,-0.0041032485,243712,538,1074.33,18.72839,0.8384863287210464,119,243712,0.0044032973,0.0496582,454.00294733047485,4.333522
659.1656600199999,-0.0028850215,245760,525,1074.33,15.88916,0.8524200171232224,120,245760,0.0025426033,0.028857421,457.8032970428467,4.3254294
650.1984941400001,-0.0036240853,247808,546,1063.78,11.71006,0.8623576164245605,121,247808,0.0023862454,0.025537109,461.7037227153778,4.32516
636.6445571200001,-0.0025674445,249856,540,1049.09,12.179647,0.8779551312327385,122,249856,0.0018473931,0.017285157,465.4537441730499,4.3299556
635.4196114999999,-0.0040948293,251904,527,1046.63,2.779389,0.9771266151219606,123,251904,0.0025315946,0.027294923,469.24613547325134,4.3324842
649.09073035,-0.0035533053,253952,527,1064.56,9.736733,0.8292897194623947,124,253952,0.0075210473,0.08413086,473.12612414360046,4.3400745
661.08130807,-0.0024248227,256000,535,1082.79,9.78565,0.8900191336870193,125,256000,0.0027094374,0.030273438,477.0058259963989,4.348744
661.1947669599999,-0.003370333,258048,538,1081.51,23.918312,0.7808919697999954,126,258048,0.0017615773,0.019433593,480.83157229423523,4.35051
662.43782923,-0.005517256,260096,525,1083.71,4.18398,0.9606300331652164,127,260096,0.0019998138,0.01953125,484.6382052898407,4.365622
672.7378532000001,-0.0034667526,262144,557,1097.6,10.240385,0.8622101694345474,128,262144,0.0026354077,0.030029297,488.53432989120483,4.3799295
685.4465822100001,-0.0010946786,264192,523,1115.44,11.757876,0.8628265112638474,129,264192,0.001472669,0.014453125,492.2111361026764,4.385471
696.4138808600001,-0.004195318,266240,530,1129.92,13.705286,0.7681960612535477,130,266240,0.0025160743,0.030029297,496.1233379840851,4.382388
709.15495867,-0.002066059,268288,541,1147.75,12.6641245,0.8587666749954224,131,268288,0.001993097,0.020947266,499.98560881614685,4.3851194
720.5397671800002,-0.0014926324,270336,529,1162.17,12.786896,0.8383660912513733,132,270336,0.0033484213,0.03339844,503.77124309539795,4.3833504
720.6986590399999,-0.0048976215,272384,554,1162.17,12.5655575,0.838271751999855,133,272384,0.0034313314,0.036816407,507.63990545272827,4.369464
737.75851188,-0.0069611175,274432,548,1187.36,22.436834,0.7584896683692932,134,274432,0.004808543,0.05883789,511.33380150794983,4.364006
739.4228902699999,-0.0024915508,276480,546,1187.36,10.232669,0.8855312541127205,135,276480,0.002640679,0.028515626,515.0685515403748,4.3689046
743.07741639,-0.0023627125,278528,526,1190.51,17.863657,0.8861546739935875,136,278528,0.0015094226,0.011865234,518.8187553882599,4.3618946
754.34043624,-0.0029089986,280576,528,1204.84,10.785646,0.860854908823967,137,280576,0.0039444277,0.04248047,522.7079312801361,4.356223
767.8299063700001,-0.00060187245,282624,547,1222.5,12.920222,0.8599912077188492,138,282624,0.0021971306,0.021289062,526.5847880840302,4.3511972
767.91110402,-0.0011665649,284672,528,1222.5,16.165798,0.8441735059022903,139,284672,0.0019519277,0.01826172,530.3261885643005,4.3480325
760.3673160000002,-0.002156163,286720,544,1213.73,9.786818,0.9041305407881737,140,286720,0.0031167746,0.034423828,534.1998209953308,4.3483434
767.6144319200002,-0.005762361,288768,526,1222.22,8.991686,0.9109760075807571,141,288768,0.0033873282,0.039257813,537.9618220329285,4.3345284
775.58438436,-0.008401228,290816,546,1232.51,23.835083,0.7647950053215027,142,290816,0.0059040077,0.064648435,541.8493390083313,4.3205776
764.8105620500002,-0.0023522195,292864,548,1220.23,9.693077,0.8584280163049698,143,292864,0.0014349953,0.012353515,545.6004779338837,4.32634
766.4024000400001,-0.0038455694,294912,542,1220.23,15.729334,0.8277940005064011,144,294912,0.003195194,0.035546876,549.3372628688812,4.328748
767.6124143099998,-0.004559048,296960,558,1222.84,19.918823,0.8135741055011749,145,296960,0.005017169,0.05810547,553.1112976074219,4.328637
759.9047976,-0.0024081366,299008,552,1213.18,18.79623,0.8578544110059738,146,299008,0.0022988091,0.02265625,556.7758061885834,4.3261423
740.73923995,-0.0042875875,301056,517,1188.82,23.459465,0.669087827205658,147,301056,0.0037982967,0.038964845,560.4862270355225,4.3210106
731.1969171699998,-0.0033729624,303104,508,1178.52,19.74993,0.8258821964263916,148,303104,0.002152883,0.022460938,564.4469850063324,4.3163652
717.5774358399999,-0.0032709693,305152,545,1159.17,13.177637,0.8831020966172218,149,305152,0.0049972483,0.049609374,568.4723052978516,4.315436
723.0361656099999,-0.0010581792,307200,544,1168.17,12.659643,0.8585636764764786,150,307200,0.0029645287,0.03286133,572.2241067886353,4.3229337
729.8151678099998,-0.0016483528,309248,550,1177.38,18.089375,0.8194868117570877,151,309248,0.0016179921,0.017041016,575.9876308441162,4.322135
707.27099156,-0.0077646337,311296,538,1147.63,19.441898,0.6647746562957764,152,311296,0.0029175382,0.035449218,579.7091681957245,4.338443
717.6398083199998,-0.005401846,313344,528,1162.06,10.227452,0.8281673491001129,153,313344,0.0047164913,0.05234375,583.5139725208282,4.3628125
718.1990136199998,-0.0025993406,315392,551,1162.65,7.7026277,0.9116176292300224,154,315392,0.002721977,0.029248048,587.3876190185547,4.368945
716.51690598,-0.00494769,317440,535,1159.84,28.794607,0.80051589012146,155,317440,0.003156005,0.032958984,591.1002361774445,4.382014
724.69572338,-0.0027982253,319488,548,1170.63,8.763113,0.8885770738124847,156,319488,0.0028722466,0.031347655,594.9269988536835,4.3892565
714.8869476799998,-0.0039877496,321536,544,1156.61,21.657152,0.8207665085792542,157,321536,0.0020889253,0.021582032,598.6595742702484,4.3794756
