serial_timesteps,ep_len_mean,value_loss,fps,approxkl,clipfrac,ep_reward_mean,n_updates,policy_loss,total_timesteps,policy_entropy,explained_variance,time_elapsed
63488,1119.7142857142858,15.176692,464,0.0051611485,0.06147461,634.8726522857144,31,-0.0064468505,63488,2.7952738,0.8544377684593201,137.02237391471863
65536,1121.0689655172414,15.303927,485,0.0029325583,0.029394532,635.8061295517243,32,-0.0021035483,65536,2.7912645,0.8717171400785446,141.43682146072388
67584,1070.0,21.784878,486,0.0036761486,0.040478516,600.2016180793653,33,-0.003851752,67584,2.80364,0.48652005195617676,145.65631198883057
69632,1053.560606060606,17.011759,465,0.0035280741,0.038232423,588.3872531818181,34,-0.003550653,69632,2.8131404,0.8367017358541489,149.86856055259705
71680,1055.7313432835822,5.0520253,471,0.00439087,0.046679687,589.5694473880596,35,-0.0015055878,71680,2.807917,0.944191500544548,154.27230143547058
73728,1051.4857142857143,18.51465,427,0.004164791,0.046289064,587.0870319,36,-0.0072580515,73728,2.8031816,0.8692227154970169,158.62106370925903
75776,1040.1408450704225,4.561293,475,0.002775756,0.029736329,579.9041479577464,37,-0.0037213308,75776,2.7976458,0.9482701011002064,163.41302132606506
77824,994.6282051282051,26.889252,481,0.0050015277,0.055517577,550.8039421794872,38,-0.0038920846,77824,2.7940373,0.5552771985530853,167.7236349582672
79872,1007.2911392405064,7.6336517,469,0.0042149196,0.046289064,559.9224215063291,39,-0.0037227012,79872,2.8038306,0.9287914484739304,171.98192358016968
81920,974.277108433735,13.464661,482,0.0053054686,0.059179686,538.2672882891567,40,-0.006004504,81920,2.808147,0.8715810030698776,176.34483242034912
83968,970.1162790697674,17.589333,402,0.0040455163,0.043945312,536.1387191511628,41,-0.0021048244,83968,2.811399,0.8808339536190033,180.58964681625366
86016,976.5227272727273,10.309507,458,0.0032286444,0.03515625,539.8148528863636,42,-0.0031809337,86016,2.8173532,0.9258838817477226,185.68276524543762
88064,963.0888888888888,8.155821,459,0.0032813244,0.03515625,530.7713719888889,43,-0.0022934244,88064,2.8162115,0.9290034398436546,190.15338325500488
90112,965.0967741935484,17.458643,483,0.00373139,0.04067383,531.8931763978494,44,-0.00312425,90112,2.8179984,0.8858728036284447,194.60644030570984
92160,945.7525773195877,15.501285,387,0.004423692,0.049902342,519.6174804948453,45,-0.003451055,92160,2.809257,0.8810296431183815,198.84341025352478
94208,943.9285714285714,14.607397,394,0.0034706735,0.03540039,518.0352554693877,46,-0.0024549875,94208,2.8054786,0.6932575404644012,204.12420058250427
96256,914.9,27.22437,434,0.0042451713,0.050634764,497.90429463,47,-0.0016803577,96256,2.8018422,0.6139445900917053,209.3206832408905
98304,913.21,15.158267,481,0.0040283324,0.044287108,496.75974365,48,-0.0029989998,98304,2.8060153,0.8010252565145493,214.03846549987793
100352,922.97,9.636635,487,0.006984444,0.082177736,505.0449695300001,49,-0.0021235936,100352,2.810232,0.9180134609341621,218.28951215744019
102400,907.42,6.594884,480,0.0032762315,0.035742186,494.86185834,50,-0.004130836,102400,2.807106,0.9086430743336678,222.49106407165527
104448,910.84,8.677856,463,0.002776939,0.027148437,496.62228387999994,51,0.0007931646,104448,2.8058581,0.9096874073147774,226.75170278549194
106496,928.75,13.0379305,404,0.004231127,0.04790039,509.56949016,52,-0.00026552638,106496,2.8068826,0.774881899356842,231.17252206802368
108544,928.78,11.989655,413,0.0019839588,0.018066406,509.52798531,53,-0.00068787363,108544,2.8118653,0.885061465203762,236.24128556251526
110592,910.83,11.985861,418,0.004766377,0.05581055,498.02692845999997,54,-0.0023556887,110592,2.8149796,0.8696428686380386,241.19551348686218
112640,916.2,12.778395,407,0.0039192196,0.043554686,501.30389971000005,55,-0.00091916823,112640,2.8252728,0.8141241818666458,246.0856008529663
114688,922.94,9.073542,450,0.0039816266,0.04506836,505.72407882,56,-0.0013382933,114688,2.824144,0.7987732738256454,251.11768054962158
116736,927.97,7.262043,468,0.0059361733,0.07197265,509.82504947,57,-0.007720539,116736,2.822646,0.930801622569561,255.66045928001404
118784,935.58,10.33956,462,0.004738312,0.053222656,516.6638875200001,58,-0.0020869314,118784,2.821718,0.8284678012132645,260.03259539604187
120832,906.12,25.37437,440,0.0064946837,0.078125,496.82936305999993,59,-0.0058131716,120832,2.8280454,0.7048891186714172,264.4645822048187
122880,906.12,10.39737,434,0.0042093364,0.047167968,496.76195915999995,60,-0.0042232354,122880,2.8327432,0.862860918045044,269.1144540309906
124928,891.42,7.6537733,422,0.0042875195,0.044433594,486.04601605000005,61,-0.0021926807,124928,2.8171039,0.8885815590620041,273.8247489929199
126976,909.54,15.534198,412,0.0049976343,0.05214844,498.22999006000003,62,-0.0044447845,126976,2.8018453,0.8292908519506454,278.67671394348145
129024,927.57,9.890579,418,0.0060271253,0.072070315,510.51333988000005,63,-0.0029308158,129024,2.8030238,0.8947034478187561,283.64776635169983
