policy_entropy,n_updates,value_loss,serial_timesteps,total_timesteps,ep_len_mean,fps,clipfrac,ep_reward_mean,explained_variance,time_elapsed,approxkl,policy_loss
4.6400323,75,4.588654,153600,153600,1351.68,167,0.047265626,1068.9409999900001,0.6959440410137177,1026.0880625247955,0.004198304,-0.0037159608
4.6326375,76,2.130764,155648,155648,1357.56,183,0.056152344,1071.5370410000003,0.8364241123199463,1038.330710887909,0.005042255,-0.0013084883
4.6047735,77,1.2706085,157696,157696,1372.16,182,0.07036133,1080.80016795,0.9808167852461338,1049.462955236435,0.006519365,-0.009156493
4.581499,78,2.7106335,159744,159744,1385.4,169,0.055273436,1095.51002147,0.9512053988873959,1060.6597456932068,0.004810798,-0.002085147
4.5729475,79,3.7710793,161792,161792,1392.65,156,0.07875977,1103.36368163,0.807183027267456,1072.7463738918304,0.0063597173,-0.007929342
4.5675073,80,1.6422994,163840,163840,1405.87,211,0.0746582,1111.73303515,0.8534087985754013,1085.856939315796,0.006209191,-0.006434036
4.570411,81,2.8206942,165888,165888,1413.13,146,0.05444336,1113.71293359,0.8424097150564194,1095.5200514793396,0.0051063346,-0.004085926
4.592458,82,8.315439,167936,167936,1416.89,123,0.03881836,1114.94108399,0.945025846362114,1109.525983095169,0.0033295837,-0.0027943621
4.608002,83,3.183293,169984,169984,1413.12,180,0.04018555,1112.1087519599998,0.9499918520450592,1126.1194622516632,0.0037741922,-0.003532258
4.5928597,84,1.8667428,172032,172032,1413.12,163,0.03779297,1110.80058399,0.9671592563390732,1137.4422326087952,0.0034955845,-0.007418162
4.5723987,85,3.5618057,174080,174080,1430.09,168,0.031689454,1127.8319394599998,0.6906598210334778,1149.9445848464966,0.003320581,-0.0013800727
4.565977,86,13.807838,176128,176128,1431.22,140,0.02241211,1123.89416016,0.8283980339765549,1162.0871255397797,0.0024645948,-0.0034405726
4.563326,87,1.9711616,178176,178176,1429.24,211,0.064013675,1122.8381543000003,0.9173018410801888,1176.633894443512,0.005632627,-0.00744877
4.554056,88,5.294479,180224,180224,1433.6,171,0.03852539,1126.0008671900002,0.8404669463634491,1186.3129796981812,0.0035851698,-0.007034204
4.554868,89,2.4163597,182272,182272,1439.75,185,0.024804687,1127.93890039,0.9716166835278273,1198.2652161121368,0.0024065925,-0.005445388
4.5477753,90,13.184117,184320,184320,1471.91,104,0.06020508,1156.5726249900001,0.870835617184639,1209.2905583381653,0.005068642,-0.0009830401
4.5497694,91,12.954585,186368,186368,1439.9,135,0.066748045,1125.71549803,0.7218032777309418,1228.8150489330292,0.005670634,-0.0047468124
4.5625124,92,13.269304,188416,188416,1428.16,104,0.0484375,1116.0443144399999,0.8689268082380295,1243.877248764038,0.004283155,-0.0042182268
4.573486,93,2.3942542,190464,190464,1430.99,165,0.04145508,1119.0512206899998,0.9521927237510681,1263.5105834007263,0.0036128336,-0.0054212934
4.567598,94,2.3213003,192512,192512,1433.6,196,0.06962891,1121.18558983,0.8003179281949997,1275.8971478939056,0.0057581533,-0.00649448
4.5661674,95,1.414648,194560,194560,1433.6,205,0.045458984,1115.67491405,0.8664050996303558,1286.3385202884674,0.0039334474,-0.0018625592
