total_timesteps,policy_entropy,policy_loss,approxkl,n_updates,serial_timesteps,ep_reward_mean,ep_len_mean,time_elapsed,explained_variance,clipfrac,fps,value_loss
174080,2.5753133,-0.0014131283,0.0040382827,85,174080,781.74925286,1195.24,355.5924563407898,0.8628264218568802,0.044433594,471,7.0920854
176128,2.5681987,-0.00590925,0.004246923,86,176128,781.7383589,1195.75,359.93525433540344,0.8560353964567184,0.050195314,459,23.181526
178176,2.5743744,-0.00030734873,0.0035751625,87,178176,770.50853099,1179.07,364.3938572406769,0.7134619951248169,0.035009764,463,26.137222
180224,2.5902388,-0.0013782178,0.0042259223,88,180224,771.1298933900001,1180.36,368.81178760528564,0.7483640313148499,0.05258789,459,18.010471
182272,2.5993116,-0.00458898,0.0054559233,89,182272,769.0812946000001,1180.36,373.2697048187256,0.7274452447891235,0.06552734,441,9.373873
184320,2.6030383,-0.0062915296,0.005280953,90,184320,754.9687141999999,1162.31,377.90686440467834,0.9096760898828506,0.054785155,448,7.1015983
186368,2.6137412,-0.0035944185,0.004210393,91,186368,763.33808265,1177.07,382.4710605144501,0.8400849103927612,0.049902342,476,14.822878
188416,2.6288695,-0.0063002706,0.0054009054,92,188416,773.2359634399999,1190.05,386.77325463294983,0.9354645311832428,0.06430664,496,6.8912687
190464,2.629673,-0.007157245,0.005521114,93,190464,755.64524152,1163.64,390.9005661010742,0.8955466151237488,0.06772461,490,17.613241
192512,2.6268182,-0.0022206134,0.002334177,94,192512,758.3799750900001,1168.07,395.0778486728668,0.9501104094088078,0.022949219,487,3.1139598
194560,2.6285672,-0.003439663,0.0037693519,95,194560,764.4883101000003,1177.21,399.2831618785858,0.8521549850702286,0.0421875,485,16.648258
196608,2.63445,-0.005458246,0.0040212134,96,196608,754.1006327000001,1162.39,403.50232005119324,0.8495632857084274,0.04160156,478,12.73006
198656,2.6326675,-0.006536284,0.004476237,97,198656,734.5339577299998,1135.97,407.7847993373871,0.8700984865427017,0.04941406,478,18.637863
200704,2.6319928,-0.0030585905,0.0053491076,98,200704,721.3118943099997,1118.16,412.06681537628174,0.7704680860042572,0.049072266,474,19.71261
202752,2.6362138,-0.0023431107,0.0026000168,99,202752,724.93318362,1123.05,416.3846731185913,0.8098420798778534,0.027246093,498,20.71553
204800,2.6349425,-0.0029129602,0.0051826774,100,204800,731.93363265,1130.43,420.496280670166,0.8357974588871002,0.05996094,481,12.911891
206848,2.6321511,-0.0012056148,0.0035974751,101,206848,745.02886354,1147.01,424.7533931732178,0.7848248481750488,0.039892577,473,15.323456
208896,2.637709,-0.005500676,0.0045219557,102,208896,756.23160797,1161.93,429.0789670944214,0.8202615827322006,0.050878905,490,21.044018
210944,2.64588,-0.00039459486,0.0035418968,103,210944,753.25995951,1159.29,433.2587471008301,0.849170371890068,0.03359375,484,15.357593
212992,2.6483557,-0.0057068868,0.0030516027,104,212992,766.5631097199999,1176.17,437.4871871471405,0.9760160651057959,0.032421876,484,2.4320989
215040,2.6563141,-0.0036889128,0.0060028164,105,215040,764.8316091099998,1176.17,441.7174997329712,0.8559079021215439,0.0730957,500,10.053822
217088,2.6577697,-0.004305252,0.0032736291,106,217088,761.5211354099999,1171.89,445.806871175766,0.9696253798902035,0.033837892,489,2.6011827
