serial_timesteps,total_timesteps,time_elapsed,fps,value_loss,policy_entropy,policy_loss,clipfrac,n_updates,ep_reward_mean,explained_variance,approxkl,ep_len_mean
71680,71680,168.50768423080444,457,10.255751,2.7673843,-0.0035819295,0.048779298,35,623.0562528695654,0.7938820570707321,0.004501204,1032.536231884058
73728,73728,172.98794770240784,438,9.328096,2.761014,-0.0035141122,0.052246094,36,628.3712158000001,0.5355779826641083,0.004514854,1047.057142857143
75776,75776,177.65703177452087,384,9.075809,2.7649353,-0.0029457887,0.050634764,37,639.3528245352113,0.8924092426896095,0.0042819087,1061.1690140845071
77824,77824,182.98722100257874,459,15.18603,2.7723784,-0.007467693,0.068554685,38,641.68381,0.8234686255455017,0.0062197563,1064.890410958904
79872,79872,187.44258856773376,418,11.541895,2.7753062,-0.0047770455,0.047265626,39,641.9488293333333,0.8877753466367722,0.0046500457,1064.8933333333334
81920,81920,192.342515707016,420,13.504499,2.7710872,-0.0051857363,0.0484375,40,650.4827479078947,0.7690364867448807,0.0042097196,1077.842105263158
83968,83968,197.21544194221497,452,11.260061,2.76718,-0.001063891,0.05263672,41,641.5936363461539,0.8555178344249725,0.005443369,1065.128205128205
86016,86016,201.73912596702576,467,12.551264,2.765796,-0.0046301605,0.046972655,42,634.3918207654322,0.8704395443201065,0.0042885253,1052.3827160493827
88064,88064,206.12296295166016,428,13.239815,2.767416,-0.004349257,0.05595703,43,643.3302963658537,0.8164444118738174,0.0048123617,1064.5365853658536
90112,90112,210.90322494506836,450,21.040806,2.7655032,-0.0043793223,0.044287108,44,643.7618930357144,0.667248547077179,0.0038607274,1065.642857142857
92160,92160,215.44813179969788,460,13.676915,2.770037,-0.005081918,0.068554685,45,647.0008507294119,0.3966794013977051,0.0061103003,1074.2941176470588
94208,94208,219.89141154289246,461,14.449751,2.7808747,-0.0023813893,0.057421874,46,647.0911438275864,0.6332647204399109,0.0047463756,1081.7241379310344
96256,96256,224.3262186050415,452,13.150439,2.7868013,-0.0035873712,0.07211914,47,654.8866528295455,0.6745215654373169,0.005812181,1092.715909090909
98304,98304,228.85071277618408,421,2.8781083,2.7795491,-0.0017751409,0.027294923,48,649.4121860674157,0.9560880586504936,0.002964548,1084.1348314606741
100352,100352,233.7081217765808,427,17.439434,2.7658095,-0.0029385681,0.05332031,49,651.6610728571429,0.7485853135585785,0.0049228044,1086.7252747252746
102400,102400,238.50269222259521,444,17.590595,2.7551246,-0.0027926923,0.05683594,50,646.1748880319149,0.8008434623479843,0.0048654596,1077.9787234042553
104448,104448,243.11499762535095,377,13.042944,2.755183,-0.0062861517,0.05961914,51,639.4600494639176,0.902574896812439,0.0053376416,1066.2268041237114
106496,106496,248.5437352657318,420,20.86179,2.76406,-0.003225547,0.0390625,52,630.41028824,0.825384110212326,0.0035791756,1050.69
108544,108544,253.412171125412,415,18.476025,2.7773166,-0.0045291902,0.04892578,53,616.6640886600001,0.8158499896526337,0.0043358463,1027.81
110592,110592,258.3387677669525,447,9.932383,2.7795103,-0.000815665,0.036083985,54,614.9577937099999,0.8200515359640121,0.0034318273,1027.81
112640,112640,262.91587829589844,456,10.289997,2.776582,-0.004147681,0.087939456,55,614.10645982,0.7521243244409561,0.0070716133,1027.81
114688,114688,267.4007840156555,435,35.67568,2.7741687,-0.0037767612,0.034570314,56,559.04098013,0.5704659819602966,0.0033222656,944.45
116736,116736,272.10302448272705,516,10.008863,2.7779253,-0.0023403016,0.06435547,57,570.6090163900001,0.7118350267410278,0.0052821888,964.17
118784,118784,276.07204246520996,399,10.81688,2.8001506,-0.002613527,0.080566406,58,582.89744505,0.6756092011928558,0.0071450174,983.87
120832,120832,281.19561100006104,328,16.51197,2.8073058,-0.0027969931,0.072509766,59,596.0591662400001,0.7358509004116058,0.0061588427,1005.3
