serial_timesteps,value_loss,ep_reward_mean,policy_loss,approxkl,ep_len_mean,total_timesteps,n_updates,time_elapsed,clipfrac,policy_entropy,fps,explained_variance
81920,0.81092614,129.70090433,-0.0023672734,0.003695086,582.5,81920,40,132.03803086280823,0.03696289,1.3401719,631,0.6362766027450562
83968,0.72583425,133.59252944,-0.0018422824,0.004786144,600.62,83968,41,135.28305196762085,0.059326172,1.3304847,626,0.44213348627090454
86016,0.8165579,137.51208918,-0.0017263216,0.004184564,618.88,86016,42,138.55276727676392,0.049462892,1.3354135,632,0.23139828443527222
88064,0.78643763,141.78581791,-0.006264556,0.008467147,638.07,88064,43,141.78923916816711,0.10263672,1.337595,627,0.3507061004638672
90112,0.98679465,146.25115022999998,-0.0024427618,0.0043328186,657.03,90112,44,145.05492901802063,0.051757812,1.3284206,627,0.06814432144165039
92160,1.0759417,150.99831737,-0.00018767946,0.0037925132,675.35,92160,45,148.32025837898254,0.0418457,1.3248129,601,0.15826648473739624
94208,1.2212082,156.11639225000002,-0.0009920343,0.0037042256,694.2,94208,46,151.7265362739563,0.043310545,1.3288409,597,0.1447247862815857
96256,1.4927807,161.26498079,-0.0026969553,0.0053047626,712.45,96256,47,155.157546043396,0.064208984,1.3538791,585,-0.04197883605957031
98304,1.4649034,166.60854404000003,-0.0018137607,0.0062875845,731.34,98304,48,158.6580672264099,0.07060547,1.3763283,585,-0.09134316444396973
100352,1.559124,172.18684458000004,-4.1353273e-05,0.004081849,750.35,100352,49,162.15646314620972,0.04638672,1.3964437,599,-0.06966769695281982
102400,1.2256538,177.36333455000005,-0.004481068,0.004951295,768.48,102400,50,165.57497310638428,0.061621092,1.4036564,608,0.08091634511947632
104448,1.3997225,182.70987633000004,-0.0027015707,0.005454299,787.44,104448,51,168.94172310829163,0.06660156,1.4118774,596,0.056752920150756836
106496,1.317777,187.95232010000004,0.0004732195,0.002878829,805.57,106496,52,172.37361598014832,0.030126953,1.4294463,593,0.11689621210098267
108544,1.4295483,193.16654931000002,-0.004169316,0.005812976,823.6,108544,53,175.82296299934387,0.06987305,1.4346343,599,0.0922669768333435
110592,1.3092943,198.29963615000005,-0.0016869239,0.005359633,841.61,110592,54,179.2371950149536,0.06821289,1.4343932,607,0.049896299839019775
112640,1.4631238,203.10791670999998,-0.0003246808,0.0033584249,858.52,112640,55,182.61001443862915,0.034814455,1.4302487,585,0.05124509334564209
114688,1.6495686,208.86345431,-0.004207417,0.004689239,876.68,114688,56,186.10829854011536,0.05654297,1.4331068,559,0.11470073461532593
116736,1.9198363,214.77523553999998,-0.0009990927,0.0032403122,894.84,116736,57,189.77153730392456,0.033447266,1.4436874,558,0.10071802139282227
118784,1.7531201,220.65938896,-0.0007591296,0.0033615648,912.92,118784,58,193.4390585422516,0.035009764,1.4388599,584,0.1095738410949707
120832,1.759124,226.43732408,-0.0014691146,0.003305205,930.93,120832,59,196.94474124908447,0.03642578,1.4353207,573,0.11677145957946777
122880,1.5888355,232.30982004999998,-0.002277323,0.0043953974,949.87,122880,60,200.5193841457367,0.053613283,1.4349024,570,0.11836886405944824
124928,1.6426828,238.01926572,-0.0023070811,0.0035814468,967.82,124928,61,204.1095254421234,0.03720703,1.4416567,585,0.20908230543136597
126976,1.7246723,244.10006234000005,-0.0010933664,0.003473663,986.78,126976,62,207.6085033416748,0.037353516,1.4462022,576,0.24319857358932495
129024,1.6585726,250.13683479000002,-0.00021391126,0.0016696258,1005.87,129024,63,211.16025185585022,0.014160156,1.4603618,577,0.25125354528427124
131072,1.5689297,255.79391762,-0.0022595439,0.0052356524,1024.15,131072,64,214.70407819747925,0.06591797,1.4721789,570,0.14427322149276733
133120,1.5757675,261.86228836,-0.004472588,0.004144204,1043.16,133120,65,218.29344391822815,0.047021486,1.4752419,567,0.2766415476799011
135168,2.126564,268.15219661,-0.0012319663,0.002620346,1061.06,135168,66,221.90587043762207,0.023144532,1.4735348,559,0.17756885290145874
137216,2.045739,274.71350129999996,-0.0026078462,0.0030090597,1079.24,137216,67,225.56920313835144,0.029589843,1.4650218,574,0.26866477727890015
139264,2.2808876,281.46905121,-0.0017387025,0.0024496426,1097.34,139264,68,229.1340675354004,0.02236328,1.4713919,572,0.2955256700515747
141312,2.8934314,288.54186957,-0.0020042784,0.0017649125,1115.38,141312,69,232.71301460266113,0.015673827,1.4845974,572,0.19964873790740967
143360,2.4655836,295.45014007,-0.0029552027,0.0056539644,1133.41,143360,70,236.2881293296814,0.06455078,1.4777337,561,0.23873567581176758
145408,3.2487674,302.95621557,-0.0013685559,0.0028146883,1151.75,145408,71,239.935537815094,0.023779297,1.4729406,559,0.23530292510986328
147456,2.8839808,310.52756164000004,-0.0014388161,0.0028552779,1170.69,147456,72,243.59905910491943,0.029785156,1.4733423,546,0.2489679455757141
149504,2.9773126,318.14780041,-0.0021938584,0.003233245,1188.89,149504,73,247.34545707702637,0.03149414,1.4739656,549,0.32563918828964233
151552,3.7139678,326.22064584000003,-0.0035766643,0.004326175,1207.11,151552,74,251.07194638252258,0.047753908,1.4697129,555,0.3091898560523987
153600,3.3527164,333.95984432,-0.003766397,0.0034982662,1225.3,153600,75,254.75798869132996,0.03701172,1.4661665,572,0.24201107025146484
155648,2.9527955,341.46865219,-0.00440956,0.004407924,1243.36,155648,76,258.3404428958893,0.04892578,1.4603316,576,0.2292248010635376
157696,4.0879827,349.69868585999996,-0.0017646377,0.0031259663,1260.49,157696,77,261.89241123199463,0.034423828,1.4665296,588,0.28609514236450195
159744,4.2005954,358.12250548,-0.0047414945,0.004588534,1278.57,159744,78,265.3732719421387,0.05356445,1.4643486,565,0.3666195869445801
161792,4.482007,366.7848044999999,-0.0045879264,0.0042976183,1296.67,161792,79,268.9980037212372,0.049462892,1.455983,571,0.3012482523918152
163840,4.8249784,375.43980293,-0.0016147767,0.004112001,1314.68,163840,80,272.58413648605347,0.04633789,1.4529752,568,0.28932684659957886
165888,5.444671,384.65073213000005,-0.004634999,0.0052453834,1332.65,165888,81,276.1858904361725,0.06640625,1.462745,577,0.39943379163742065
167936,5.836571,393.97406282000003,-0.0042039948,0.0036657248,1350.76,167936,82,279.7302029132843,0.041552734,1.4661139,589,0.3112509250640869
169984,4.3417444,400.8968896300001,-0.004384163,0.004639663,1363.77,169984,83,283.2034327983856,0.054736327,1.4754477,587,0.45982658863067627
172032,5.146225,410.2568264900001,-0.0041570175,0.0029171086,1381.76,172032,84,286.6899604797363,0.033837892,1.4772024,590,0.4456958770751953
174080,4.6961584,419.39408445999993,-0.0039527863,0.0040933033,1399.61,174080,85,290.15801978111267,0.04511719,1.4749544,596,0.39628368616104126
176128,4.7937675,428.1583352099999,-0.005302501,0.0038548647,1416.65,176128,86,293.5904014110565,0.04448242,1.4810076,589,0.38698846101760864
178176,4.918837,437.17166491999996,-0.0013101832,0.0030137678,1434.48,178176,87,297.06529903411865,0.03251953,1.487474,595,0.33711183071136475
180224,4.7824426,446.29868531,-0.0057984493,0.0061968635,1452.51,180224,88,300.5056872367859,0.08251953,1.4906929,603,0.4066736698150635
182272,5.234693,455.76923518,-0.002720768,0.004737649,1470.56,182272,89,303.90148973464966,0.055517577,1.4969783,579,0.4267992377281189
184320,5.183123,463.06067317000003,-0.0023942133,0.0044550756,1484.05,184320,90,307.43800377845764,0.04975586,1.4981912,580,0.500047117471695
186368,6.205743,472.77120503000003,-0.0032076319,0.0032843854,1501.95,186368,91,310.96565866470337,0.034375,1.5001404,612,0.437904953956604
188416,6.240384,479.92835899000005,-0.0037423454,0.004828862,1513.76,188416,92,314.309063911438,0.056396484,1.498441,589,0.44021570682525635
190464,5.3668227,487.13393221000007,-0.0031631817,0.0028617573,1527.23,190464,93,317.7825334072113,0.026123047,1.4941065,597,0.45775866508483887
192512,5.1340494,496.68120114000004,-0.0041475673,0.004644647,1544.12,192512,94,321.2133617401123,0.057763673,1.4914001,602,0.4475882053375244
194560,6.4040346,508.30067907999995,-0.0015436432,0.003257322,1564.14,194560,95,324.6111285686493,0.036035158,1.4979732,603,0.49253296852111816
196608,6.9552383,516.77493723,-0.006702394,0.0068399617,1577.71,196608,96,328.0027377605438,0.085351564,1.5014412,607,0.4919055104255676
198656,8.027687,525.00951377,-0.0018996813,0.0036532928,1590.27,198656,97,331.37382793426514,0.040283203,1.5060116,597,0.49102550745010376
200704,6.529873,533.90137059,-0.0037418206,0.0032395746,1604.11,200704,98,334.80207324028015,0.035839844,1.5157301,588,0.5556332170963287
202752,4.6115003,535.2639643,-0.002204444,0.0030846652,1604.17,202752,99,338.281592130661,0.03378906,1.5147456,596,0.5052042901515961
204800,6.218201,544.5047588999998,-0.0010261347,0.002608281,1618.77,204800,100,341.7145457267761,0.025488282,1.5108811,604,0.5517375767230988
206848,6.5256376,555.84716681,-0.0033335313,0.003907499,1635.65,206848,101,345.104017496109,0.039501954,1.5026248,593,0.4970671534538269
