explained_variance,n_updates,fps,policy_loss,serial_timesteps,total_timesteps,policy_entropy,value_loss,approxkl,time_elapsed,ep_reward_mean,clipfrac,ep_len_mean
0.9496516399085522,38,201,-0.0027857483,77824,77824,2.297081,10.407201,0.004737009,293.6843295097351,752.9409038863636,0.062109374,1751.5454545454545
0.9459694251418114,39,168,-0.0024002015,79872,79872,2.296436,7.7964945,0.0073021175,303.8655903339386,728.6236507391303,0.09970703,1724.4347826086957
0.9137978702783585,40,423,-0.002092164,81920,81920,2.3043206,7.9306917,0.007777071,315.9939224720001,739.7247825319148,0.086279295,1731.340425531915
0.854903906583786,41,462,-0.0020516405,83968,83968,2.3090072,7.6612945,0.0022383607,320.8282506465912,738.5800632708333,0.02216797,1728.9583333333333
0.9514587335288525,42,199,-0.00039829552,86016,86016,2.3106852,8.917906,0.003491347,325.2560784816742,747.0564857142857,0.038867187,1735.4897959183672
0.8412742167711258,43,205,-0.004442419,88064,88064,2.3112197,8.527658,0.0055591445,335.50040435791016,730.121519137255,0.07128906,1723.6666666666667
0.7633073180913925,44,415,-0.002938347,90112,90112,2.3111498,8.723216,0.0033784225,345.48515224456787,722.859770173077,0.036230467,1705.2692307692307
0.8926123902201653,45,435,-0.0043054814,92160,92160,2.3134217,8.013782,0.005224114,350.4204330444336,732.5230213207548,0.06040039,1711.754716981132
0.8124421387910843,46,475,-0.003566736,94208,94208,2.3151853,16.868559,0.003835956,355.12598490715027,736.1986788181819,0.04838867,1710.4727272727273
0.8059797137975693,47,455,-0.0040052095,96256,96256,2.3195844,11.414039,0.0029414739,359.4355344772339,720.7486093508771,0.030029297,1673.3333333333333
0.8735175877809525,48,453,-0.0019518386,98304,98304,2.3188272,8.937942,0.0042000734,363.9292232990265,730.6853255689655,0.046923827,1679.8103448275863
0.9199550449848175,49,419,-0.002646233,100352,100352,2.3157918,7.8376455,0.004776096,368.44973134994507,738.3785450169491,0.058789063,1686.0677966101696
0.7034761905670166,50,437,-0.007288502,102400,102400,2.3200011,8.638988,0.0058309613,373.3318405151367,736.20130245,0.06435547,1681.1833333333334
0.8505747318267822,51,444,-0.002780351,104448,104448,2.3312953,8.640645,0.00375234,378.02022981643677,745.1551446065573,0.043945312,1687.2131147540983
0.921327531337738,52,159,-0.0013558945,106496,106496,2.3319638,11.594137,0.0068269246,382.6309018135071,752.2833869354838,0.07724609,1693.0483870967741
