policy_loss,serial_timesteps,policy_entropy,fps,time_elapsed,value_loss,clipfrac,ep_reward_mean,ep_len_mean,explained_variance,approxkl,n_updates,total_timesteps
-0.0070494986,485376,4.119099,477,959.514689207077,6.871147,0.04951172,603.7744406999999,922.72,0.7925197035074234,0.004062337,237,485376
-0.002657358,487424,4.129578,496,963.8059623241425,10.206275,0.053271484,617.09098724,942.22,0.6257928907871246,0.0044827242,238,487424
-0.0058137053,489472,4.1405096,505,967.9327301979065,24.304861,0.046582032,608.8057681,928.81,0.6263055205345154,0.004263099,239,489472
-0.0020855998,491520,4.13973,498,971.9879188537598,9.511763,0.03676758,622.62214429,947.52,0.7225692570209503,0.0033105512,240,491520
-0.005549332,493568,4.135222,513,976.10009765625,14.89561,0.05605469,636.2318128300001,965.8,0.8010109513998032,0.0043641375,241,493568
-0.0033944051,495616,4.1415133,516,980.0904672145844,34.672256,0.038330078,649.6624735199999,984.9,0.6697578430175781,0.0042035016,242,495616
-0.003004039,497664,4.1493683,523,984.0546805858612,19.458124,0.03334961,637.3994397199999,968.63,0.7794653922319412,0.002890441,243,497664
-0.00449253,499712,4.148349,513,987.9706044197083,14.9774885,0.035839844,649.46384333,985.35,0.751052513718605,0.003158277,244,499712
-0.0027978392,501760,4.1452985,523,991.9630701541901,9.208661,0.034277342,649.3249367,985.35,0.7557300925254822,0.0033603595,245,501760
-0.0027905966,503808,4.142245,486,995.8746592998505,13.522272,0.04902344,649.21796967,985.35,0.6230125427246094,0.004305294,246,503808
-0.0031985152,505856,4.149985,486,1000.0826025009155,5.5942316,0.039355468,655.1174827,994.82,0.8680704087018967,0.0035542957,247,505856
-0.004123881,507904,4.158581,462,1004.2928748130798,13.755571,0.03852539,667.74126635,1012.7,0.7852489799261093,0.0035984605,248,507904
-0.003569039,509952,4.159491,445,1008.7229249477386,9.1607685,0.057714842,680.23344735,1031.4,0.6432454586029053,0.0048242533,249,509952
-0.0051216786,512000,4.1501946,454,1013.3179776668549,10.157094,0.039453126,681.2989361100001,1031.4,0.7442054152488708,0.00353021,250,512000
-0.0054326197,514048,4.152141,451,1017.8251671791077,14.382393,0.054492187,694.91487776,1051.71,0.821926549077034,0.004976998,251,514048
-0.006436567,516096,4.1685953,438,1022.3596720695496,15.158811,0.05317383,706.71371875,1067.44,0.7674464732408524,0.0044898493,252,516096
-0.005697603,518144,4.1638556,417,1027.0355484485626,16.017916,0.02993164,718.2736172099999,1082.82,0.7070141434669495,0.0030589341,253,518144
-0.007807671,520192,4.160205,463,1031.9463341236115,1.14475,0.051757812,718.49193881,1083.12,0.9587058983743191,0.0044335937,254,520192
-0.00463796,522240,4.1510477,498,1036.3634643554688,3.8426735,0.042138673,719.4807929799999,1083.12,0.8413223028182983,0.0041019046,255,522240
-0.008489888,524288,4.143347,513,1040.4702997207642,13.31218,0.051708985,731.7293630799999,1099.71,0.8360797017812729,0.004634022,256,524288
-0.0032820057,526336,4.144965,498,1044.4622950553894,8.275998,0.031054687,745.0469595399998,1118.38,0.8025670349597931,0.0029255338,257,526336
-0.0045075123,528384,4.1381936,487,1048.5708010196686,13.29835,0.03237305,759.20097212,1137.17,0.7847232669591904,0.003112732,258,528384
-0.005587223,530432,4.1400867,498,1052.772346496582,34.482307,0.044384766,713.7201304199999,1071.88,0.7821231931447983,0.004068406,259,530432
-0.0046115806,532480,4.1443033,496,1056.885221004486,15.397911,0.043261718,712.6982762299999,1071.88,0.7065379917621613,0.0037102692,260,532480
-0.006434773,534528,4.1765122,479,1061.0134017467499,10.608715,0.075488284,725.16852046,1090.65,0.5480908453464508,0.00642302,261,534528
-0.005594571,536576,4.2032304,496,1065.2820398807526,9.347261,0.04824219,727.7682149899999,1093.0,0.7153461575508118,0.004286411,262,536576
-0.0046379543,538624,4.2142696,508,1069.4114120006561,9.640745,0.050976563,739.96014814,1111.53,0.6854940950870514,0.0043174196,263,538624
-0.002664312,540672,4.22334,508,1073.4393866062164,20.159204,0.029736329,751.33029301,1127.46,0.7851260304450989,0.0033675958,264,540672
-0.00423263,542720,4.223222,500,1077.469985485077,7.183,0.03701172,754.6304932100002,1132.73,0.8350766450166702,0.003462018,265,542720
-0.0042510657,544768,4.2166233,496,1081.5612320899963,8.569186,0.030566406,753.7085790599999,1132.35,0.8205766826868057,0.0027724868,266,544768
-0.004537218,546816,4.2132616,485,1085.6825768947601,16.359156,0.035595704,771.41653023,1158.18,0.7044593691825867,0.0032713444,267,546816
-0.0036305531,548864,4.2192187,485,1089.905166387558,20.432062,0.025292968,757.0062711599998,1137.59,0.7396767139434814,0.002596865,268,548864
-0.004859621,550912,4.2255187,482,1094.1215317249298,9.132648,0.030517578,751.98468067,1130.34,0.7823405116796494,0.0028637182,269,550912
